Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,PSOC,ISCO,SOC
Computer Technician,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,Yes,7422.0,7422,49-9052
Computer Transcriptionist,Information and Communication,Other information service activities,Higher Education,No,No,4419.0,4419,43-9199 
Concept Art Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,2166.0,2166,27-1024
Concierge Assistant,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,5153.0,5153,37-2011
Concrete Pump Operator,Construction,Other specialized construction activities,Not Higher Education,No,No,8342.0,8342,53-7032
Conductor,Transportation and Storage,Other land transport,Not Higher Education,No,No,5112.0,5112,53-6061
Confectioner,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No,7512.0,7512,51-3011
Conservation Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,2133.0,2133,19-2041 
Conservation Scientist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,2132.0,2132,25-9021
Construction Laborer,Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Not Higher Education,No,No,9313.0,9313,47-3019
Construction Lift Passenger/ Material Elevator Operator,Construction,Construction of utility projects,Not Higher Education,No,No,8343.0,8343,53-7041
Construction Painter,Construction,Building completion and finishing,Not Higher Education,No,No,7131.0,7131,47-2142
Construction Scheduler,Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,No,Yes,1323.0,1323,11-9021
Construction Site Assistant (Foreman),Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,No,Yes,7111.0,7111,11-9021
Construction Site Technician,Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,No,Yes,2142.0,2142,17-2051 
Consular Affairs Associate,Public Administration and Defense; Compulsory Social Security,Foreign affairs,Higher Education,No,Yes,3351.0,3351,33-3051
Consumer Electronics Assembler,Manufacturing                                                ,Manufacture of consumer electronics,Not Higher Education,No,No,8212.0,8212,51-9194
Contact Center (Call Center) Agent,Administrative and Support Service Activities,Call centers and other related activities,Not Higher Education,No,No,4222.0,4222,43-4171 
Container Stacker Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,8343.0,8343,53-7041
Content Editor,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,2642.0,2642,27-3041 
Content Writer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,2641.0,2641,27-3043
Control Systems Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No,3114.0,3114,17-3023
Cook,Accommodation and Food Service Activities,Event catering and other food service activities,Not Higher Education,No,No,5120.0,5120,35-2019
Cook (Healthcare Facility),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,5120.0,5120,35-2019
Cooling Systems Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,No,Yes,3114.0,3114,17-3023
Co-op Administrative Support,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,4111.0,,43-601
Cooperative Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,3343.0,3343,43-6011
Cooperative Development Officer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,No,2424.0,2424,13-1151 
Corporate Auditor,Financial and Insurance Activities,Activities of holding companies,Higher Education,Yes,No,2411.0,2411,13-2082
Corporate Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,2432.0,2432,27-3031 
Cost Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,2411.0,2411,13-2082
Cost Controller,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,4311.0,4311,43-3031
Courier,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,4412.0,4412,43-9051
Courier Scheduler,Transportation and Storage,Courier activities,Higher Education,No,Yes,4323.0,4323,43-5032
Court Clerk,Public Administration and Defense; Compulsory Social Security,Justice and Judicial Activities,Higher Education,No,Yes,3411.0,3411,33-9031
Court Stenographer,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Not Higher Education,No,No,4131.0,4131,43-9022
"Crane, Hoist and Lift Operator",Transportation and Storage,Warehousing and storage,Not Higher Education,No,No,8343.0,8343,53-7041
Crawler Crane Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,8343.0,8343,53-7041
Creative Writing Instructor,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,2641.0,2641,27-3043
Criminal Investigator (Registered Criminologist),Public Administration and Defense; Compulsory Social Security,Public Order and Safety Activities,Higher Education,Yes,No,3355.0,3355,33-3021
Crop Field Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,3142.0,3142,19-4011
Cruise Cabin Attendant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,5111.0,5111,53-6061
Cruise Operations Assistant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,3152.0,3152,53-5021
Culinary Tour Assistant,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,Yes,5246.0,5246,35-9011 
Cultural Affairs Officer,Public Administration and Defense; Compulsory Social Security,Other Personal Service Activities,Higher Education,No,No,2432.0,2432,27-3031 
Cultural Dancer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2653.0,2653,27-2032
Cultural Heritage Researcher,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,2621.0,2621,25-4012
Culture & Communications Analyst,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,2432.0,2432,27-3031 
Curriculum Designer,Education,Educational support services,Not Higher Education,No,No,2351.0,2351,25-9031
Customer Interaction Specialist,Information and Communication,Other information service activities,Higher Education,No,No,4222.0,4222,43-4171 
Customer Service Representative,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Not Higher Education,No,No,4222.0,4222,43-4171 
Customs Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,Yes,No,3351.0,3351,33-3051
Cyber Threat Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,2529.0,2529,15-1199
Cybersecurity Help Desk,Information and Communication,Other information service activities,Not Higher Education,No,No,3512.0,3512,15-1151 
Dairy Farm Milker,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,3142.0,3142,19-4011
Dancer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2653.0,2653,27-2032
Data Analyst Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,2521.0,2521,15-1141
Data Annotation Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,2124.0,2120,19-3022
Data Encoder (Healthcare Facility),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,4132.0,4132,43-9021
Data Encoding Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,4132.0,4132,43-9021
Data Management Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,4415.0,4415,43-9071 
Data Quality Specialist,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,2521.0,2521,15-1141
Data Scientist,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,3314.0,3314,43-9111
Database Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,3512.0,3512,15-1151 
Delivery Driver,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,8322.0,8322 p,43-5021
Demi Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012
Dental Hygienist,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,3251.0,3251,31-9091
Dental Laboratory Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,3251.0,3251,31-9091
Dentist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2261.0,2261,29-1029
Dermopigmentation/Tattoo Artist,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,3435.0,3435,39-3099 
Design Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2141.0,2141,17-2112
Development Education Assistant,Education,Other Education,Higher Education,Yes,No,3412.0,3412,21-1093
Development Planning Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,2424.0,2424,13-1151 
Development Researcher,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,No,2310.0,2310,25-1199
Dialysis Nurse,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2221.0,2221,29-1171 
Diesel Power Plant Operator,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,3131.0,3131,51-8013
Digital Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,2513.0,2513,15-1134 
Digital Fabrication Machine Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,7223.0,7223,51-4199
Digital Marketing Specialist,"Professional, Scientific and Technical Activities",Advertising,Not Higher Education,No,No,2431.0,2431,27-3043 
Digital Sales Support Staff,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,No,2434.0,2434,41-9031
Digital Transformation Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,2519.0,2519,15-1199
Dispatch Coordinator,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,4412.0,4412,43-9051
Dispatcher,Transportation and Storage,"Postal activities, Warehousing and storage",Higher Education,No,No,4323.0,4323,43-5032
Diversity & Inclusion Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2422.0,2422,13-1199
Document Controller (Construction),Construction,Construction of buildings,Higher Education,No,No,4415.0,4415,43-9071 
Documentation Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,3433.0,3433,27-1012 
Domestic Refrigeration And Air-Conditioning Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,7124.0,7124,47-2132
Doorkeeper,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,5414.0,5414,33-9093 
Drafting Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Higher Education,No,Yes,3118.0,3118,27-1013 
Drafting Technician (Architecture),"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,3118.0,3118,27-1013 
Draftsman,Construction,Other specialized construction activities,Not Higher Education,No,No,3118.0,3118,27-1013 
Dressmaker,Manufacturing                                                ,Custom tailoring and dressmaking,Not Higher Education,No,No,7531.0,7531,51-6052
Drilling Rig Operators,Construction,Construction of utility projects,Not Higher Education,No,No,8111.0,8111,53-7033
Drying And Milling Plant Service Technician,Manufacturing                                                ,"Manufacture of grain mill products, starches and starch products",Not Higher Education,No,No,8189.0,8189,53-7011
Early Learning Materials Developer,Education,Other Education,Higher Education,Yes,No,2351.0,2351,25-9031
Ecological Survey Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,2269.0,2269,29-9092 
E-Commerce Data Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,2521.0,2521,15-1141
E-Commerce Support Associate,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,Yes,4222.0,4222,43-4171 
Economic Data Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2631.0,2631,19-3011
Economic Policy Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2631.0,2631,19-3011
Economics Instructor,Education,Higher education,Higher Education,No,No,2631.0,2631,19-3011
Eco-Tourism Guide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,No,5113.0,5113,39-7012
Eco-Tourism Program Aide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,4221.0,4221,43-4181
Eco-Tourism Program Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,4221.0,4221,43-4181
Editorial Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,2642.0,2642,27-3041 
Education Program Assistant,Education,Other Education,Higher Education,No,Yes,5312.0,5312,25-9041 
Electric Discharge Machine-Sinking Operator,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,7212.0,7212,51-4122 
Electric Power Distribution Line Worker,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,7413.0,7413,49-9051
Electrical Appliance Servicer,Other Service Activities,Repair of personal and household goods,Higher Education,No,No,7421.0,7421,49-2096
Electrical Distribution Engineer,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No,2151.0,2151,17-2071
Electrical Systems Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No,3113.0,3113,17-3024
Electrical Technician (Automotive),Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,3113.0,3113,17-3024
Electronic Products Assembler,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,8212.0,8212,51-9194
Electronics Design Engineer,Manufacturing                                                ,Manufacture of electronic components,Higher Education,Yes,No,2152.0,2152,17-2072 
Electronics Operator,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,8212.0,8212,51-9194
Electronics Repair Technician,Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,3114.0,3114,17-3023
Electronics Test Technician,Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,3119.0,3119,53-6041
Elevator Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,9629.0,9629,53-6021
Elevator Installation Technician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,3115.0,3115,17-3029
Elevator Installer,Construction,Other specialized construction activities,Not Higher Education,No,No,3115.0,3115,17-3029
Embalmer,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,5163.0,5163,39-4031
Embassy Administrative Attaché,Public Administration and Defense; Compulsory Social Security,Foreign affairs,Higher Education,No,Yes,4111.0,,43-6011
Embedded Systems Developer,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,2512.0,2512,15-1133
Embedded Systems Technician,Manufacturing                                                ,Manufacture of electronic components,Higher Education,Yes,No,7422.0,7422,49-9052
Embroiderer,Manufacturing                                                ,Manufacture of knitted and crocheted apparel,Not Higher Education,No,No,7533.0,7533,51-6051
Emergency Medical Technician,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,3258.0,3258,29-2041 
Emergency Response Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,3258.0,3258,29-2041 
Employee Engagement Officer,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,2423.0,2423,21-1012 
Energy Auditors,Manufacturing                                                ,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Higher Education,No,No,3113.0,3113,17-3024
Energy Conservation Officer,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,3113.0,3113,17-3024
Engine Repair Specialist,Manufacturing                                                ,"Repair of fabricated metal products, machinery and equipment",Not Higher Education,No,No,7231.0,7231,49-3093
Engineered Bamboo Processor,Manufacturing                                                ,"Manufacture of products of wood, cork, straw and plaiting materials",Not Higher Education,No,No,7523.0,7523,51-7042
Engineering Assistant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,3115.0,3115,17-3029
English Education Materials Writer,Education,Other Education,Higher Education,No,No,2351.0,2351,25-9031
English Subject Teacher,Education,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,2353.0,2353,25-3099 
Enterprise Development Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,3512.0,3512,15-1151 
Enumerator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Not Higher Education,No,No,4227.0,4227,43-4111 
Environment and Occupational Safety and Health Specialist (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,2263.0,2263,29-9011 
"Environment, Safety & Health Officers",Construction,Construction of utility projects,Higher Education,No,No,3257.0,3257,53-6051
Environmental Compliance Analyst,"Water Supply; Sewerage, Waste Management and Remediation     ",Remediation activities and other waste management services,Higher Education,No,No,2143.0,2143,17-2081
Environmental Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,No,2133.0,2133,19-2041 
Environmental Field Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,2143.0,2143,17-2081
Environmental Health Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,2263.0,2263,29-9011 
Environmental Impact Analyst,"Water Supply; Sewerage, Waste Management and Remediation     ",Remediation activities and other waste management services,Higher Education,No,No,2133.0,2133,19-2041 
Equipment Dispatchers,Construction,Construction of utility projects,Not Higher Education,No,No,4321.0,4321,43-5111
Equipment Technicians,Construction,Construction of utility projects,Not Higher Education,No,No,3113.0,3113,17-3024
Equipment Tool Keepers,Construction,Other specialized construction activities,Not Higher Education,No,No,4321.0,4321,43-5111
Erection Crew,Construction,Construction of buildings,Not Higher Education,No,No,9313.0,9313,47-3019
ESL Curriculum Assistant,Education,Other Education,Higher Education,No,Yes,2351.0,2351,25-9031
ESL Trainer,Education,Other Education,Higher Education,No,No,2356.0,2356,13-1151 
Estimator,Transportation and Storage,Warehousing and storage,Higher Education,Yes,No,2149.0,2149,17-2199
Ethics Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,2310.0,2310,25-1199
EU Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2422.0,2422,13-1199
Events Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,3332.0,3332,13-1121
Executive Assistant (Airline),Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,3343.0,3343,43-6011
Executive Secretary,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,3343.0,3343,43-6011
Exercise Physiologist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,No,2131.0,2131,19-1099
Exhibit Design Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,2163.0,2163,27-1029
Exhibits Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,2621.0,2621,25-4012
Export Brokerage Clerk,Transportation and Storage,"Freight air transport, Sea and coastal water transport",Higher Education,No,Yes,3351.0,3351,33-3051
External Auditor,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,2411.0,2411,13-2082
Eyelash And Eyebrow Technician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,5142.0,5142,39-5094
Fabric Quality Controller,Manufacturing                                                ,Manufacture of other textiles,Higher Education,No,No,7532.0,7532,51-9031
Facilities Management Assistant,Administrative and Support Service Activities,Landscape care and maintenance service activities,Higher Education,No,Yes,5153.0,5153,37-2011
Facility Cleaning Specialist,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,9112.0,9112,53-7061
Failure Analysis Technician,Manufacturing                                                ,Manufacture of electronic components,Higher Education,No,Yes,3119.0,3119,53-6041
Faith Formation Instructor,Education,Other education services,Higher Education,Yes,No,2341.0,2341,25-2022
Faith-Based NGO Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,2423.0,2423,21-1012 
Family Life Educator,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,2342.0,2342,25-2012
Family Welfare Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,3412.0,3412,21-1093
Farm Equipment Fabricator,Manufacturing                                                ,"Manufacture of structural metal products, tanks, reservoirs and steam generators",Not Higher Education,No,No,7233.0,7233,49-9081
Farm Operations Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,3143.0,3143,19-4093
Farm Systems Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,3142.0,3142,19-4011
Farm Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,3142.0,3142,19-4011
Farm Tour Assistant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,5113.0,5113,39-7012
Fashion Designer,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Not Higher Education,No,No,2163.0,2163,27-1029
Fashion Exhibition Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,5223.0,5223,41-2031
Fashion Merchandising Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale in Specialized Stores,Higher Education,No,Yes,2431.0,2431,27-3043 
Fiber Optic Cable Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,7422.0,7422,49-9052
Fiber Optic Technician,Information and Communication,Wired telecommunications activities,Higher Education,No,Yes,3254.0,3254,29-2081
Field Agronomist Assistant,"Agriculture, Forestry, and Fishing",Plant propagation,Higher Education,Yes,No,3142.0,3142,19-4011
Field Development Associate,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,2424.0,2424,13-1151 
Field Engineers,Construction,Construction of buildings,Higher Education,Yes,No,2142.0,2142,17-2051 
Field Science Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,3256.0,3256,31-9092
Field Service Technician (Electronics),Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,3114.0,3114,17-3023
Filipino Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,2432.0,2432,27-3031 
Filipino Language Educator,Education,Other Education,Higher Education,No,No,2353.0,2353,25-3099 
Filipino Sign Language Interpreter,Other Service Activities,"Other personal service activities, n.e.c.",Not Higher Education,No,No,2643.0,2643,27-3091
Film and Video Editor,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,2654.0,2654,27-4032 
Finance Assistant (Cooperatives),Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes,3313.0,3313,43-3031
Finance Associate,Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes,3313.0,3313,43-3031
Financial Auditor,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,2411.0,2411,13-2082
Finishing Mason,Construction,Construction of buildings,Not Higher Education,No,No,7113.0,7113,47-4091 
First-Aider,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,5329.0,5329,31-9099
Fish Finder Operator,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,7311.0,7311,49-9069 
Fish Packaging Worker,Manufacturing                                                ,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No,7511.0,7511,51-3091 
Fish Processing Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,Yes,No,7511.0,7511,51-3091 
Fish Quality Inspector,"Agriculture, Forestry, and Fishing",Fishing,Higher Education,Yes,No,3359.0,3359,45-2011 
Fishery Operations Assistant,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,6221.0,6221 p,45-2093
Fishnet Maker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,7318.0,7318,51-6041
Fitness Instructor,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,No,3422.0,3422 p,39-9031
Fitness Testing Technician,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,3119.0,3119,53-6041
Fixed Wireless Broadband Installer,Information and Communication,Wireless telecommunications activities,Not Higher Education,No,No,7422.0,7422,49-9052
Flight Dispatch Officer,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,4323.0,4323,43-5032
Flight Engineers,Transportation and Storage,Support activities for transportation,Higher Education,No,No,3153.0,3153,53-2012
Flight Operations Assistant,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,Yes,7232.0,7232,49-3011
Florist,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,7549.0,7549,51-9083 
Food and Beverage Attendant,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,Yes,5131.0,5131,35-3041 
Food Processing Worker,Manufacturing                                                ,Manufacture of other food products,Not Higher Education,No,No,7511.0,7511,51-3091 
Food Product Developer,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012
Food Safety Officer,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,No,3257.0,3257,53-6051
Food Service Worker,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,5246.0,5246,35-9011 
Food Technologist,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,2132.0,2132,25-9021
Foreign Affairs Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2421.0,2421,13-1111
Foreign Language Teacher (Arabic),Education,Other education services,Higher Education,Yes,No,2353.0,2353,25-3099 
Foreign Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,2422.0,2422,13-1199
Forensic Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,2411.0,2411,13-2082
Forensic Lab Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3119.0,3119,53-6041
Forensic Laboratory Analyst,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,3119.0,3119,53-6041
Forestry Extension Assistant,"Agriculture, Forestry, and Fishing",Silviculture and other forestry activities,Higher Education,Yes,No,2132.0,2132,25-9021
Forging Machine Operator,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,7221.0,7221,51-4199 
Forklift Drivers,Transportation and Storage,Other land transport,Not Higher Education,No,No,8344.0,8344,53-7051 
Forklift Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,8344.0,8344,53-7051 
Formworks Crew,Construction,Construction of buildings,Not Higher Education,No,No,9313.0,9313,47-3019
Foundry Melter,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No,7224.0,7224,51-9022
