Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,passing_rate_2023_agg,passing_rate_2024_agg
Computer Maintenance Technologist (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,Health,,,,,,
Computer Security Support Staff,Information and Communication,Other information service activities,Not Higher Education,No,No,Y,Digital Technology,,,,,,
Computer Technician,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,Yes,Y,Digital Technology,,,,,,
Computer Transcriptionist,Information and Communication,Other information service activities,Higher Education,No,No,Y,Digital Technology,,,,,,
Concept Art Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N,,,,,,
Concierge Assistant,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Concrete Pump Operator,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Conductor,Transportation and Storage,Other land transport,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Confectioner,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Conservation Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,,
Conservation Scientist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,N,N,,,,,,
Construction Laborer,Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Not Higher Education,No,No,Tourism,Tourism,,,,,,
Construction Lift Passenger/ Material Elevator Operator,Construction,Construction of utility projects,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Construction Painter,Construction,Building completion and finishing,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Construction Scheduler,Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,No,Yes,Tourism,Tourism,,,,,,
Construction Site Assistant (Foreman),Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,No,Yes,Tourism,Tourism,,,,,,
Construction Site Technician,Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,No,Yes,Tourism,Tourism,,,,,,
Consular Affairs Associate,Public Administration and Defense; Compulsory Social Security,Foreign affairs,Higher Education,No,Yes,N,N,,,,,,
Consumer Electronics Assembler,Manufacturing,Manufacture of consumer electronics,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Contact Center (Call Center) Agent,Administrative and Support Service Activities,Call centers and other related activities,Not Higher Education,No,No,Y,Financial Services,,,,,,
Container Stacker Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Content Editor,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,N,,,,,,
Content Writer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,N,,,,,,
Control Systems Technician,Electrical Engineering,"Electric power generation, transmission and distribution",Higher Education,Yes,No,N,N,1218.0,3945.0,1655.0,3058.0,30.87,54.12
Cook,Accommodation and Food Service Activities,Event catering and other food service activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Cook (Healthcare Facility),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,Health,,,,,,
Cooling Systems Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,No,Yes,N,N,,,,,,
Co-op Administrative Support,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services,,,,,,
Cooperative Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services,,,,,,
Cooperative Development Officer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,No,N,N,,,,,,
Corporate Auditor,Accountancy,Activities of holding companies,Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,31.37,30.17
Corporate Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,,
Cost Accountant,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,31.37,30.17
Cost Controller,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,Y,Financial Services,,,,,,
Courier,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Courier Scheduler,Transportation and Storage,Courier activities,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Court Clerk,Public Administration and Defense; Compulsory Social Security,Justice and Judicial Activities,Higher Education,No,Yes,N,N,,,,,,
Court Stenographer,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Not Higher Education,No,No,N,N,,,,,,
"Crane, Hoist and Lift Operator",Transportation and Storage,Warehousing and storage,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Crawler Crane Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Creative Writing Instructor,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,N,,,,,,
Criminal Investigator (Registered Criminologist),Criminology,Public Order and Safety Activities,Higher Education,Yes,No,N,N,5743.0,17576.0,11121.0,22539.0,32.68,49.34
Crop Field Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,N,N,,,,,,
Cruise Cabin Attendant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Cruise Operations Assistant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Culinary Tour Assistant,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Cultural Affairs Officer,Public Administration and Defense; Compulsory Social Security,Other Personal Service Activities,Higher Education,No,No,N,N,,,,,,
Cultural Dancer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,,
Cultural Heritage Researcher,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,,
Culture & Communications Analyst,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,,
Curriculum Designer,Education,Educational support services,Not Higher Education,No,No,N,N,,,,,,
Customer Interaction Specialist,Information and Communication,Other information service activities,Higher Education,No,No,N,N,,,,,,
Customer Service Representative,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Not Higher Education,No,No,Y,Financial Services,,,,,,
Customs Officer,Customs Brokers,Public administration and defense; compulsory social security,Higher Education,Yes,No,N,N,1579.0,2767.0,1265.0,2871.0,57.07,44.06
Cyber Threat Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology,,,,,,
Cybersecurity Help Desk,Information and Communication,Other information service activities,Not Higher Education,No,No,Y,Digital Technology,,,,,,
Dairy Farm Milker,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,,
Dancer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,,
Data Analyst Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology,,,,,,
Data Annotation Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology,,,,,,
Data Encoder (Healthcare Facility),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,Health,,,,,,
Data Encoding Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology,,,,,,
Data Management Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services,,,,,,
Data Quality Specialist,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,Y,Digital Technology,,,,,,
Data Scientist,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,Y,Digital Technology,,,,,,
Database Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology,,,,,,
Delivery Driver,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Demi Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,,
Dental Hygienist,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health,,,,,,
Dental Laboratory Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health,,,,,,
Dental Laboratory TechnicianÂ ,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health,,,,,,
Dentist,Dentistry,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,15.0,20.0,873.0,1287.0,75.0,67.83
Dermopigmentation/Tattoo Artist,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,,
Design Engineer,Mechanical Engineering,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2133.0,4237.0,1144.0,3485.0,50.34,32.83
Development Education Assistant,Professional Teachers,Other Education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Development Planning Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Development Researcher,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,No,N,N,,,,,,
Dialysis Nurse,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,,,,,,
Diesel Power Plant Operator,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N,,,,,,
Digital Background Painting ,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Digital Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,Y,Digital Technology,,,,,,
Digital Fabrication Machine Operator,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,Y,Digital Technology,,,,,,
Digital Marketing Specialist,"Professional, Scientific and Technical Activities",Advertising,Not Higher Education,No,No,Y,Digital Technology,,,,,,
Digital Sales Support Staff,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,No,Y,Digital Technology,,,,,,
Digital Transformation Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,Y,Digital Technology,,,,,,
Dispatch Coordinator,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Dispatcher,Transportation and Storage,"Postal activities, Warehousing and storage",Higher Education,No,No,Tourism,Tourism,,,,,,
Diversity & Inclusion Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Document Controller (Construction),Construction,Construction of buildings,Higher Education,No,No,Tourism,Tourism,,,,,,
Documentation Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,,
Domestic Refrigeration And Air-Conditioning Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N,,,,,,
Doorkeeper,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Drafting Technician,Manufacturing,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,,
Drafting Technician (Architecture),Architecture,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2924.0,4784.0,2094.0,3370.0,61.12,62.14
Draftsman,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Dressmaker,Manufacturing,Custom tailoring and dressmaking,Not Higher Education,No,No,N,N,,,,,,
Drilling Rig Operators,Construction,Construction of utility projects,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Drying And Milling Plant Service Technician,Manufacturing,"Manufacture of grain mill products, starches and starch products",Not Higher Education,No,No,N,N,,,,,,
Early Learning Materials Developer,Professional Teachers,Other Education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Ecological Survey Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
E-Commerce Data Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Financial Services,,,,,,
E-Commerce Support Associate,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,Yes,Y,Financial Services,,,,,,
Economic Data Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,Y,Digital Technology,,,,,,
Economic Policy Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Economics Instructor,Education,Higher education,Higher Education,No,No,N,N,,,,,,
Eco-Tourism Guide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,No,Tourism,Tourism,,,,,,
Eco-Tourism Program Aide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Eco-Tourism Program Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Editorial Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N,,,,,,
Education Program Assistant,Education,Other Education,Higher Education,No,Yes,N,N,,,,,,
Electric Discharge Machine-Sinking Operator,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,N,,,,,,
Electric Power Distribution Line Worker,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N,,,,,,
Electrical Appliance Servicer,Other Service Activities,Repair of personal and household goods,Higher Education,No,No,N,N,,,,,,
Electrical Distribution Engineer,Electrical Engineering,"Electric power generation, transmission and distribution",Higher Education,Yes,No,N,N,1218.0,3945.0,1655.0,3058.0,30.87,54.12
Electrical Systems Technician,Electrical Engineering,"Electric power generation, transmission and distribution",Higher Education,Yes,No,N,N,1218.0,3945.0,1655.0,3058.0,30.87,54.12
Electrical Technician (Automotive),Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,N,,,,,,
Electronic Products Assembler,Manufacturing,Manufacture of electronic components,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Electronics Design Engineer,Electronics Engineering,Manufacture of electronic components,Higher Education,Yes,No,Y,Advanced Manufacturing,842.0,2524.0,999.0,2172.0,33.36,45.99
Electronics Operator,Manufacturing,Manufacture of electronic components,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Electronics Repair Technician,Manufacturing,Manufacture of consumer electronics,Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,,
Electronics Test Technician,Manufacturing,Manufacture of consumer electronics,Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,,
Elevator Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Elevator Installation Technician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Tourism,Tourism,,,,,,
Elevator Installer,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Embalmer,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health,,,,,,
Embassy Administrative AttachÃ©,Public Administration and Defense; Compulsory Social Security,Foreign affairs,Higher Education,No,Yes,N,N,,,,,,
Embedded Systems Developer,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Embedded Systems Technician,Electronics Engineering,Manufacture of electronic components,Higher Education,Yes,No,Y,Advanced Manufacturing,842.0,2524.0,999.0,2172.0,33.36,45.99
Embroiderer,Manufacturing,Manufacture of knitted and crocheted apparel,Not Higher Education,No,No,N,N,,,,,,
Emergency Medical Technician,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,,
Emergency Response Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,N,N,,,,,,
Employee Engagement Officer,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services,,,,,,
Energy Auditors,Manufacturing,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Energy Conservation Officer,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N,,,,,,
Engine Repair Specialist,Manufacturing,"Repair of fabricated metal products, machinery and equipment",Not Higher Education,No,No,N,N,,,,,,
Engineered Bamboo Processor,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",Not Higher Education,No,No,N,N,,,,,,
Engineering Assistant (Healthcare),Medical Technology,Hospital activities,Higher Education,Yes,No,Y,Health,3892.0,5401.0,3872.0,5574.0,72.06,69.47
English Education Materials Writer,Education,Other Education,Higher Education,No,No,N,N,,,,,,
English Subject Teacher,Professional Teachers,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Enterprise Development Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services,,,,,,
Enumerator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Not Higher Education,No,No,N,N,,,,,,
Environment and Occupational Safety and Health Specialist (Manufacturing),Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N,,,,,,
"Environment, Safety & Health Officers",Construction,Construction of utility projects,Higher Education,No,No,Tourism,Tourism,,,,,,
Environmental Compliance Analyst,"Water Supply; Sewerage, Waste Management and Remediation",Remediation activities and other waste management services,Higher Education,No,No,Tourism,Tourism,,,,,,
Environmental Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,No,N,N,,,,,,
Environmental Field Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Environmental Health Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health,,,,,,
Environmental Impact Analyst,"Water Supply; Sewerage, Waste Management and Remediation",Remediation activities and other waste management services,Higher Education,No,No,Tourism,Tourism,,,,,,
Equipment Dispatchers,Construction,Construction of utility projects,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Equipment Technicians,Construction,Construction of utility projects,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Equipment Tool Keepers,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Erection Crew,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,,
ESL Curriculum Assistant,Education,Other Education,Higher Education,No,Yes,N,N,,,,,,
ESL Trainer,Education,Other Education,Higher Education,No,No,N,N,,,,,,
Estimator,Civil Engineering,Warehousing and storage,Higher Education,Yes,No,Tourism,Tourism,6180.0,18582.0,6835.0,18436.0,33.26,37.07
Ethics Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,N,,,,,,
EU Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
EV Battery Automotive MechanicÂ ,Manufacturing,Manufacture of batteries and accumulators,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Events Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services,,,,,,
Executive Assistant (Airline),Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services,,,,,,
Executive Secretary,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services,,,,,,
Exercise Physiologist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,No,Y,Health,,,,,,
Exhibit Design Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N,,,,,,
Exhibits Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,,
Export Brokerage Clerk,Transportation and Storage,"Freight air transport, Sea and coastal water transport",Higher Education,No,Yes,Tourism,Tourism,,,,,,
External Auditor,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,31.37,30.17
Eyelash And Eyebrow Technician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,,
Fabric Quality Controller,Manufacturing,Manufacture of other textiles,Higher Education,No,No,N,N,,,,,,
Facilities Management Assistant,Administrative and Support Service Activities,Landscape care and maintenance service activities,Higher Education,No,Yes,Y,Financial Services,,,,,,
Facility Cleaning Specialist,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Failure Analysis Technician,Manufacturing,Manufacture of electronic components,Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,,
Faith Formation Instructor,Professional Teachers,Other education services,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Faith-Based NGO Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Family Life Educator,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health,,,,,,
Family Welfare Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health,,,,,,
Farm Equipment Fabricator,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",Not Higher Education,No,No,N,N,,,,,,
Farm Operations Assistant,Agricultural Engineering,Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N,615.0,1841.0,1479.0,2625.0,33.41,56.34
Farm Systems Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,N,N,,,,,,
Farm Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,N,N,,,,,,
Farm Tour Assistant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Fashion Designer,Manufacturing,"Manufacture of wearing apparel, except fur apparel",Not Higher Education,No,No,N,N,,,,,,
Fashion Exhibition Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N,,,,,,
Fashion Merchandising Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale in Specialized Stores,Higher Education,No,Yes,N,N,,,,,,
Fiber Optic Cable Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,N,N,,,,,,
Fiber Optic Technician,Information and Communication,Wired telecommunications activities,Higher Education,No,Yes,N,N,,,,,,
Field Agronomist Assistant,Agricultural Engineering,Plant propagation,Higher Education,Yes,No,N,N,615.0,1841.0,1479.0,2625.0,33.41,56.34
Field Development Associate,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,Health,,,,,,
Field Engineers,Civil Engineering,Construction of buildings,Higher Education,Yes,No,Tourism,Tourism,6180.0,18582.0,6835.0,18436.0,33.26,37.07
Field Science Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,,
Field Service Technician (Electronics),Manufacturing,Manufacture of consumer electronics,Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,,
Filipino Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,,
Filipino Language Educator,Education,Other Education,Higher Education,No,No,N,N,,,,,,
Filipino Sign Language Interpreter,Other Service Activities,"Other personal service activities, n.e.c.",Not Higher Education,No,No,N,N,,,,,,
Film and Video Editor,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,N,N,,,,,,
Finance Assistant (Cooperatives),Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes,Y,Financial Services,,,,,,
Finance Associate,Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes,Y,Financial Services,,,,,,
Financial Auditor,Professional Teachers,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Finishing Mason,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,,
First-Aider,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,,
Fish Finder Operator,Manufacturing,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Fish Packaging Worker,Manufacturing,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No,N,N,,,,,,
Fish Processing Technician,Food Technology,Aquaculture,Higher Education,Yes,No,N,N,453.0,1133.0,510.0,995.0,39.98,51.26
Fish Quality Inspector,Food Technology,Fishing,Higher Education,Yes,No,N,N,453.0,1133.0,510.0,995.0,39.98,51.26
Fishery Operations Assistant,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,N,N,,,,,,
Fishnet Maker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,N,,,,,,
Fitness Instructor,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,No,N,N,,,,,,
Fitness Testing Technician,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,N,N,,,,,,
Fixed Wireless Broadband Installer,Information and Communication,Wireless telecommunications activities,Not Higher Education,No,No,N,N,,,,,,
Flight Dispatch Officer,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,Tourism,Tourism,,,,,,
Flight Engineers,Transportation and Storage,Support activities for transportation,Higher Education,No,No,Tourism,Tourism,,,,,,
Flight Operations Assistant,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,Yes,Tourism,Tourism,,,,,,
Florist,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,,
Food and Beverage Attendant,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Food Processing Worker,Manufacturing,Manufacture of other food products,Not Higher Education,No,No,N,N,,,,,,
Food Product Developer,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,,
Food Safety Auditor                         ,Food Technology,Manufacture of other food products,Higher Education,Yes,No,N,N,453.0,1133.0,510.0,995.0,39.98,51.26
Food Safety Officer,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,No,Tourism,Tourism,,,,,,
Food Service Worker,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,,
Food Technologist,Food Technology,Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N,453.0,1133.0,510.0,995.0,39.98,51.26
