Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector
Corporate Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N
Cost Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services
Cost Controller,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,Y,Financial Services
Courier,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,N
Courier Scheduler,Transportation and Storage,Courier activities,Higher Education,No,Yes,N,N
Court Clerk,Public Administration and Defense; Compulsory Social Security,Justice and Judicial Activities,Higher Education,No,Yes,N,N
Court Stenographer,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Not Higher Education,No,No,N,N
"Crane, Hoist and Lift Operator",Transportation and Storage,Warehousing and storage,Not Higher Education,No,No,N,N
Crawler Crane Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,N
Creative Writing Instructor,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,N
Criminal Investigator (Registered Criminologist),Public Administration and Defense; Compulsory Social Security,Public Order and Safety Activities,Higher Education,Yes,No,N,N
Crop Field Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,N,N
Cruise Cabin Attendant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,N,N
Cruise Operations Assistant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,N,N
Culinary Tour Assistant,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,Yes,N,N
Cultural Affairs Officer,Public Administration and Defense; Compulsory Social Security,Other Personal Service Activities,Higher Education,No,No,N,N
Cultural Dancer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N
Cultural Heritage Researcher,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N
Culture & Communications Analyst,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N
Curriculum Designer,Education,Educational support services,Not Higher Education,No,No,N,N
Customer Interaction Specialist,Information and Communication,Other information service activities,Higher Education,No,No,N,N
Customer Service Representative,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Not Higher Education,No,No,Y,Financial Services
Customs Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,Yes,No,N,N
Cyber Threat Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology
Cybersecurity Help Desk,Information and Communication,Other information service activities,Not Higher Education,No,No,Y,Digital Technology
Dairy Farm Milker,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N
Dancer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N
Data Analyst Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology
Data Annotation Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology
Data Encoder (Healthcare Facility),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,Health
Data Encoding Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology
Data Management Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services
Data Quality Specialist,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,Y,Digital Technology
Data Scientist,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,Y,Digital Technology
Database Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology
Delivery Driver,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,N
Demi Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,N,N
Dental Hygienist,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health
Dental Laboratory Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health
Dental Laboratory Technician ,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health
Dentist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health
Dermopigmentation/Tattoo Artist,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N
Design Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N
Development Education Assistant,Education,Other Education,Higher Education,Yes,No,N,N
Development Planning Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Development Researcher,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,No,N,N
Dialysis Nurse,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health
Diesel Power Plant Operator,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N
Digital Background Painting ,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,Y,Digital Technology
Digital Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,Y,Digital Technology
Digital Fabrication Machine Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,Y,Digital Technology
Digital Marketing Specialist,"Professional, Scientific and Technical Activities",Advertising,Not Higher Education,No,No,Y,Digital Technology
Digital Sales Support Staff,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,No,Y,Digital Technology
Digital Transformation Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,Y,Digital Technology
Dispatch Coordinator,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,N
Dispatcher,Transportation and Storage,"Postal activities, Warehousing and storage",Higher Education,No,No,N,N
Diversity & Inclusion Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
Document Controller (Construction),Construction,Construction of buildings,Higher Education,No,No,Y,Tourism
Documentation Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N
Domestic Refrigeration And Air-Conditioning Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N
Doorkeeper,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,N
Drafting Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Higher Education,No,Yes,Y,Advanced Manufacturing
Drafting Technician (Architecture),"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N
Draftsman,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,Tourism
Dressmaker,Manufacturing                                                ,Custom tailoring and dressmaking,Not Higher Education,No,No,N,N
Drilling Rig Operators,Construction,Construction of utility projects,Not Higher Education,No,No,Y,Tourism
Drying And Milling Plant Service Technician,Manufacturing                                                ,"Manufacture of grain mill products, starches and starch products",Not Higher Education,No,No,N,N
Early Learning Materials Developer,Education,Other Education,Higher Education,Yes,No,N,N
Ecological Survey Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
E-Commerce Data Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Financial Services
E-Commerce Support Associate,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,Yes,Y,Financial Services
Economic Data Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,Y,Digital Technology
Economic Policy Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
Economics Instructor,Education,Higher education,Higher Education,No,No,N,N
Eco-Tourism Guide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,No,N,N
Eco-Tourism Program Aide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,N,N
Eco-Tourism Program Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Editorial Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N
Education Program Assistant,Education,Other Education,Higher Education,No,Yes,N,N
Electric Discharge Machine-Sinking Operator,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,N
Electric Power Distribution Line Worker,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N
Electrical Appliance Servicer,Other Service Activities,Repair of personal and household goods,Higher Education,No,No,N,N
Electrical Distribution Engineer,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No,N,N
Electrical Systems Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No,N,N
Electrical Technician (Automotive),Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,N
Electronic Products Assembler,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,Y,Advanced Manufacturing
Electronics Design Engineer,Manufacturing                                                ,Manufacture of electronic components,Higher Education,Yes,No,Y,Advanced Manufacturing
Electronics Operator,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,Y,Advanced Manufacturing
Electronics Repair Technician,Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,Y,Advanced Manufacturing
Electronics Test Technician,Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,Y,Advanced Manufacturing
Elevator Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,N
Elevator Installation Technician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,Tourism
Elevator Installer,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,Tourism
Embalmer,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health
Embassy Administrative Attaché,Public Administration and Defense; Compulsory Social Security,Foreign affairs,Higher Education,No,Yes,N,N
Embedded Systems Developer,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,Digital Technology
Embedded Systems Technician,Manufacturing                                                ,Manufacture of electronic components,Higher Education,Yes,No,Y,Advanced Manufacturing
Embroiderer,Manufacturing                                                ,Manufacture of knitted and crocheted apparel,Not Higher Education,No,No,N,N
Emergency Medical Technician,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health
Emergency Response Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,N,N
Employee Engagement Officer,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services
Energy Auditors,Manufacturing                                                ,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Higher Education,No,No,Y,Advanced Manufacturing
Energy Conservation Officer,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N
Engine Repair Specialist,Manufacturing                                                ,"Repair of fabricated metal products, machinery and equipment",Not Higher Education,No,No,N,N
Engineered Bamboo Processor,Manufacturing                                                ,"Manufacture of products of wood, cork, straw and plaiting materials",Not Higher Education,No,No,N,N
Engineering Assistant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,Y,Health
English Education Materials Writer,Education,Other Education,Higher Education,No,No,N,N
English Subject Teacher,Education,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,N,N
Enterprise Development Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services
Enumerator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Not Higher Education,No,No,N,N
Environment and Occupational Safety and Health Specialist (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N
"Environment, Safety & Health Officers",Construction,Construction of utility projects,Higher Education,No,No,Y,Tourism
Environmental Compliance Analyst,"Water Supply; Sewerage, Waste Management and Remediation     ",Remediation activities and other waste management services,Higher Education,No,No,N,N
Environmental Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,No,N,N
Environmental Field Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Environmental Health Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health
Environmental Impact Analyst,"Water Supply; Sewerage, Waste Management and Remediation     ",Remediation activities and other waste management services,Higher Education,No,No,N,N
Equipment Dispatchers,Construction,Construction of utility projects,Not Higher Education,No,No,Y,Tourism
Equipment Technicians,Construction,Construction of utility projects,Not Higher Education,No,No,Y,Tourism
Equipment Tool Keepers,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,Tourism
Erection Crew,Construction,Construction of buildings,Not Higher Education,No,No,Y,Tourism
ESL Curriculum Assistant,Education,Other Education,Higher Education,No,Yes,N,N
ESL Trainer,Education,Other Education,Higher Education,No,No,N,N
Estimator,Transportation and Storage,Warehousing and storage,Higher Education,Yes,No,N,N
Ethics Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,N
EU Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
EV Battery Automotive Mechanic ,Manufacturing                                                ,Manufacture of batteries and accumulators,Not Higher Education,No,No,Y,Advanced Manufacturing
Events Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services
Executive Assistant (Airline),Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services
Executive Secretary,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services
Exercise Physiologist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,No,Y,Health
Exhibit Design Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N
Exhibits Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N
Export Brokerage Clerk,Transportation and Storage,"Freight air transport, Sea and coastal water transport",Higher Education,No,Yes,N,N
External Auditor,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services
Eyelash And Eyebrow Technician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N
Fabric Quality Controller,Manufacturing                                                ,Manufacture of other textiles,Higher Education,No,No,N,N
Facilities Management Assistant,Administrative and Support Service Activities,Landscape care and maintenance service activities,Higher Education,No,Yes,Y,Financial Services
Facility Cleaning Specialist,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,N,N
Failure Analysis Technician,Manufacturing                                                ,Manufacture of electronic components,Higher Education,No,Yes,Y,Advanced Manufacturing
Faith Formation Instructor,Education,Other education services,Higher Education,Yes,No,N,N
Faith-Based NGO Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,N,N
Family Life Educator,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health
Family Welfare Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health
Farm Equipment Fabricator,Manufacturing                                                ,"Manufacture of structural metal products, tanks, reservoirs and steam generators",Not Higher Education,No,No,N,N
Farm Operations Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N
Farm Systems Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,N,N
Farm Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,N,N
Farm Tour Assistant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,N,N
Fashion Designer,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Not Higher Education,No,No,N,N
Fashion Exhibition Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N
Fashion Merchandising Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale in Specialized Stores,Higher Education,No,Yes,N,N
Fiber Optic Cable Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,N,N
Fiber Optic Technician,Information and Communication,Wired telecommunications activities,Higher Education,No,Yes,N,N
Field Agronomist Assistant,"Agriculture, Forestry, and Fishing",Plant propagation,Higher Education,Yes,No,N,N
Field Development Associate,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,Health
Field Engineers,Construction,Construction of buildings,Higher Education,Yes,No,Y,Tourism
Field Science Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N
Field Service Technician (Electronics),Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,Y,Advanced Manufacturing
Filipino Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N
Filipino Language Educator,Education,Other Education,Higher Education,No,No,N,N
Filipino Sign Language Interpreter,Other Service Activities,"Other personal service activities, n.e.c.",Not Higher Education,No,No,N,N
Film and Video Editor,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,N,N
Finance Assistant (Cooperatives),Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes,Y,Financial Services
Finance Associate,Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes,Y,Financial Services
Financial Auditor,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services
Finishing Mason,Construction,Construction of buildings,Not Higher Education,No,No,Y,Tourism
First-Aider,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health
Fish Finder Operator,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,Y,Advanced Manufacturing
Fish Packaging Worker,Manufacturing                                                ,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No,N,N
Fish Processing Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,Yes,No,N,N
Fish Quality Inspector,"Agriculture, Forestry, and Fishing",Fishing,Higher Education,Yes,No,N,N
Fishery Operations Assistant,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,N,N
Fishnet Maker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,N
Fitness Instructor,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,No,N,N
Fitness Testing Technician,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,N,N
Fixed Wireless Broadband Installer,Information and Communication,Wireless telecommunications activities,Not Higher Education,No,No,N,N
Flight Dispatch Officer,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,N,N
Flight Engineers,Transportation and Storage,Support activities for transportation,Higher Education,No,No,N,N
Flight Operations Assistant,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,Yes,N,N
Florist,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N
Food and Beverage Attendant,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,Yes,N,N
Food Processing Worker,Manufacturing                                                ,Manufacture of other food products,Not Higher Education,No,No,N,N
Food Product Developer,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,N,N
Food Safety Auditor                         ,Manufacturing                                                ,Manufacture of other food products,Higher Education,Yes,No,N,N
Food Safety Officer,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,No,N,N
Food Service Worker,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,N,N
Food Technologist,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N
Foreign Affairs Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
Foreign Language Teacher (Arabic),Education,Other education services,Higher Education,Yes,No,N,N
Foreign Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,N
Forensic Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services
Forensic Lab Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Forensic Laboratory Analyst,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,N
Forestry Extension Assistant,"Agriculture, Forestry, and Fishing",Silviculture and other forestry activities,Higher Education,Yes,No,N,N
Forging Machine Operator,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,N
Forklift Drivers,Transportation and Storage,Other land transport,Not Higher Education,No,No,N,N
Forklift Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,N
Formworks Crew,Construction,Construction of buildings,Not Higher Education,No,No,Y,Tourism
Foundry Melter,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No,N,N
Foundry Molder,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No,N,N
Foundry Patternmaker,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No,N,N
Freight and Furniture Handlers,Transportation and Storage,Freight air transport,Not Higher Education,No,No,N,N
Front End Game Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology
Front Office Agent,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,N,N
Front-End Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology
Front-End Web Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,Digital Technology
Furniture Maker Finisher,Manufacturing                                                ,Manufacture of furniture,Not Higher Education,No,No,N,N
Game Designer,Information and Communication,Other information service activities,Higher Education,No,No,N,N
Game Programmer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,Digital Technology
Garment Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,N,N
Gas Welder (Oxy-Acetylene),Construction,Other specialized construction activities,Not Higher Education,No,No,Y,Tourism
Genealogist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N
General Subject Basic Education Teacher,Education,Primary/elementary education,Higher Education,Yes,No,N,N
General Subject High School Teacher,Education,Secondary/high school education,Higher Education,Yes,No,N,N
Generator Set Tenders,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,Tourism
Geothermal Plant Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Manufacture of gas; distribution of gaseous fuels through mains,Higher Education,No,Yes,N,N
Geriatric Physical Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health
GIS & Spatial Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
Global Programs Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Gondola Tenders,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,Tourism
Government Program Officer,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,N,N
Government Records Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,N,N
Graphic Designer,Information and Communication,Other information service activities,Higher Education,No,No,N,N
Green Coffee Beans Processor,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N
Ground Operations Crew Member,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,N,N
GTAW/TIG Welder,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,Tourism
Guest Relations Associate,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,N,N
HACCP Coordinator                           ,Manufacturing                                                ,Manufacture of other food products,Higher Education,No,No,N,N
Hairdresser,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N
Halal Compliance Specialist,Manufacturing,Manufacture of other food products,Higher Education,No,No,N,N
Halal Seaweed Processing Worker,Manufacturing                                                ,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No,N,N
Halal Slaughterer,Manufacturing                                                ,Processing and preserving of meat,Not Higher Education,No,No,N,N
Handloom Weaver,Manufacturing                                                ,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,N,N
Hatchery Farm Worker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,N
HDD FOL Operator,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,Y,Advanced Manufacturing
Health and Safety Officer (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N
Health Information Management Technician,Information and Communication,"Data processing, hosting and related activities; web portals (if digitized records)OR Other information service activities (if part of IT-BPM support to healthcare)",Higher Education,No,Yes,N,N
Health Program Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health
Health Promotion Officer,Human Health and Social Work Activities,Other human health activities,Higher Education,No,No,Y,Health
Health Services Clerk,Human Health and Social Work Activities,Human Health Activities,Higher Education,No,Yes,Y,Health
Heat Treater,Manufacturing                                                ,Manufacture of basic iron and steel,Not Higher Education,No,No,N,N
Heavy Equipment Mechanic,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,Tourism
Heavy Equipment Operator (High School),Construction,Demolition and site preparation,Not Higher Education,No,No,N,N
Herbal Remedies Research Aide,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health
Heritage Planner,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N
Heritage Site Guide,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N
Heritage Tourism Operator,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N
Heritage Tradesperson / Heritage Conservation Technician,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N
High School Science Teacher,Education,Secondary/high school education,Higher Education,Yes,No,N,N
History Lecturer,Education,Higher education,Higher Education,No,No,N,N
Home Economics Extension Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health
Home-Based Birth Assistant (Registered Midwife),Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health
Horse Riding Instructor,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N
Horticulture Assistant,"Agriculture, Forestry, and Fishing",Plant propagation,Higher Education,No,Yes,N,N
Hospital Administration Associate,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,Health
Hospital Caregiver,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,Health
Hospital Nursing Aide,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,Health
