Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI
Data Encoding Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No
Data Management Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes
Data Quality Specialist,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No
Data Scientist,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No
Database Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes
Delivery Driver,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No
Demi Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No
Dental Hygienist,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No
Dental Laboratory Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No
Dental Laboratory Technician ,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No
Dentist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No
Dermopigmentation/Tattoo Artist,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No
Design Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No
Development Education Assistant,Education,Other Education,Higher Education,Yes,No
Development Planning Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Development Researcher,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,No
Dialysis Nurse,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No
Diesel Power Plant Operator,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No
Digital Background Painting ,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No
Digital Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No
Digital Fabrication Machine Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No
Digital Marketing Specialist,"Professional, Scientific and Technical Activities",Advertising,Not Higher Education,No,No
Digital Sales Support Staff,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,No
Digital Transformation Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Dispatch Coordinator,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes
Dispatcher,Transportation and Storage,"Postal activities, Warehousing and storage",Higher Education,No,No
Diversity & Inclusion Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Document Controller (Construction),Construction,Construction of buildings,Higher Education,No,No
Documentation Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No
Domestic Refrigeration And Air-Conditioning Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No
Doorkeeper,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No
Drafting Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Higher Education,No,Yes
Drafting Technician (Architecture),"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No
Draftsman,Construction,Other specialized construction activities,Not Higher Education,No,No
Dressmaker,Manufacturing                                                ,Custom tailoring and dressmaking,Not Higher Education,No,No
Drilling Rig Operators,Construction,Construction of utility projects,Not Higher Education,No,No
Drying And Milling Plant Service Technician,Manufacturing                                                ,"Manufacture of grain mill products, starches and starch products",Not Higher Education,No,No
Early Learning Materials Developer,Education,Other Education,Higher Education,Yes,No
Ecological Survey Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
E-Commerce Data Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No
E-Commerce Support Associate,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,Yes
Economic Data Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Economic Policy Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Economics Instructor,Education,Higher education,Higher Education,No,No
Eco-Tourism Guide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,No
Eco-Tourism Program Aide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes
Eco-Tourism Program Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Editorial Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes
Education Program Assistant,Education,Other Education,Higher Education,No,Yes
Electric Discharge Machine-Sinking Operator,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No
Electric Power Distribution Line Worker,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No
Electrical Appliance Servicer,Other Service Activities,Repair of personal and household goods,Higher Education,No,No
Electrical Distribution Engineer,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No
Electrical Systems Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No
Electrical Technician (Automotive),Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No
Electronic Products Assembler,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No
Electronics Design Engineer,Manufacturing                                                ,Manufacture of electronic components,Higher Education,Yes,No
Electronics Operator,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No
Electronics Repair Technician,Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes
Electronics Test Technician,Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes
Elevator Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No
Elevator Installation Technician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No
Elevator Installer,Construction,Other specialized construction activities,Not Higher Education,No,No
Embalmer,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No
Embassy Administrative Attaché,Public Administration and Defense; Compulsory Social Security,Foreign affairs,Higher Education,No,Yes
Embedded Systems Developer,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No
Embedded Systems Technician,Manufacturing                                                ,Manufacture of electronic components,Higher Education,Yes,No
Embroiderer,Manufacturing                                                ,Manufacture of knitted and crocheted apparel,Not Higher Education,No,No
Emergency Medical Technician,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No
Emergency Response Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No
Employee Engagement Officer,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No
Energy Auditors,Manufacturing                                                ,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Higher Education,No,No
Energy Conservation Officer,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No
Engine Repair Specialist,Manufacturing                                                ,"Repair of fabricated metal products, machinery and equipment",Not Higher Education,No,No
Engineered Bamboo Processor,Manufacturing                                                ,"Manufacture of products of wood, cork, straw and plaiting materials",Not Higher Education,No,No
Engineering Assistant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No
English Education Materials Writer,Education,Other Education,Higher Education,No,No
English Subject Teacher,Education,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No
Enterprise Development Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes
Enumerator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Not Higher Education,No,No
Environment and Occupational Safety and Health Specialist (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No
"Environment, Safety & Health Officers",Construction,Construction of utility projects,Higher Education,No,No
Environmental Compliance Analyst,"Water Supply; Sewerage, Waste Management and Remediation     ",Remediation activities and other waste management services,Higher Education,No,No
Environmental Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,No
Environmental Field Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Environmental Health Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes
Environmental Impact Analyst,"Water Supply; Sewerage, Waste Management and Remediation     ",Remediation activities and other waste management services,Higher Education,No,No
Equipment Dispatchers,Construction,Construction of utility projects,Not Higher Education,No,No
Equipment Technicians,Construction,Construction of utility projects,Not Higher Education,No,No
Equipment Tool Keepers,Construction,Other specialized construction activities,Not Higher Education,No,No
Erection Crew,Construction,Construction of buildings,Not Higher Education,No,No
ESL Curriculum Assistant,Education,Other Education,Higher Education,No,Yes
ESL Trainer,Education,Other Education,Higher Education,No,No
Estimator,Transportation and Storage,Warehousing and storage,Higher Education,Yes,No
Ethics Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes
EU Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
EV Battery Automotive Mechanic ,Manufacturing                                                ,Manufacture of batteries and accumulators,Not Higher Education,No,No
Events Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes
Executive Assistant (Airline),Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes
Executive Secretary,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes
Exercise Physiologist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,No
Exhibit Design Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes
Exhibits Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No
Export Brokerage Clerk,Transportation and Storage,"Freight air transport, Sea and coastal water transport",Higher Education,No,Yes
External Auditor,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No
Eyelash And Eyebrow Technician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No
Fabric Quality Controller,Manufacturing                                                ,Manufacture of other textiles,Higher Education,No,No
Facilities Management Assistant,Administrative and Support Service Activities,Landscape care and maintenance service activities,Higher Education,No,Yes
Facility Cleaning Specialist,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No
Failure Analysis Technician,Manufacturing                                                ,Manufacture of electronic components,Higher Education,No,Yes
Faith Formation Instructor,Education,Other education services,Higher Education,Yes,No
Faith-Based NGO Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes
Family Life Educator,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No
Family Welfare Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No
Farm Equipment Fabricator,Manufacturing                                                ,"Manufacture of structural metal products, tanks, reservoirs and steam generators",Not Higher Education,No,No
Farm Operations Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No
Farm Systems Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes
Farm Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes
Farm Tour Assistant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes
Fashion Designer,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Not Higher Education,No,No
Fashion Exhibition Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes
Fashion Merchandising Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale in Specialized Stores,Higher Education,No,Yes
Fiber Optic Cable Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No
Fiber Optic Technician,Information and Communication,Wired telecommunications activities,Higher Education,No,Yes
Field Agronomist Assistant,"Agriculture, Forestry, and Fishing",Plant propagation,Higher Education,Yes,No
Field Development Associate,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes
Field Engineers,Construction,Construction of buildings,Higher Education,Yes,No
Field Science Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes
Field Service Technician (Electronics),Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes
Filipino Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No
Filipino Language Educator,Education,Other Education,Higher Education,No,No
Filipino Sign Language Interpreter,Other Service Activities,"Other personal service activities, n.e.c.",Not Higher Education,No,No
Film and Video Editor,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No
Finance Assistant (Cooperatives),Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes
Finance Associate,Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes
Financial Auditor,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No
Finishing Mason,Construction,Construction of buildings,Not Higher Education,No,No
First-Aider,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No
Fish Finder Operator,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No
Fish Packaging Worker,Manufacturing                                                ,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No
Fish Processing Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,Yes,No
Fish Quality Inspector,"Agriculture, Forestry, and Fishing",Fishing,Higher Education,Yes,No
Fishery Operations Assistant,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes
Fishnet Maker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No
Fitness Instructor,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,No
Fitness Testing Technician,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes
Fixed Wireless Broadband Installer,Information and Communication,Wireless telecommunications activities,Not Higher Education,No,No
Flight Dispatch Officer,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No
Flight Engineers,Transportation and Storage,Support activities for transportation,Higher Education,No,No
Flight Operations Assistant,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,Yes
Florist,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No
Food and Beverage Attendant,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,Yes
Food Processing Worker,Manufacturing                                                ,Manufacture of other food products,Not Higher Education,No,No
Food Product Developer,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No
Food Safety Auditor                         ,Manufacturing                                                ,Manufacture of other food products,Higher Education,Yes,No
Food Safety Officer,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,No
Food Service Worker,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No
Food Technologist,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No
Foreign Affairs Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Foreign Language Teacher (Arabic),Education,Other education services,Higher Education,Yes,No
Foreign Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes
Forensic Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No
Forensic Lab Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Forensic Laboratory Analyst,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No
Forestry Extension Assistant,"Agriculture, Forestry, and Fishing",Silviculture and other forestry activities,Higher Education,Yes,No
Forging Machine Operator,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No
Forklift Drivers,Transportation and Storage,Other land transport,Not Higher Education,No,No
Forklift Operator,Construction,Demolition and site preparation,Not Higher Education,No,No
Formworks Crew,Construction,Construction of buildings,Not Higher Education,No,No
Foundry Melter,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No
Foundry Molder,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No
Foundry Patternmaker,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No
Freight and Furniture Handlers,Transportation and Storage,Freight air transport,Not Higher Education,No,No
Front End Game Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No
Front Office Agent,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No
Front-End Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No
Front-End Web Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No
Furniture Maker Finisher,Manufacturing                                                ,Manufacture of furniture,Not Higher Education,No,No
Game Designer,Information and Communication,Other information service activities,Higher Education,No,No
Game Programmer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No
Garment Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes
Gas Welder (Oxy-Acetylene),Construction,Other specialized construction activities,Not Higher Education,No,No
Genealogist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No
General Subject Basic Education Teacher,Education,Primary/elementary education,Higher Education,Yes,No
General Subject High School Teacher,Education,Secondary/high school education,Higher Education,Yes,No
Generator Set Tenders,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No
Geothermal Plant Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Manufacture of gas; distribution of gaseous fuels through mains,Higher Education,No,Yes
Geriatric Physical Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No
GIS & Spatial Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Global Programs Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Gondola Tenders,Construction,Other specialized construction activities,Not Higher Education,No,No
Government Program Officer,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No
Government Records Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes
Graphic Designer,Information and Communication,Other information service activities,Higher Education,No,No
Green Coffee Beans Processor,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No
Ground Operations Crew Member,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No
GTAW/TIG Welder,Construction,Other specialized construction activities,Not Higher Education,No,No
Guest Relations Associate,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes
HACCP Coordinator                           ,Manufacturing                                                ,Manufacture of other food products,Higher Education,No,No
Hairdresser,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No
Halal Compliance Specialist,Manufacturing,Manufacture of other food products,Higher Education,No,No
Halal Seaweed Processing Worker,Manufacturing                                                ,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No
Halal Slaughterer,Manufacturing                                                ,Processing and preserving of meat,Not Higher Education,No,No
Handloom Weaver,Manufacturing                                                ,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No
Hatchery Farm Worker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No
HDD FOL Operator,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No
Health and Safety Officer (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No
Health Information Management Technician,Information and Communication,"Data processing, hosting and related activities; web portals (if digitized records)OR Other information service activities (if part of IT-BPM support to healthcare)",Higher Education,No,Yes
Health Program Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes
Health Promotion Officer,Human Health and Social Work Activities,Other human health activities,Higher Education,No,No
Health Services Clerk,Human Health and Social Work Activities,Human Health Activities,Higher Education,No,Yes
Heat Treater,Manufacturing                                                ,Manufacture of basic iron and steel,Not Higher Education,No,No
Heavy Equipment Mechanic,Construction,Other specialized construction activities,Not Higher Education,No,No
Heavy Equipment Operator (High School),Construction,Demolition and site preparation,Not Higher Education,No,No
Herbal Remedies Research Aide,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes
Heritage Planner,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes
Heritage Site Guide,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No
Heritage Tourism Operator,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes
Heritage Tradesperson / Heritage Conservation Technician,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes
High School Science Teacher,Education,Secondary/high school education,Higher Education,Yes,No
History Lecturer,Education,Higher education,Higher Education,No,No
Home Economics Extension Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No
Home-Based Birth Assistant (Registered Midwife),Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No
Horse Riding Instructor,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No
Horticulture Assistant,"Agriculture, Forestry, and Fishing",Plant propagation,Higher Education,No,Yes
Hospital Administration Associate,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes
Hospital Caregiver,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No
Hospital Nursing Aide,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No
Hospital Pharmacist,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No
Hospitality Systems and Technology Analyst,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No
Hotel Cleaners,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No
Hotel Duty Engineer,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,Yes,No
Hotel Maintenance,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No
Hotel Receptionist,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes
Hotel Services Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes
Household Equipment Technician,Other Service Activities,Repair of personal and household goods,Higher Education,No,Yes
Housekeeping Attendant,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No
HR Assistants / Timekeepers (Construction),Construction,Construction of buildings,Higher Education,No,No
HR Business Partner,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No
HR Operations and Technology Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No
Human Resource Assistant (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes
Human Resource Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes
Human Resource Staff (Construction),Construction,Construction of buildings,Higher Education,No,No
Humanitarian Affairs Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No
Humanities Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
HVAC Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Higher Education,No,Yes
Hydraulic Excavator Operator,Construction,Demolition and site preparation,Not Higher Education,No,No
IC Designer,Manufacturing                                                ,Manufacture of electronic components,Higher Education,No,No
Ice Plant Refrigeration Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No
Import Coordinator,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No
Import/Export Documentation Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes
Industrial Automation Technician,Manufacturing                                                ,Manufacture of general purpose machinery,Higher Education,No,Yes
Industrial Chemist (Licensed),Manufacturing                                                ,Manufacture of basic chemicals,Higher Education,Yes,No
Industrial Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No
Industrial Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Industrial Refrigeration Plant Operator,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No
Industrial Scheduler,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Infrastructure Support Technician,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes
Inland Water Fisheries Assistant,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,Yes,No
Institutional Catering Assistant,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,Yes
Instrumental Music Teacher,Education,Other education services,Higher Education,Yes,No
Instrumentation And Automation Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No
Instrumentation Engineer (Licensed),"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No
Insurance Processors,Financial and Insurance Activities,Activities auxiliary to insurance and pension funding,Not Higher Education,No,No
Interactive Content Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No
Interactive Media Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes
Intercultural Program Facilitator,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No
Interfaith Program Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes
Interior Architect (Tourism),"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No
Interior Design Assistant,"Professional, Scientific And Technical Activities",Specialized design activities,Higher Education,Yes,No
Internal Communications Specialist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No
International Affairs Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes
International Cooperation Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
International Trade Support Staff,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Wholesale Trade,Higher Education,No,No
Inventory Analyst,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No
Inventory Clerk (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes
Inventory Management Assistant,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes
Investment Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No
Irrigation Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No
IT Business Analyst Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes
IT Support Specialist,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No
IT Support Technician (Air Transport),Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,Yes
IT Technical Support Personnel (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No
IT Technician,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,Yes
Japan Market Liaison,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No
Japanese Language and Culture Assistant,Education,Other Education,Higher Education,No,Yes
Java Programmer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No
Jobs Coordinator (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes
