,Provider Name,Class Name,Region Name,Province Name,City Name,Address,focal,phone,e mail,Qualification,Trainer Count,Enrolled,Graduates
5163,3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Asturias,"Lamac, New Bago, Asturias, Cebu",ANA LIZA M. AUGUSTO,328-9150 / 0946-031-7176,3aprimeast@gmail.com,Food and Beverage Services NC II,1,60,20
5350,MAGSAYSAY CENTER FOR HOSPITALITY & CULINARY ARTS INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"F. Ramos St., Cebu City",Mr. Paolo Santino A. Guevara,254-0942,mihcacebu2014@gmail.com,Food and Beverage Services NC II,2,243,83
5368,"MGB SKILLS DEVELOPMENT AND ASSESSMENT CENTER, INC. ",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Salinas Drive Ext. Lahug, Cebu City",LEONIDES GABE MANAYAGA ,414-8526,mgb.sdaci@yahoo.com.ph,Food and Beverage Services NC II,1,3,3
5448,"SCHOOL OF KNOWLEDGE FOR INDUSTRIAL LABOR, LEADERSHIP AND SERVICE, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"SKILLS Campus, Gen. Maxilom Ave., Cebu City ","WILLIAM CHRISTOPHER U. LIU, JR.               ",234-6102      254-8163,project.manager@skills.com.ph,Food and Beverage Services NC II,1,65,0
5475,ST. LOUISE DE MARILLAC COLLEGE OF BOGO ,HEIs,Region VII - Central Visayas,Cebu,City of Bogo,"Bogo, Cebu","Sr.Elenita E. Soriano, DC",260-1365 / 09670127261,slmcbogo@ciccebu.edu.ph,Food and Beverage Services NC II,1,16,15
5512,THE FOUNDATION FOR PROFESSIONAL TRAINING INC. DOING BUSINESS UNDER THE NAME AND STYLE OF ANIHAN TECH,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Archbishop Reyes Avenue, Cebu City",ELIZABETH M. LOPEZ,232-2304,bcpdcebu@yahoo.com,Food and Beverage Services NC II,1,100,142
5516,"TMJ TECHNOLOGY SKILLS TRAINING INSTITUTE AND ASSESSMENT CENTER, INC",TVIs,Region VII - Central Visayas,Cebu,City of Talisay,"3F Southface Arcade Bldg., F. Deiparine St., Tabunok, Talisay City, Cebu",LEAH R. ORNOPIA,09335083888,tmjtestac2016@gmail.com,Food and Beverage Services NC II,2,68,68
5522,"UNIVERSITY OF THE VISAYAS, INC.",HEIs,Region VII - Central Visayas,Cebu,Cebu City,"Colon St., Cebu City ","DR. ROSEMARIE C. ESPAÑOL, CPA","256-2630, 416-7902, 416-8336, 253-2586",edtech@uv.edu.ph,Food and Beverage Services NC II,1,25,24
5622,"BMC TRAINING CENTER FOR WELDING & FABRICATION, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"C. Borces St., Mabolo, Cebu City",MARICEL R. FORTUNA,"273-3830, 231-7684, 231-7970, 266-7459",bmctrainingcenter@yahoo.com,Gas Metal Arc Welding (GMAW) NC II,1,2,1
5623,BOGO LIVELIHOOD AND TECHNICAL SKILLS TRAINING AND COMPETENCY ASSESSMENT CENTER (BOGO LITES),LGU,Region VII - Central Visayas,Cebu,City of Bogo,"Malingin, Bogo City, Cebu",ENGR. ELENITA Y. URSAL,0953-580-9996,bogolites@gmail.com,Gas Metal Arc Welding (GMAW) NC II,1,30,30
5624,BOGO LIVELIHOOD AND TECHNICAL SKILLS TRAINING CENTER,LGU,Region VII - Central Visayas,Cebu,City of Bogo,"La Paz, Bogo City, Cebu",ENGR. ELENITA Y. URSAL,032-318-3850       0917-8770115       ,bogolitescenter@gmail.com,Gas Metal Arc Welding (GMAW) NC II,1,29,29
5629,"INDUSTRIAL EDUCATION LEARNING CENTER AND TECHNOLOGIES, INC.",TVIs,Region VII - Central Visayas,Cebu,Liloan,"Calero, Liloan, Cebu",JOEL D. PILAPIL,406 4937 / 09171538875 / 09953942497,ielti.techvoc@gmail.com,Gas Metal Arc Welding (GMAW) NC II,3,65,64
5639,PHILIPPINE WELDING RESEARCH AND DEVELOPMENT SOCIETY TRAINING AND TESTING CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Mandaue City,"PWRDS Building, Plaridel Street, Cambaro, Mandaue City, Cebu, Philippines",THERESE C. SABERON,09175551855,pwrdsmde2023@gmail.com,Gas Metal Arc Welding (GMAW) NC II,1,24,24
5651,"BMC TRAINING CENTER FOR WELDING & FABRICATION, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"C. Borces St., Mabolo, Cebu City",MARICEL R. FORTUNA,"273-3830, 231-7684, 231-7970, 266-7459",bmctrainingcenter@yahoo.com,Gas Tungsten Arc Welding (GTAW) NC II,1,3,0
5670,PHILIPPINE WELDING RESEARCH AND DEVELOPMENT SOCIETY TRAINING AND TESTING CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Mandaue City,"PWRDS Building, Plaridel Street, Cambaro, Mandaue City, Cebu, Philippines",THERESE C. SABERON,09175551855,pwrdsmde2023@gmail.com,Gas Tungsten Arc Welding (GTAW) NC II,2,11,10
5831,TECHNICAL TRAINING CENTER OF SOUTH CEBU INC.,TVIs,Region VII - Central Visayas,Cebu,City of Naga,"DLV5 Commercial Bldg. Rizal Street Central, Poblacion, Naga City, Cebu",LANY F. TARAN,032 489-5912,southcebutech@gmail.com,Heavy Equipment Operation (Bulldozer) NC II,7,347,420
5930,TECHNICAL TRAINING CENTER OF SOUTH CEBU INC.,TVIs,Region VII - Central Visayas,Cebu,City of Naga,"DLV5 Commercial Bldg. Rizal Street Central, Poblacion, Naga City, Cebu",LANY F. TARAN,032 489-5912,southcebutech@gmail.com,Heavy Equipment Operation (Motor Grader) NC II,6,332,449
6157,3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"362 Don Mariano Cui St. corner N. Escario St. Capitol Site, Cebu City",ANA LIZA M. AUGUSTO,(032) 328-9150,3aprimetaciceb@gmail.com,Housekeeping NC II,1,32,29
6158,3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Asturias,"Lamac, New Bago, Asturias, Cebu",ANA LIZA M. AUGUSTO,328-9150 / 0946-031-7176,3aprimeast@gmail.com,Housekeeping NC II,1,21,21
6160,"ABQ INTERNATIONAL HEALTH CAREGIVER PROGRAM & CONSULTANCY, INC. ",TVIs,Region VII - Central Visayas,Cebu,City of Talisay,"Z-1085 Miami Homes San Isidro Talisay City, Cebu",AMELDA B. QUIACHON,273-7569,amy_quiachon@yahoo.com,Housekeeping NC II,1,25,25
6182,ASSEMBLE TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Asturias,"Sitio Looc Sur, Poblacion, Asturias, Cebu",MARGARITA BARON CECE,09297880118,assembletrainingandassessmentc@gmail.com,Housekeeping NC II,2,124,50
6196,"BENEDICTO COLLEGE, INC.",HEIs,Region VII - Central Visayas,Cebu,Mandaue City,"A.S. Fortuna St., Mandaue City, Cebu",ENGR. KENNETH O. HUAN,"344-9320, 345-6873, 345-5790",bctechvoc@gmail.com,Housekeeping NC II,1,1,27
6200,BOGO LIVELIHOOD AND TECHNICAL SKILLS TRAINING AND COMPETENCY ASSESSMENT CENTER (BOGO LITES),LGU,Region VII - Central Visayas,Cebu,City of Bogo,"Malingin, Bogo City, Cebu",ENGR. ELENITA Y. URSAL,0953-580-9996,bogolites@gmail.com,Housekeeping NC II,1,16,0
6201,BOGO LIVELIHOOD AND TECHNICAL SKILLS TRAINING CENTER,LGU,Region VII - Central Visayas,Cebu,City of Bogo,"La Paz, Bogo City, Cebu",ENGR. ELENITA Y. URSAL,032-318-3850       0917-8770115       ,bogolitescenter@gmail.com,Housekeeping NC II,1,19,34
6226,"CENTER FOR HEALTHCARE PROFESSIONS CEBU, INC. ",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Mezzanine Flr. FCB Bldg., cor. P. Burgos St,. Alang-Alang, Mandaue City, Cebu",BERNARD C. RESTIFICAR   PRESIDENT / ADMINISTRATOR ,"420-1881, 420-1880",info@chpcebu.com,Housekeeping NC II,0,0,25
6234,CNL GLOBAL ACCESS CORP.,TVIs,Region VII - Central Visayas,Cebu,Danao City,"Brgy. Looc, Danao City",MS. JORENE C. LETOFSKY        PRESIDENT     ,318-9161 / 09327676573,cnl2017global@gmail.com,Housekeeping NC II,1,15,15
6242,DALAGUETE SKILLS TRAINING AND RESOURCE (STAR) CENTER,LGU,Region VII - Central Visayas,Cebu,Dalaguete,"Brgy. Poblacion, Dalaguete, Cebu",Jeselyn D. Rebello,0922-427-1868,starcenterdalaguete@gmail.com,Housekeeping NC II,1,64,76
6267,EXCELUP TRAINING AND ASSESSMENT CENTER INCORPORATED,TVIs,Region VII - Central Visayas,Cebu,Lapu-Lapu City (Opon),"Excelup Compound, Casia, Bankal, Lapul-Lapu City (Opon), Cebu",MR. EVANGELINO V. TADIQUE,(032)427-3532,excelup.trainingandassessment@gmail.com,Housekeeping NC II,4,161,85
6283,GLOBAL POWER SKILLS DEVELOPMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Mandaue City,"4th Floor, GASVI Bldg., A.S. Fortuna St., Banilad, Mandaue City",ANTHONY JABELLANA,"345-4366, 515-9327",globalpowerskills@yahoo.com,Housekeeping NC II,1,31,25
6289,GOLDEN RESOURCE ACADEMY FOR CAREER ENHANCEMENT INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Acacia St., cor. Archbishop Reyes Avenue, Kamputhaw, Cebu City",AARON JEREMY QUE,(032) 233-8660 loc. 7819,goldenresourceacademy.ce@gmail.com,Housekeeping NC II,0,0,20
6292,HANAS TRAINING AND ASSESSMENT CENTER INCORPORATED,TVIs,Region VII - Central Visayas,Cebu,Lapu-Lapu City (Opon),"Maribago Seaview Pension & Spa (Reddoorz), Annex 3 Building ML Quezon National Highway Sitio Looc, Maribago, Lapu-Lapu City (Opon), Cebu, Region VII (Central Visayas), 6015",ATTY. JOSHLY C. PANGATUNGAN,09174757857/ 09175496043,hanas.trainingandassessment@gmail.com,Housekeeping NC II,1,32,0
6331,MAGSAYSAY CENTER FOR HOSPITALITY & CULINARY ARTS INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"F. Ramos St., Cebu City",Mr. Paolo Santino A. Guevara,254-0942,mihcacebu2014@gmail.com,Housekeeping NC II,2,102,43
6340,"MARIBAGO SKILLS DEVELOPMENT TRAINING AND ASSESSMENT CENTER, INC. ",TVIs,Region VII - Central Visayas,Cebu,Lapu-Lapu City (Opon),"Datag, Maribago, Lapu-Lapu City, Cebu ",JEMARIE JANE A. VILLAFUERTE,583-8893,msdtac@yahoo.com.ph,Housekeeping NC II,1,31,31
6348,"MGB SKILLS DEVELOPMENT AND ASSESSMENT CENTER, INC. ",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Salinas Drive Ext. Lahug, Cebu City",LEONIDES GABE MANAYAGA ,414-8526,mgb.sdaci@yahoo.com.ph,Housekeeping NC II,5,375,309
6362,NED EXPERTISE TRAINING AND ASSESSMENT CENTER CORP.,TVIs,Region VII - Central Visayas,Cebu,Toledo City,"2nd Floor Uy-Pelago Bldg.,Diosdado Macapagal Highway,",MR. DANILO A. UY,384-0705,nednetacc@gmail.com,Housekeeping NC II,1,55,54
6407,Provincial Training Center - Cebu (Daanbantayan),TTI (PTC),Region VII - Central Visayas,Cebu,Daanbantayan,"Daanbantayan, Cebu",JANICE D. LUCMONG,437-8139,ptcdaangbantayan@tesda.gov.ph,Housekeeping NC II,1,82,80
6408,Provincial Training Center - Cebu (Minglanilla),TTI (PTC),Region VII - Central Visayas,Cebu,Minglanilla,"Calajo-an, Minglanilla, Cebu","EDGAR B. CAPA, JR.",272-0518,ptcminglanilla@tesda.gov.ph,Housekeeping NC II,1,16,16
6417,Regional Training Center - VII (Cebu),TTI (RTC),Region VII - Central Visayas,Cebu,Cebu City,"Archbishop Reyes Avenue, Cebu City",WILKIE E. REROMA,    032-4168876    032-4127267,rtccebu@tesda.gov.ph,Housekeeping NC II,1,67,46
6434,"SCHOOL OF KNOWLEDGE FOR INDUSTRIAL LABOR, LEADERSHIP AND SERVICE, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"SKILLS Campus, Gen. Maxilom Ave., Cebu City ","WILLIAM CHRISTOPHER U. LIU, JR.               ",234-6102      254-8163,project.manager@skills.com.ph,Housekeeping NC II,1,92,0
6435,SEABREEZE TECHNICAL EDUCATION TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Argao,"Room 201 2nd Floor, Seabreeze Hotel, Dr. T. S. Kintanar St. Poblacion, District II, Argao, Cebu",BELINDA C. TAMPUS,09624030339,seabreezetrainingcenter@gmail.com,Housekeeping NC II,1,47,45
6444,"SKILLSBUILD TRAINING AND ASSESSMENT CENTER, CORP.",TVIs,Region VII - Central Visayas,Cebu,Liloan,"Tabay Mabao Marigondon, Lapu-Lapu City (Opon), Cebu, Region VII (Central Visayas), 6015",JULIET I. CABAÑOG,09064134849,franciscabanog07@gmail.com,Housekeeping NC II,1,30,27
6474,STO. NINO SKILLS DEVELOPMENT AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,City of Bogo,"2 Northomes Building, Proper Dakit, Bogo City, Cebu ",NIÑO RONESTER V. TOLINGIN,0324348769,stoninomdaac@gmail.com,Housekeeping NC II,2,47,47
6478,TALISAY CITY LIVELIHOOD TRAINING AND ASSESSMENT CENTER,LGU,Region VII - Central Visayas,Cebu,City of Talisay,"Brgy. Lagtang, City of Talisay, Cebu",COLEEN O. ENAJADA,232-0724,talisaycitylivelihoodtrngcenter@yahoo.com,Housekeeping NC II,1,151,129
6491,THE FOUNDATION FOR PROFESSIONAL TRAINING INC. DOING BUSINESS UNDER THE NAME AND STYLE OF ANIHAN TECH,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Archbishop Reyes Avenue, Cebu City",ELIZABETH M. LOPEZ,232-2304,bcpdcebu@yahoo.com,Housekeeping NC II,2,50,140
6501,UNIVERSITY OF CEBU (UC) - LAPULAPU & MANDAUE,HEIs,Region VII - Central Visayas,Cebu,Mandaue City,"A.C. Cortes Ave., Looc, Mandaue City",ATTY. AUGUSTO W. GO,345-6666,uclmtetac@gmail.com,Housekeeping NC II,0,0,0
6503,"UNIVERSITY OF THE VISAYAS, INC.",HEIs,Region VII - Central Visayas,Cebu,Cebu City,"Colon St., Cebu City ","DR. ROSEMARIE C. ESPAÑOL, CPA","256-2630, 416-7902, 416-8336, 253-2586",edtech@uv.edu.ph,Housekeeping NC II,1,30,30
6510,VISAYAN INSTITUTE OF TECHNOLOGY AGRIBUSINESS AND LIVELIHOOD SKILLS INC.,TVIs,Region VII - Central Visayas,Cebu,Samboan,"Sitio Tiltil, Poblacion, Samboan",Rainero Tomas L. Jayme,09958427877,vitalskillsinc@gmail.com,Housekeeping NC II,2,73,73
6529,"METROLOGYX TRAINING & ASSESSMENT CENTER, INC.",TVIs,Region VII - Central Visayas,Cebu,Mandaue City,"4/F Magkono Bldg., A.C Cortes Avenue, Mandaue City",QUINCY Q. LADRERA,344 0467,registrar.metrologyx@gmail.com,Instrumentation and Control Servicing NC II,2,47,46
6548,DON BOSCO BOY'S HOME INC.,TVIs,Region VII - Central Visayas,Cebu,Liloan,"Cotcot, Lilo-an, Cebu","FR. FERNANDO V. PERALTA, SDB",511-6272      425-8100,donboscotrainingcenterliloan@gmail.com,Machining NC II,1,21,23
6552,"DON BOSCO TECHNICAL VOCATIONAL EDUCATION AND TRAINING CENTER-PASIL, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"L. Flores St., Pasil, Cebu City","FR. LAMBERTO V. PARADIANG, JR. SDB / RECTOR",231 3996,donboscopasil@gmail.com,Machining NC II,1,25,27
6560,Regional Training Center - VII (Cebu),TTI (RTC),Region VII - Central Visayas,Cebu,Cebu City,"Archbishop Reyes Avenue, Cebu City",WILKIE E. REROMA,    032-4168876    032-4127267,rtccebu@tesda.gov.ph,Machining NC II,1,52,49
6608,"SCHOOL OF KNOWLEDGE FOR INDUSTRIAL LABOR, LEADERSHIP AND SERVICE, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"SKILLS Campus, Gen. Maxilom Ave., Cebu City ","WILLIAM CHRISTOPHER U. LIU, JR.               ",234-6102      254-8163,project.manager@skills.com.ph,Masonry NC I,1,18,18
6630,BALAMBAN EXTENSIVE SKILLS AND TECHNOLOGY INC.,TVIs,Region VII - Central Visayas,Cebu,Balamban,"Lot 2140, Brgy. Cantuod, Balamban, Cebu",JESSIE JAMES O. RUSSEL,0917-7274617,bestcentert2mis@gmail.com,Masonry NC II,1,15,0
6736,"SCHOOL OF KNOWLEDGE FOR INDUSTRIAL LABOR, LEADERSHIP AND SERVICE, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"SKILLS Campus, Gen. Maxilom Ave., Cebu City ","WILLIAM CHRISTOPHER U. LIU, JR.               ",234-6102      254-8163,project.manager@skills.com.ph,Masonry NC II,1,96,45
6742,"ST. PEREGRINE INSTITUTE, INC.",TVIs,Region VII - Central Visayas,Cebu,San Fernando,"Purok 4 Sta. Filomena, Sangat, San Fernando, Cebu",Joel Balucas,436-6096 / 09362006430,spitesda.sanfernando@gmail.com,Masonry NC II,1,17,67
6772,"AC-DC TRAINING AND ASSESSMENT CENTER, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Rm. 401 Colon Development Corporation Building, Osmeña Blvd., Brgy. Sto. Niño, Cebu City",JENNELYN B. BAYON,09177726337,acdcengineering2013@gmail.com,Mechatronics Servicing NC II,1,41,32
6782,"METROLOGYX TRAINING & ASSESSMENT CENTER, INC.",TVIs,Region VII - Central Visayas,Cebu,Mandaue City,"4/F Magkono Bldg., A.C Cortes Avenue, Mandaue City",QUINCY Q. LADRERA,344 0467,registrar.metrologyx@gmail.com,Mechatronics Servicing NC II,1,55,45
7450,Regional Training Center - VII (Cebu),TTI (RTC),Region VII - Central Visayas,Cebu,Cebu City,"Archbishop Reyes Avenue, Cebu City",WILKIE E. REROMA,    032-4168876    032-4127267,rtccebu@tesda.gov.ph,Plumbing NC II,1,96,92
7454,"SCHOOL OF KNOWLEDGE FOR INDUSTRIAL LABOR, LEADERSHIP AND SERVICE, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"SKILLS Campus, Gen. Maxilom Ave., Cebu City ","WILLIAM CHRISTOPHER U. LIU, JR.               ",234-6102      254-8163,project.manager@skills.com.ph,Plumbing NC II,1,25,26
7489,CEBU TECHNICAL VOCATIONAL TRAINING AND ASSESSMENT ACADEMY INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Bai Center, Cebu South Road, Basak, San Nicolas, Cebu City ","MR. PEDRO V. SANDALO, JR., SCHOOL ADMINISTRATOR","417-5254, 0933-3455013",voctechacademy@gmail.com,PV Systems Installation NC II,1,43,59
7565,"SCHOOL OF KNOWLEDGE FOR INDUSTRIAL LABOR, LEADERSHIP AND SERVICE, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"SKILLS Campus, Gen. Maxilom Ave., Cebu City ","WILLIAM CHRISTOPHER U. LIU, JR.               ",234-6102      254-8163,project.manager@skills.com.ph,Reinforcing Steel Works NC II,1,19,19
7632,DEIP SKILLS DEVELOPMENT CORP.,TVIs,Region VII - Central Visayas,Cebu,Danao City,"Purok 1, Tuburan Sur, Danao City",CHIG I. DEIPARINE,0917-138-5144,deipskills@gmail.com,Rigging NC I,2,28,24
8717,"SCHOOL OF KNOWLEDGE FOR INDUSTRIAL LABOR, LEADERSHIP AND SERVICE, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"SKILLS Campus, Gen. Maxilom Ave., Cebu City ","WILLIAM CHRISTOPHER U. LIU, JR.               ",234-6102      254-8163,project.manager@skills.com.ph,System Formworks Installation NC II,1,21,2
8757,"SISTERS OF MARY TECHNICAL EDUCATION INSTITUTE CEBU, INC.",TVIs,Region VII - Central Visayas,Cebu,City of Talisay,"J.P. Rizal St., Talisay City, Cebu","SR. MARIA CHELO S. MARIKIT, SM",491-9272,smteitalisaycity@gmail.com,Technical Drafting NC II,1,40,40
8776,ALU-TUCP WORKERS TRAINING CENTER FOUNDATION INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"2/F, JSU-PSU Mariners Court, ALU Vimcontu Compound, Pier 1, Port Area, Cebu City",MICHAEL C. MENDOZA,520-5781/253-2170,awtcfi@gmail.com,Tile Setting NC II,0,0,24
8851,"SCHOOL OF KNOWLEDGE FOR INDUSTRIAL LABOR, LEADERSHIP AND SERVICE, INC.",TVIs,Region VII - Central Visayas,Cebu,Cebu City,"SKILLS Campus, Gen. Maxilom Ave., Cebu City ","WILLIAM CHRISTOPHER U. LIU, JR.               ",234-6102      254-8163,project.manager@skills.com.ph,Tile Setting NC II,3,111,26
8859,"ST. PEREGRINE INSTITUTE, INC.",TVIs,Region VII - Central Visayas,Cebu,San Fernando,"Purok 4 Sta. Filomena, Sangat, San Fernando, Cebu",Joel Balucas,436-6096 / 09362006430,spitesda.sanfernando@gmail.com,Tile Setting NC II,2,95,170
