,Job Title,Educational Qualification,Job Sector,Educational Pathway,HEI with PRC Exam,Some HEI,Job Subsector,PSOC Code,ISCO Code,SOC Code,SOC Title,SOC Codes,SOC Titles,AIOE,Complementarity,AI Risk Classification
332,Lumber Quality Analyst,Bachelor of Science in Forest Products Engineering,Manufacturing,Higher Education,No,No,Sawmilling and planing of wood,3119,3119,19-4099.01,Quality Control Analysts,"['17-3025.00', '17-3026.00', '17-3026.01', '17-3029.00', '17-3029.01', '17-3029.08', '19-4051.00', '19-4051.02', '19-4092.00', '19-4099.00', '19-4099.01', '19-4099.03', '33-1021.00', '33-2021.00', '33-2022.00', '53-6041.00']","['Environmental Engineering Technologists and Technicians', 'Industrial Engineering Technologists and Technicians', 'Nanotechnology Engineering Technologists and Technicians', 'Engineering Technologists and Technicians, Except Drafters, All Other', 'Non-Destructive Testing Specialists', 'Photonics Technicians', 'Nuclear Technicians', 'Nuclear Monitoring Technicians', 'Forensic Science Technicians', 'Life, Physical, and Social Science Technicians, All Other', 'Quality Control Analysts', 'Remote Sensing Technicians', 'First-Line Supervisors of Firefighting and Prevention Workers', 'Fire Inspectors and Investigators', 'Forest Fire Inspectors and Prevention Specialists', 'Traffic Technicians']",-0.0564920970490134,0.6525,Not Affected
333,Game Designer,Bachelor of Science in Game Development,Information and Communication,Higher Education,No,No,Other information service activities,2166,2166,27-1024.00,Graphic Designers,"['27-1014.00', '27-1024.00']","['Special Effects Artists and Animators', 'Graphic Designers']",0.6104659406880933,0.6152777777777777,Automated
334,Apparel Quality Technician,Bachelor of Science in Garment Technology,Manufacturing,Higher Education,No,Yes,"Manufacture of wearing apparel, except fur apparel",3119,3119,19-4092.00,Forensic Science Technicians,"['17-3025.00', '17-3026.00', '17-3026.01', '17-3029.00', '17-3029.01', '17-3029.08', '19-4051.00', '19-4051.02', '19-4092.00', '19-4099.00', '19-4099.01', '19-4099.03', '33-1021.00', '33-2021.00', '33-2022.00', '53-6041.00']","['Environmental Engineering Technologists and Technicians', 'Industrial Engineering Technologists and Technicians', 'Nanotechnology Engineering Technologists and Technicians', 'Engineering Technologists and Technicians, Except Drafters, All Other', 'Non-Destructive Testing Specialists', 'Photonics Technicians', 'Nuclear Technicians', 'Nuclear Monitoring Technicians', 'Forensic Science Technicians', 'Life, Physical, and Social Science Technicians, All Other', 'Quality Control Analysts', 'Remote Sensing Technicians', 'First-Line Supervisors of Firefighting and Prevention Workers', 'Fire Inspectors and Investigators', 'Forest Fire Inspectors and Prevention Specialists', 'Traffic Technicians']",-0.0564920970490134,0.6525,Not Affected
335,Surveying Technician,Bachelor of Science in Geodetic Engineering,"Professional, Scientific and Technical Activities",Higher Education,Yes,No,Architectural and engineering activities and related technical consultancy,3112,3112,17-3031.00,Surveying and Mapping Technicians,"['17-3022.00', '17-3031.00', '33-1021.00', '33-2021.00', '47-4011.00', '47-4011.01']","['Civil Engineering Technologists and Technicians', 'Surveying and Mapping Technicians', 'First-Line Supervisors of Firefighting and Prevention Workers', 'Fire Inspectors and Investigators', 'Construction and Building Inspectors', 'Energy Auditors']",0.8386383304000374,0.6058333333333333,Automated
336,GIS & Spatial Analyst,Bachelor of Science in Geography,"Professional, Scientific and Technical Activities",Higher Education,No,No,Research and experimental development on social sciences and humanities,3511,3511,15-1299.02,Geographic Information Systems Technologists and Technicians,"['15-1299.00', '15-1299.01', '15-1299.02', '15-1299.03', '15-1299.04', '15-1299.05', '15-1299.06', '15-1299.07', '15-1299.08', '15-1299.09']","['Computer Occupations, All Other', 'Web Administrators', 'Geographic Information Systems Technologists and Technicians', 'Document Management Specialists', 'Penetration Testers', 'Information Security Engineers', 'Digital Forensics Analysts', 'Blockchain Engineers', 'Computer Systems Engineers/Architects', 'Information Technology Project Managers']",1.0768757098629762,0.5505555555555556,Automated
337,Junior Geologist,Bachelor of Science in Geological Science and Engineering,"Professional, Scientific and Technical Activities",Higher Education,Yes,No,Research and experimental development on natural sciences and engineering,2114,2114,19-2042.00,"Geoscientists, Except Hydrologists and Geographers","['19-2042.00', '19-2043.00']","['Geoscientists, Except Hydrologists and Geographers', 'Hydrologists']",0.7535772723410831,0.665,Augmented
338,Geothermal Plant Technician,Bachelor of Science in Geothermal Engineering,"Electricity, Gas, Steam and Air Conditioning Supply",Higher Education,No,Yes,Manufacture of gas; distribution of gaseous fuels through mains,2114,2114,19-2043.00,Hydrologists,"['19-2042.00', '19-2043.00']","['Geoscientists, Except Hydrologists and Geographers', 'Hydrologists']",0.7535772723410831,0.665,Augmented
339,Brand Designer,Bachelor of Science in Graphics and Design,"Professional, Scientific And Technical Activities",Higher Education,No,No,Advertising,2163,2163,27-1022.00,Fashion Designers,"['27-1021.00', '27-1022.00', '27-1029.00']","['Commercial and Industrial Designers', 'Fashion Designers', 'Designers, All Other']",0.7728061761076767,0.6155555555555555,Automated
340,Health Program Assistant,Bachelor of Science in Health Sciences,Human Health and Social Work Activities,Higher Education,No,Yes,Other human health activities,3256,3256,31-9092.00,Medical Assistants,"['29-2057.00', '31-9092.00']","['Ophthalmic Medical Technicians', 'Medical Assistants']",-0.013880118804895,0.5833333333333334,Not Affected
341,Health Promotion Officer,"Bachelor of Science in Health, Fitness and Lifestyle Management",Human Health and Social Work Activities,Higher Education,No,No,Other human health activities,2269,2269,29-1122.00,Occupational Therapists,"['29-1011.00', '29-1081.00', '29-1122.00', '29-1122.01', '29-1125.00', '29-1129.00', '29-1129.01', '29-1129.02', '29-1299.00', '29-1299.01', '29-1299.02', '29-9092.00']","['Chiropractors', 'Podiatrists', 'Occupational Therapists', 'Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists', 'Recreational Therapists', 'Therapists, All Other', 'Art Therapists', 'Music Therapists', 'Healthcare Diagnosing or Treating Practitioners, All Other', 'Naturopathic Physicians', 'Orthoptists', 'Genetic Counselors']",-0.293207848560766,0.75,Not Affected
342,Home Economics Extension Worker,Bachelor of Science in Home Economics,Human Health and Social Work Activities,Higher Education,No,No,"Other social work activities without accommodation, n.e.c.",3412,3412,21-1093.00,Social and Human Service Assistants,['21-1093.00'],['Social and Human Service Assistants'],0.7040484605627692,0.6691666666666666,Augmented
343,Household Equipment Technician,Bachelor of Science in Home Economics and Technology,Other Service Activities,Higher Education,No,Yes,Repair of personal and household goods,7421,7421,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment","['49-1011.00', '49-2011.00', '49-2091.00', '49-2093.00', '49-2094.00', '49-2095.00', '49-2096.00']","['First-Line Supervisors of Mechanics, Installers, and Repairers', 'Computer, Automated Teller, and Office Machine Repairers', 'Avionics Technicians', 'Electrical and Electronics Installers and Repairers, Transportation Equipment', 'Electrical and Electronics Repairers, Commercial and Industrial Equipment', 'Electrical and Electronics Repairers, Powerhouse, Substation, and Relay', 'Electronic Equipment Installers and Repairers, Motor Vehicles']",-0.1748634323778201,0.6933333333333334,Not Affected
344,Electrical Appliance Servicer,Bachelor of Science in Home Technology,Other Service Activities,Higher Education,No,No,Repair of personal and household goods,7421,7421,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","['49-1011.00', '49-2011.00', '49-2091.00', '49-2093.00', '49-2094.00', '49-2095.00', '49-2096.00']","['First-Line Supervisors of Mechanics, Installers, and Repairers', 'Computer, Automated Teller, and Office Machine Repairers', 'Avionics Technicians', 'Electrical and Electronics Installers and Repairers, Transportation Equipment', 'Electrical and Electronics Repairers, Commercial and Industrial Equipment', 'Electrical and Electronics Repairers, Powerhouse, Substation, and Relay', 'Electronic Equipment Installers and Repairers, Motor Vehicles']",-0.1748634323778201,0.6933333333333334,Not Affected
345,Livelihood Education Teacher,Bachelor of Science in Home Technology Education,Education,Higher Education,Yes,No,Secondary/high school education,2330,2330,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",['25-2031.00'],"['Secondary School Teachers, Except Special and Career/Technical Education']",1.1170470851261018,0.7011111111111111,Augmented
346,Horticulture Assistant,Bachelor of Science in Horticulture,"Agriculture, Forestry, and Fishing",Higher Education,No,Yes,Plant propagation,3142,3142,19-4013.00,Food Science Technicians,['19-4013.00'],['Food Science Technicians'],0.3711466254501385,0.6177777777777779,Augmented
347,Reservations Clerk,Bachelor of Science in Hotel and Restaurant Management Technology,Accommodation and Food Service Activities,Higher Education,No,Yes,Short term accommodation activities,4225,4225,43-4171.00,Receptionists and Information Clerks,"['43-4021.00', '43-4171.00']","['Correspondence Clerks', 'Receptionists and Information Clerks']",1.1729700833740782,0.4952777777777777,Automated
348,Concierge Assistant,Bachelor of Science in Hotel and Restaurant Services,Accommodation and Food Service Activities,Higher Education,No,Yes,Short term accommodation activities,5153,5153,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",['37-2011.00'],"['Janitors and Cleaners, Except Maids and Housekeeping Cleaners']",-1.5455201611166942,0.5955555555555555,Not Affected
349,Guest Relations Associate,Bachelor of Science in Hotel and Restaurant Technology,Accommodation and Food Service Activities,Higher Education,No,Yes,Short term accommodation activities,4224,4224,43-4081.00,"Hotel, Motel, and Resort Desk Clerks","['39-6012.00', '43-4081.00']","['Concierges', 'Hotel, Motel, and Resort Desk Clerks']",1.0226469238849176,0.5691666666666667,Automated
350,Environmental Health Assistant,Bachelor of Science in Human Biology,Human Health and Social Work Activities,Higher Education,No,Yes,Other human health activities,2263,2263,19-5011.00,Occupational Health and Safety Specialists,"['21-1091.00', '19-5011.00']","['Health Education Specialists', 'Occupational Health and Safety Specialists']",0.5960777927068114,0.6819444444444445,Augmented
351,Life Science Research Assistant,Bachelor of Science in Human Ecology,"Professional, Scientific and Technical Activities",Higher Education,No,Yes,"Other professional, scientific and technical activities, n.e.c.",3256,3256,31-9092.00,Medical Assistants,"['29-2057.00', '31-9092.00']","['Ophthalmic Medical Technicians', 'Medical Assistants']",-0.013880118804895,0.5833333333333334,Not Affected
352,Human Resource Associate,Bachelor of Science in Human Resource Development Management,Administrative and Support Service Activities,Higher Education,No,Yes,Other human resources provision,2423,2423,13-1071.00,Human Resources Specialists,"['13-1071.00', '13-1075.00', '13-1141.00', '21-1012.00']","['Human Resources Specialists', 'Labor Relations Specialists', 'Compensation, Benefits, and Job Analysis Specialists', 'Educational, Guidance, and Career Counselors and Advisors']",1.2693805338487802,0.645,Augmented
353,Digital Transformation Associate,Bachelor of Science in Industrial and Commercial Communication,"Professional, Scientific and Technical Activities",Higher Education,No,Yes,"Other professional, scientific and technical activities, n.e.c.",2519,2519,15-1299.08,Computer Systems Engineers/Architects,"['15-1299.00', '15-1299.01', '15-1299.02', '15-1299.03', '15-1299.04', '15-1299.05', '15-1299.06', '15-1299.07', '15-1299.08', '15-1299.09']","['Computer Occupations, All Other', 'Web Administrators', 'Geographic Information Systems Technologists and Technicians', 'Document Management Specialists', 'Penetration Testers', 'Information Security Engineers', 'Digital Forensics Analysts', 'Blockchain Engineers', 'Computer Systems Engineers/Architects', 'Information Technology Project Managers']",1.0768757098629762,0.5505555555555556,Automated
354,Employee Engagement Officer,Bachelor of Science in Industrial and Organizational Psychology,Administrative and Support Service Activities,Higher Education,No,No,Other human resources provision,2423,2423,13-1075.00,Labor Relations Specialists,"['13-1071.00', '13-1075.00', '13-1141.00', '21-1012.00']","['Human Resources Specialists', 'Labor Relations Specialists', 'Compensation, Benefits, and Job Analysis Specialists', 'Educational, Guidance, and Career Counselors and Advisors']",1.2693805338487802,0.645,Augmented
355,Drafting Technician,Bachelor of Science in Industrial Arts,Manufacturing,Higher Education,No,Yes,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",3118,3118,17-3013.00,Mechanical Drafters,"['17-3011.00', '17-3012.00', '17-3013.00', '17-3019.00', '27-1013.00']","['Architectural and Civil Drafters', 'Electrical and Electronics Drafters', 'Mechanical Drafters', 'Drafters, All Other', 'Fine Artists, Including Painters, Sculptors, and Illustrators']",0.5463691615858944,0.5516666666666666,Automated
356,Industrial Automation Technician,Bachelor of Science in Industrial Automation and Mechatronics,Manufacturing,Higher Education,No,Yes,Manufacture of general purpose machinery,3115,3115,17-3027.01,Automotive Engineering Technicians,"['17-3021.00', '17-3024.00', '17-3024.01', '17-3027.00', '17-3027.01', '17-3029.00', '17-3029.01', '17-3029.08']","['Aerospace Engineering and Operations Technologists and Technicians', 'Electro-Mechanical and Mechatronics Technologists and Technicians', 'Robotics Technicians', 'Mechanical Engineering Technologists and Technicians', 'Automotive Engineering Technicians', 'Engineering Technologists and Technicians, Except Drafters, All Other', 'Non-Destructive Testing Specialists', 'Photonics Technicians']",0.2932456464208134,0.5980555555555556,Automated
357,Quality Improvement Analyst,Bachelor of Science in Industrial Engineering,Manufacturing,Higher Education,No,No,"Other manufacturing, n.e.c.",2519,2519,15-1299.09,Information Technology Project Managers,"['15-1299.00', '15-1299.01', '15-1299.02', '15-1299.03', '15-1299.04', '15-1299.05', '15-1299.06', '15-1299.07', '15-1299.08', '15-1299.09']","['Computer Occupations, All Other', 'Web Administrators', 'Geographic Information Systems Technologists and Technicians', 'Document Management Specialists', 'Penetration Testers', 'Information Security Engineers', 'Digital Forensics Analysts', 'Blockchain Engineers', 'Computer Systems Engineers/Architects', 'Information Technology Project Managers']",1.0768757098629762,0.5505555555555556,Automated
358,Process Improvement Analyst,Bachelor of Science in Industrial Management Engineering,Manufacturing,Higher Education,No,No,"Other manufacturing, n.e.c.",2519,2519,15-1299.09,Information Technology Project Managers,"['15-1299.00', '15-1299.01', '15-1299.02', '15-1299.03', '15-1299.04', '15-1299.05', '15-1299.06', '15-1299.07', '15-1299.08', '15-1299.09']","['Computer Occupations, All Other', 'Web Administrators', 'Geographic Information Systems Technologists and Technicians', 'Document Management Specialists', 'Penetration Testers', 'Information Security Engineers', 'Digital Forensics Analysts', 'Blockchain Engineers', 'Computer Systems Engineers/Architects', 'Information Technology Project Managers']",1.0768757098629762,0.5505555555555556,Automated
359,Hospital Pharmacist,Bachelor of Science in Industrial Pharmacy,Human Health and Social Work Activities,Higher Education,Yes,No,Other human health activities,2262,2262,29-1051.00,Pharmacists,['29-1051.00'],['Pharmacists'],0.5220524179890909,0.7186111111111111,Augmented
360,Workforce Wellness Coordinator,Bachelor of Science in Industrial Psychology,Human Health and Social Work Activities,Higher Education,No,Yes,"Other social work activities without accommodation, n.e.c.",2269,2269,29-1122.00,Occupational Therapists,"['29-1011.00', '29-1081.00', '29-1122.00', '29-1122.01', '29-1125.00', '29-1129.00', '29-1129.01', '29-1129.02', '29-1299.00', '29-1299.01', '29-1299.02', '29-9092.00']","['Chiropractors', 'Podiatrists', 'Occupational Therapists', 'Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists', 'Recreational Therapists', 'Therapists, All Other', 'Art Therapists', 'Music Therapists', 'Healthcare Diagnosing or Treating Practitioners, All Other', 'Naturopathic Physicians', 'Orthoptists', 'Genetic Counselors']",-0.293207848560766,0.75,Not Affected
361,Security Operations Staff,Bachelor of Science in Industrial Security Management,Administrative and Support Service Activities,Higher Education,No,No,Private security activities,5414,5414,33-9032.00,Security Guards,"['33-1099.00', '33-9031.00', '33-9032.00', '33-9093.00']","['First-Line Supervisors of Protective Service Workers, All Other', 'Gambling Surveillance Officers and Gambling Investigators', 'Security Guards', 'Transportation Security Screeners']",0.6331519841981866,0.5908333333333333,Automated
362,Machine Operator,Bachelor of Science in Industrial Technology,Manufacturing,Higher Education,No,Yes,"Other manufacturing, n.e.c.",3511,3511,15-1299.00,"Computer Occupations, All Other","['15-1299.00', '15-1299.01', '15-1299.02', '15-1299.03', '15-1299.04', '15-1299.05', '15-1299.06', '15-1299.07', '15-1299.08', '15-1299.09']","['Computer Occupations, All Other', 'Web Administrators', 'Geographic Information Systems Technologists and Technicians', 'Document Management Specialists', 'Penetration Testers', 'Information Security Engineers', 'Digital Forensics Analysts', 'Blockchain Engineers', 'Computer Systems Engineers/Architects', 'Information Technology Project Managers']",1.0768757098629762,0.5505555555555556,Automated
363,Technical Support Specialist,Bachelor of Science in Information and Communication Technology,Information and Communication,Higher Education,No,No,"Computer programming, consultancy and related activities",3511,3511,15-1299.08,Computer Systems Engineers/Architects,"['15-1299.00', '15-1299.01', '15-1299.02', '15-1299.03', '15-1299.04', '15-1299.05', '15-1299.06', '15-1299.07', '15-1299.08', '15-1299.09']","['Computer Occupations, All Other', 'Web Administrators', 'Geographic Information Systems Technologists and Technicians', 'Document Management Specialists', 'Penetration Testers', 'Information Security Engineers', 'Digital Forensics Analysts', 'Blockchain Engineers', 'Computer Systems Engineers/Architects', 'Information Technology Project Managers']",1.0768757098629762,0.5505555555555556,Automated
364,Junior Database Administrator,Bachelor of Science in Information Management,Information and Communication,Higher Education,No,No,"Computer programming, consultancy and related activities",2521,2521,15-1243.00,Database Architects,"['15-1243.00', '15-1243.01']","['Database Architects', 'Data Warehousing Specialists']",1.2013073999660326,0.5488888888888889,Automated
365,Data Management Assistant,Bachelor of Science in Information Science and Management,Administrative and Support Service Activities,Higher Education,No,Yes,Office administrative and support activities,4415,4415,43-4071.00,File Clerks,"['43-4071.00', '43-9071.00']","['File Clerks', 'Office Machine Operators, Except Computer']",0.1777003245596287,0.4794444444444444,Not Affected
366,IT Business Analyst Assistant,Bachelor of Science in Information Systems,Information and Communication,Higher Education,No,Yes,"Computer programming, consultancy and related activities",2511,2511,15-1211.00,Computer Systems Analysts,"['15-1221.00', '15-1211.00', '15-1211.01']","['Computer and Information Research Scientists', 'Computer Systems Analysts', 'Health Informatics Specialists']",1.062172479814825,0.6027777777777777,Automated
367,Startup Operations Assistant,Bachelor of Science in Information Technology Entrepreneurship,"Professional, Scientific and Technical Activities",Higher Education,No,Yes,"Other professional, scientific and technical activities, n.e.c.",2423,2423,13-1071.00,Human Resources Specialists,"['13-1071.00', '13-1075.00', '13-1141.00', '21-1012.00']","['Human Resources Specialists', 'Labor Relations Specialists', 'Compensation, Benefits, and Job Analysis Specialists', 'Educational, Guidance, and Career Counselors and Advisors']",1.2693805338487802,0.645,Augmented
368,Inland Water Fisheries Assistant,Bachelor of Science in Inland Fisheries,"Agriculture, Forestry, and Fishing",Higher Education,Yes,No,Aquaculture,2132,2132,25-9021.00,Farm and Home Management Educators,"['19-1013.00', '19-1032.00', '25-9021.00']","['Soil and Plant Scientists', 'Foresters', 'Farm and Home Management Educators']",0.4926832402408863,0.7025,Augmented
369,Health Services Clerk,Bachelor of Science in Institutional Administration,Human Health and Social Work Activities,Higher Education,No,Yes,Human Health Activities,3252,3252,29-9021.00,Health Information Technologists and Medical Registrars,['29-9021.00'],['Health Information Technologists and Medical Registrars'],0.0541689174299163,0.7051388888888888,Not Affected
370,Process Instrumentation Technician,Bachelor of Science in Instrumentation and Control Engineering,Manufacturing,Higher Education,No,Yes,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",2152,2152,17-2061.00,Computer Hardware Engineers,"['17-2061.00', '17-2072.00', '17-2072.01']","['Computer Hardware Engineers', 'Electronics Engineers, Except Computer', 'Radio Frequency Identification Device Specialists']",1.0271207784392442,0.5586111111111111,Automated
371,Business Development Officer,Bachelor of Science in Interdisciplinary Business Studies,"Professional, Scientific and Technical Activities",Higher Education,No,No,Advertising,2424,2424,13-1151.00,Training and Development Specialists,['13-1151.00'],['Training and Development Specialists'],1.125301054038325,0.6319444444444445,Augmented
372,Interior Design Assistant,Bachelor of Science in Interior Design,"Professional, Scientific And Technical Activities",Higher Education,Yes,No,Specialized design activities,3432,3432,27-1025.00,Interior Designers,"['27-1025.00', '27-1026.00', '27-1027.00']","['Interior Designers', 'Merchandise Displayers and Window Trimmers', 'Set and Exhibit Designers']",1.048629319464201,0.6244444444444445,Augmented
373,Facilities Management Assistant,Bachelor of Science in International Business and Entrepreneurial Management,Administrative and Support Service Activities,Higher Education,No,Yes,Landscape care and maintenance service activities,5153,5153,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",['37-2011.00'],"['Janitors and Cleaners, Except Maids and Housekeeping Cleaners']",-1.5455201611166942,0.5955555555555555,Not Affected
374,Hotel Services Attendant,Bachelor of Science in International Hospitality Management,Accommodation and Food Service Activities,Higher Education,No,Yes,Short term accommodation activities,5151,5151,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,['37-1011.00'],['First-Line Supervisors of Housekeeping and Janitorial Workers'],-0.6341706741709909,0.6211111111111112,Not Affected
375,International Trade Support Staff,Bachelor of Science in International Management and Entrepreneurship,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Higher Education,No,No,Wholesale Trade,3324,3324,43-5011.00,Cargo and Freight Agents,"['41-1012.00', '41-3031.00', '43-5011.00', '43-5011.01']","['First-Line Supervisors of Non-Retail Sales Workers', 'Securities, Commodities, and Financial Services Sales Agents', 'Cargo and Freight Agents', 'Freight Forwarders']",1.128280911286404,0.7080555555555555,Augmented
376,International Cooperation Analyst,Bachelor of Science in International Relations,"Professional, Scientific and Technical Activities",Higher Education,No,No,Research and experimental development on social sciences and humanities,2631,2631,19-3011.00,Economists,"['19-3011.00', '19-3011.01']","['Economists', 'Environmental Economists']",1.3048791758888318,0.6155555555555555,Automated
377,Trade & Diplomatic Analyst,Bachelor of Science in International Studies,"Professional, Scientific and Technical Activities",Higher Education,No,No,Research and experimental development on social sciences and humanities,3324,3324,43-5011.00,Cargo and Freight Agents,"['41-1012.00', '41-3031.00', '43-5011.00', '43-5011.01']","['First-Line Supervisors of Non-Retail Sales Workers', 'Securities, Commodities, and Financial Services Sales Agents', 'Cargo and Freight Agents', 'Freight Forwarders']",1.128280911286404,0.7080555555555555,Augmented
378,Religious Studies Teacher,Bachelor of Science in Islamic Education,Education,Higher Education,Yes,No,Other education services,2636,2636,21-2021.00,"Directors, Religious Activities and Education","['21-2011.00', '21-2021.00']","['Clergy', 'Directors, Religious Activities and Education']",1.3169981059615177,0.7216666666666667,Augmented
379,Policy Support Officer – Islamic Affairs,Bachelor of Science in Islamic Studies,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,Public Administration and Defense; Compulsory Social Security,2421,2421,13-1111.00,Management Analysts,"['13-1081.00', '13-1081.01', '13-1081.02', '13-1111.00']","['Logisticians', 'Logistics Engineers', 'Logistics Analysts', 'Management Analysts']",1.2774698120776689,0.6097222222222222,Automated
380,Junior Editorial Researcher,Bachelor of Science in Journalism,Information and Communication,Higher Education,No,No,Programming and Broadcasting Activities,2642,2642,27-3023.00,"News Analysts, Reporters, and Journalists","['27-3023.00', '27-3041.00']","['News Analysts, Reporters, and Journalists', 'Editors']",0.8767206131646967,0.6397222222222223,Augmented
381,Judicial Assistant,Bachelor of Science in Jurisprudence,Public Administration and Defense; Compulsory Social Security,Higher Education,No,Yes,Justice and Judicial Activities,3411,3411,23-1012.00,Judicial Law Clerks,"['23-1012.00', '23-2011.00', '23-2093.00', '23-2099.00', '33-3011.00', '33-9021.00', '33-9031.00']","['Judicial Law Clerks', 'Paralegals and Legal Assistants', 'Title Examiners, Abstractors, and Searchers', 'Legal Support Workers, All Other', 'Bailiffs', 'Private Detectives and Investigators', 'Gambling Surveillance Officers and Gambling Investigators']",1.3070863972664746,0.5563888888888889,Automated
382,Junior Landscape Planner,Bachelor of Science in Landscape Architecture,"Professional, Scientific and Technical Activities",Higher Education,Yes,No,Architectural and engineering activities and related technical consultancy,2164,2164,19-3051.00,Urban and Regional Planners,['19-3051.00'],['Urban and Regional Planners'],1.1489946192109544,0.6447222222222222,Augmented
383,Landscape Design Technician,Bachelor of Science in Landscape Design Management,"Professional, Scientific and Technical Activities",Higher Education,No,Yes,Architectural and engineering activities and related technical consultancy,3112,3112,17-3031.00,Surveying and Mapping Technicians,"['17-3022.00', '17-3031.00', '33-1021.00', '33-2021.00', '47-4011.00', '47-4011.01']","['Civil Engineering Technologists and Technicians', 'Surveying and Mapping Technicians', 'First-Line Supervisors of Firefighting and Prevention Workers', 'Fire Inspectors and Investigators', 'Construction and Building Inspectors', 'Energy Auditors']",0.8386383304000374,0.6058333333333333,Automated
384,Records Officer (Criminal Justice),Bachelor of Science in Law Enforcement Administration,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,Public administration and defense; compulsory social security,4110,4110,43-9061.00,"Office Clerks, General","['43-3061.00', '43-9061.00']","['Procurement Clerks', 'Office Clerks, General']",1.1433609093374133,0.4949999999999999,Automated
385,Court Clerk,Bachelor of Science in Legal Management,Public Administration and Defense; Compulsory Social Security,Higher Education,No,Yes,Justice and Judicial Activities,3411,3411,23-1012.00,Judicial Law Clerks,"['23-1012.00', '23-2011.00', '23-2093.00', '23-2099.00', '33-3011.00', '33-9021.00', '33-9031.00']","['Judicial Law Clerks', 'Paralegals and Legal Assistants', 'Title Examiners, Abstractors, and Searchers', 'Legal Support Workers, All Other', 'Bailiffs', 'Private Detectives and Investigators', 'Gambling Surveillance Officers and Gambling Investigators']",1.3070863972664746,0.5563888888888889,Automated
386,Events Assistant,Bachelor of Science in Leisure and Tourism Management,Administrative and Support Service Activities,Higher Education,No,Yes,"Business support service activities, n.e.c.",3332,3332,13-1121.00,"Meeting, Convention, and Event Planners",['13-1121.00'],"['Meeting, Convention, and Event Planners']",0.2761211053711379,0.6833333333333332,Not Affected
387,Metadata Specialist,Bachelor of Science in Library and Information System,Information and Communication,Higher Education,No,No,Other information service activities,2124,2120,15-2031.00,Operations Research Analysts,"['15-2011.00', '15-2021.00', '15-2031.00', '15-2041.00', '15-2041.01', '19-3022.00']","['Actuaries', 'Mathematicians', 'Operations Research Analysts', 'Statisticians', 'Biostatisticians', 'Survey Researchers']",1.3969082499953345,0.5277777777777778,Automated
388,Cataloguing Officer,Bachelor of Science in Library Science,Information and Communication,Higher Education,Yes,No,Other information service activities,3323,3323,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","['13-1021.00', '13-1022.00', '13-1023.00']","['Buyers and Purchasing Agents, Farm Products', 'Wholesale and Retail Buyers, Except Farm Products', 'Purchasing Agents, Except Wholesale, Retail, and Farm Products']",0.6737696965684681,0.6494444444444444,Augmented
389,Science Laboratory Assistant,Bachelor of Science in Life Sciences,"Professional, Scientific and Technical Activities",Higher Education,No,Yes,Research and experimental development on natural sciences and engineering,3212,3212,29-2011.00,Medical and Clinical Laboratory Technologists,"['29-2011.00', '29-2011.01', '29-2011.02', '29-2011.04', '29-2012.00', '29-2012.01']","['Medical and Clinical Laboratory Technologists', 'Cytogenetic Technologists', 'Cytotechnologists', 'Histotechnologists', 'Medical and Clinical Laboratory Technicians', 'Histology Technicians']",0.1769917735031828,0.6119444444444445,Not Affected
390,Community Governance Assistant,Bachelor of Science in Local Government,Public Administration and Defense; Compulsory Social Security,Higher Education,No,Yes,Public Administration and Defense; Compulsory Social Security,3343,3343,43-6011.00,Executive Secretaries and Executive Administrative Assistants,"['27-3092.00', '43-6011.00']","['Court Reporters and Simultaneous Captioners', 'Executive Secretaries and Executive Administrative Assistants']",0.567630060812383,0.5261111111111111,Automated
391,IT Support Specialist,Bachelor of Science in Management,Information and Communication,Higher Education,No,No,"Computer Programming, Consultancy and Related Activities",2423,2423,13-1071.00,Human Resources Specialists,"['13-1071.00', '13-1075.00', '13-1141.00', '21-1012.00']","['Human Resources Specialists', 'Labor Relations Specialists', 'Compensation, Benefits, and Job Analysis Specialists', 'Educational, Guidance, and Career Counselors and Advisors']",1.2693805338487802,0.645,Augmented
392,Cost Controller,Bachelor of Science in Management and Industrial Engineering,Financial and Insurance Activities,Higher Education,No,No,"Activities auxiliary to financial service, except insurance and pension funding",4311,4311,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks","['43-3021.00', '43-3031.00']","['Billing and Posting Clerks', 'Bookkeeping, Accounting, and Auditing Clerks']",1.007904894311804,0.4641666666666666,Automated
