Provider Name,Class Name,Region Name,Province Name,City Name,Address,focal,phone,e mail,Qualification,Trainer Count,Enrolled,Graduates
EJ TRAINING AND ASSESSMENT CENTER INC.,TVIs,National Capital Region (NCR),CAMANAVA,Caloocan City,"Lot 1-C Mangga Street, corner Lawaan Street, Amparo Subdivision, Barangay 179, District 3, Caloocan City",CAROLINA C. CONSTANTINO,87277855,trainingcenterej@gmail.com,Caregiving (Elderly) NC II,3,224,188
MOTHER THERESA INSTITUTE OF TECHNOLOGY AND ASSESSMENT CENTER INC.,TVIs,National Capital Region (NCR),PAMAMARISAN,Marikina City,"No. 11 E. Manalo Avenue, Paliparan, Sto. Niño, Marikina City",REMEDIOS A. VILLANUEVA,948-0402,geugenio11@yahoo.com,Caregiving NC II,5,241,179
"UNO CAREGIVER AND DOMESTIC MNGT TRAINING, INC.",TVIs,National Capital Region (NCR),PASMAK,Makati City,"No. 1587 Paradiso Centre, Copernico Street, Brgy. San Isidro, Makati City",MARY GRACE ROSALIA GULAN,843-5918/844-3231,uno_training@yahoo.com,Caregiving (Elderly) NC II,4,235,162
"ASIAN CAREGIVING AND TECHNOLOGY EDUCATION CENTERS, INC.",TVIs,National Capital Region (NCR),CAMANAVA,Caloocan City,"A & A Bldg., 120 P. Jacinto cor. Boni Serrano St. Calaanan East, Caloocan City",Jonas Jay D. Lorenzo ,366-3975/ 367-8233/ 366-9282,actecschool.caloocan@gmail.com,Caregiving NC II,1,88,161
SOCIO INTER SKILLS TRAINING ACADEMY (SISTA) INC.,TVIs,National Capital Region (NCR),PASMAK,Makati City,"185B, J.P. Rizal St., Barangay Tejeros, Makati City",RIDGIE S. ORINA,0917-864-5551,sociointerskillstvi@gmail.com,Caregiving (Elderly) NC II,1,148,144
"MARY CHILES HOSPITAL, INC. DOING BUSINESS UNDER THE NAME AND STYLE OF MARY CHILES GEN. HOSPITAL; MARY CHILES COLLEGE AND MCC CHILDBIRTH AND WOMEN'S CENTER",HEIs,National Capital Region (NCR),City of Manila,"Sampaloc, City of Manila","667 F.T. Dalupan Sr. Street, Sampaloc, Manila",Marivic C. Diaz, 735-54-3 / 735-5341 Loc 286,mcctvet@gmail.com,Caregiving NC II,3,114,128
ABEST RESOURCE DEVELOPMENT INC.,TVIs,National Capital Region (NCR),PASMAK,Pasay City,"2814-I Violeta Court F.B. Harrison St., Pasay City ",JOHN RHEN S. SAGER,556-5174,abestresource2009@gmail.com,Caregiving NC II,2,67,119
PAMANTASAN NG LUNGSOD NG MARIKINA,LCU,National Capital Region (NCR),PAMAMARISAN,Marikina City,"Brazil St., Greenheights Subd. Phase 1 (Main) Concepcion Uno Marikina City","JACQUELINE M. CALAYCAY RN, MAN, MSN",Tel. 369-8650 / 369-4927,plmar.techvoc@gmail.com,Caregiving NC II,2,50,112
"GOLD LANE INTERNATIONAL TRAINING SKILLS, INC.",TVIs,National Capital Region (NCR),PASMAK,Pasay City,"618 Gamban St., Brgy. 138, Pasay City",GERALD CHRISTOPHER M. NUÑEZ,894-20-51,goldlaneinternationaltraining@gmail.com,Caregiving (Elderly) NC II,1,109,109
St. Bernadette College of Alabang,TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Muntinlupa City,"Km. 23.6 East Service Rd., Udings Cmpd. I, Alabang, Muntinlupa City",Felicitas C. Rabonza,842-21-39 / 856-66-02/850-57-09,tvet@sbca.edu.ph,Caregiving NC II,2,125,97
WCU SKILLS ACADEMY INC.,TVIs,National Capital Region (NCR),PASMAK,Makati City,"3rd Floor PMJ Building, Evangelista corner Cuangco Street, Brgy. Pio Del Pilar, Makati City",CARMENCITA D. UY,(02) 8709-0600,wcuskillsacademy@gmail.com,Caregiving (Elderly) NC II,2,112,95
CAP TRAINING AND ASSESSMENT CENTER INC.,TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Parañaque City,"421 El Grande St., B.F. Homes, Parañaque City",Cherry May D. Quinsay,505-4912,mpltp.captraining.tvimis@gmail.com,Caregiving NC II,4,98,81
"OUR LADY OF GUADALUPE COLLEGE, INC., ",TVIs,National Capital Region (NCR),PAMAMARISAN,Mandaluyong City,"Siera Madre Cor. Esteban St., Mandaluyong City",MS. MA. VICTORIA T. VERGEL DE DIOS,Tel. 535-5885 - 86,olgctess@gmail.com,Caregiving NC II,1,48,77
"ST. AUGUSTINE COLLEGE-LAS PIÑAS CITY INC. (FORMERLY: ST. AUGUSTINE SCHOOL OF NURSING - LAS PIÑAS CITY, INC.)",HEIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Las Piñas City,"165 Real St. Alabang, Zapote Rd., Pamplona 1, Las Piñas City",Rona M. Tolentino,70013243,sasn_laspinas@amaes.edu.ph,Caregiving NC II,2,125,75
Emilio Aguinaldo Educational Corporation Doing Business Under The Name And Style Of Aguinaldo International School And Emilio Aguinaldo College (formerly: Emilio Aguinaldo College),HEIs,National Capital Region (NCR),City of Manila,"Ermita, City of Manila","1113-1117 San Marcelino St., cor., Gonzales St., Ermita, Manila","JOSE PAULO E. CAMPOS, Ed.D.",521-2710 loc. 5602,eacsmidwiferycaregiver@gmail.com,Caregiving NC II,2,99,69
"GOLD LANE INTERNATIONAL TRAINING SKILLS, INC.",TVIs,National Capital Region (NCR),PASMAK,Pasay City,"618 Gamban St., Brgy. 138, Pasay City",GERALD CHRISTOPHER M. NUÑEZ,894-20-51,goldlaneinternationaltraining@gmail.com,Caregiving NC II,2,69,68
PRO-TECH SKILLS DEVELOPMENT CENTER CORPORATION,TVIs,National Capital Region (NCR),PASMAK,Makati City,"6488 P. Medina St., Pio Del Pilar, Makati City",JOSE LORENZO E. BEECH,(02) 526-4838,Joelo@pro-techcorp.com,Caregiving (Elderly) NC II,1,73,58
"FINE INTERNATIONAL TRAINING CENTER, INC.",TVIs,National Capital Region (NCR),PASMAK,Makati City,"518 Narra St. Cembo, Makati City ",MARY GRACE O. TEJADA,750-0626 / 391-1042 / 383-8766 / 391-1042,finetrainingcenter@gmail.com,Caregiving NC II,3,83,53
"UNO CAREGIVER AND DOMESTIC MNGT TRAINING, INC.",TVIs,National Capital Region (NCR),PASMAK,Makati City,"No. 1587 Paradiso Centre, Copernico Street, Brgy. San Isidro, Makati City",MARY GRACE ROSALIA GULAN,843-5918/844-3231,uno_training@yahoo.com,Caregiving NC II,2,52,52
"CORINTH GLOBAL JAPANESE LANGUAGE AND CULTURE SKILLS TRAINING AND ASSESSMENT CENTER, INCORPORATED (FORMERLY: CORINTH GLOBAL JAPANESE LANGUAGE AND SKILLS TRAINING CENTER INC.)",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Parañaque City,"No. 6586 Dahlia St., San Dionisio, Gatchalian 1, Parañaque City",Deborah Z. Daquis,822-9120,cgjst@yahoo.com.ph,Caregiving NC II,1,55,50
TAGUIG MANPOWER TRAINING AND ASSESSMENT CENTER (TMTC),LGU,National Capital Region (NCR),MUNTIPARLASTAPAT,Taguig City,"Col. Ballecer St., Brgy. Central Signal Village, Taguig City",Evangeline F. Sabater,9297015428,manpowertmtc@gmail.com,Caregiving NC II,2,50,49
VALENZUELA CITY TECHNOLOGICAL COLLEGE,LGU,National Capital Region (NCR),CAMANAVA,Valenzuela City,"Kamagong St., Fortune Vill. 6, Parada, Valenzuela City",DR. YOLANDA G. GADON,82930775 / 82920480,cmnv.valtech.tvimis@gmail.com,Caregiving NC II,1,81,49
"WORLD CITI, INC. DOING BUSINESS UNDER THE NAME AND STYLE OF WORLD CITI COLLEGES AND WORLD CITI MEDIC",TVIs,National Capital Region (NCR),Quezon City,Quezon City,"960 Aurora Boulevard, Cubao, Quezon City",MELISSA F. TAROY,9138380/4384580,worldciticolleges2@gmail.com,Caregiving NC II,1,24,49
ILEAD - MEDIC SCHOOL FOR HEALTH CARE SCIENCES INC.,TVIs,National Capital Region (NCR),City of Manila,"Santa Ana, City of Manila","3381 Tuazon Bldg., Brgy. 893, New Panaderos, Sta. Ana, Manila","Dr. Chaysee Jan D. Sibug, Ph.D, RN",(02) 8638 2613,ileadmedicschoolmla@gmail.com,Caregiving NC II,2,131,45
"EMMANUEL HEALTHCARE SKILLS TRAINING AND ASSESSMENT CENTER, INC.",TVIs,National Capital Region (NCR),City of Manila,"Sampaloc, City of Manila","1060 Panay St., Barangay 556, Sampaloc, Manila",Mart Anthony D. Barroga,358-7070,machobarroga@gmail.com,Caregiving NC II,1,50,42
CPDC TRAINING & TESTING CORP.,TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Taguig City,"Lontoc cor. Virata St. near Samaca II, Brgy. Calzada, Taguig City",Ralph Emerson M. Mactal,82521804,cpdccorp@gmail.com,Caregiving (Elderly) NC II,1,57,41
N.T. Language Inc.,TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Muntinlupa City,"6/F NT Center Bldg., Alabang-Zapote Rd., Tierra Nueva Village, Muntinlupa City",Mr. Toffey Reyes ,842-8207 / 0927-9561243,ntli.cgv@gmail.com,Caregiving NC II,2,81,34
"Olivarez College, Inc.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Parañaque City,"Dr. A. Santos Ave., Barangay San Dionisio, Parañaque City",Dr. Eric L. Olivarez,"825-71-89, 825-71-19 fax - 825-87-12",Ocp.tesda@olivarezcollege.edu.ph,Caregiving NC II,1,39,32
"RIGHT FOCUS TRAINING CENTER, INC.",TVIs,National Capital Region (NCR),City of Manila,"Santa Cruz, City of Manila","RFTC Bldg., 1400 Pampanga Street, Sta. Cruz, Manila",ROSALINDA O. FERNANDEZ,02-75013324/ 02-77291903/ 0995-3920549,rightfocus.diploma@gmail.com,Caregiving NC II,2,32,30
"St. Augustine School of Nursing - Las Piñas City, Inc.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Las Piñas City,"165 Real St. Alabang, Zapote Rd., Pamplona 1, Las Piñas City",Rona M. Tolentino,873-4060/873-5841,sasn_laspinas@amaes.edu.ph,Caregiving NC II,0,0,25
Talon Dos Institute of Technology,TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Las Piñas City,"Cynthia Ugalde St., BF Resort Village,Talon II, Las Pinas City",Pablito Ugali Jr.,552-73-95,tesda_tdit@yahoo.com.ph,Caregiving NC II,1,24,25
"Chinese General Hospital Colleges, Inc. (Formerly: Chinese General College of Nursing and Liberal Arts, Inc.)",TVIs,National Capital Region (NCR),City of Manila,"Santa Cruz, City of Manila","No. 286 Blumentritt Street, Sta. Cruz, Manila","Vilma P. Albo, RM, RN, MAN",711-4141 loc. 601,vilma_albo@yahoo.com,Caregiving NC II,1,22,22
University of Perpetual Help Rizal,TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Las Piñas City,"Pamplona III, Las Pinas City","Arnaldo S. De Guzman, STh.D.",871-06-39 loc. 202,tesda.laspinas@perpetualdalta.edu.ph,Caregiving NC II,1,41,15
PSAA INTERNATIONAL ACADEMY INC.,TVIs,National Capital Region (NCR),City of Manila,"Pandacan, City of Manila","1745 Abdon St., Brgy. 843, Pandacan, Manila",Riza D. Sorima-Matias,563-8105,psaamlatvet2011@gmail.com,Caregiving NC II,1,17,14
"ST. PAUL UNIVERSITY QUEZON CITY, INC.",HEIs,National Capital Region (NCR),Quezon City,Quezon City,"Gilmore Ave. corner Aurora Blvd., Cubao, Quezon City",Maria Luz Lourdes M. Paulino,726-7986 to 88/ 722-1865,spuqc.ccdals2020@gmail.com,Caregiving NC II,1,15,14
YAMAHEI TRAINING AND ASSESSMENT CENTER CORPORATION,TVIs,National Capital Region (NCR),PAMAMARISAN,San Juan City,"10 San Mauricio St., Brgy. Batis, San Juan City",MARIA ROSANNA S. REYES,570-7437,info@yamaheitaacc.com,Caregiving (Elderly) NC II,1,17,10
"DR. CARLOS S. LANTING COLLEGE, INC. (FORMERLY DR. CARLOS S. LANTING SCHOOL OF MIDWIFERY, INCORPORATE",HEIs,National Capital Region (NCR),Quezon City,Quezon City,"16 Tandang Sora Avenue, Quezon City",,939-7229 / 930-5299,recordsregistrar@yahoo.com,Caregiving NC II,1,25,7
"ASIAN CAREGIVING AND TECHNOLOGY EDUCATION CENTERS, INC.",TVIs,National Capital Region (NCR),CAMANAVA,Caloocan City,"419 D & I Building EDSA Avenue, Barangay 86 Caloocan City",Jonas Jay D. Lorenzo,8366-3975,actecschool.caloocan@gmail.com,Caregiving NC II,1,118,4
PSAA INTERNATIONAL ACADEMY INC.,TVIs,National Capital Region (NCR),City of Manila,"Pandacan, City of Manila","1745 Abdon St., Brgy. 843, Pandacan, Manila",Riza D. Sorima-Matias,563-8105,psaamlatvet2011@gmail.com,Caregiving (Elderly) NC II,1,2,2
"DIVINE MERCY COLLEGE FOUNDATION, INC.",TVIs,National Capital Region (NCR),CAMANAVA,Caloocan City,"129 Jose P. Bautista Avenue, Caloocan City",MA. PAULA ISABELLA M. SALANDANAN,361-19-22/350-83-67/362-31-47,tesda@dmcfi.edu.ph,Caregiving NC II,1,31,1
LUXEBEAUTE INTERNATIONAL ACADEMY INC.,TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Parañaque City,"No. 257 4F, Unit1, RMR Centre, Doña Soledad Extension Avenue, Brgy. Don Bosco, Parañaque City",REMEDIOS O. ABAD,(02) 7149 5188 / 09178623894 / 09153742986,luxebeaute.it@gmail.com,Caregiving NC II,1,1,1
UNIVERSAL COLLEGES OF PARAÑAQUE INC. (FORMERLY: UNIVERSAL COLLEGE OF NURSING INC.),HEIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Parañaque City,"8273 Dr. A. Santos Avenue, Sucat, Parañaque City",Domingo T. Tay,820-4276/829-8615,uctesdadepartment@gmail.com,Caregiving NC II,1,1,1
FURIO AND ASSOCIATES REVIEW AND HEALTHCARE TRAINING CENTER INC.,TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Parañaque City,"160 Pascual 1, Sucat, San Antonio, Parañaque City",MARILOU P. FURIO,9271389268,,Caregiving (Elderly) NC II,1,1,0
"MARTINEZ TRAINING CENTER FOR HEALTH SERVICES, INC.",TVIs,National Capital Region (NCR),CAMANAVA,Caloocan City,"3rd Flr. Martinez Memorial Hospital, 198 A. Mabini St., Maypajo, Caloocan City",,285-5091 / 288-4279/ 288-8861,,Caregiving NC II,0,0,0
"SAKURA CAREGIVER AND HEALTHCARE SCHOOL, INC.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Las Piñas City,"#3 Aria Street, Sta. Cecilia Village, Talon Dos, Las Piñas City",ARIEL G. TAN,9176201563,imie@sakuracaregiver.com,Caregiving NC II,1,11,0
"D.M. Consunji Technical Training Center, Inc.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Taguig City,"DMCI Compound, C-5 Rd., Brgy. Ususan, Taguig City ",Marlon T. Tadeo,570-6419/20,LAUGNTADEO@YAHOO.COM,Carpentry NC II,0,0,40
PASAY-MAKATI DISTRICT TRAINING AND ASSESSMENT CENTER (PMDTAC),TTI (PTC),National Capital Region (NCR),PASMAK,Makati City,"Building 15, TESDA Complex, East Service Road, South Superhighway, Taguig City",VERNADETTE D. FLORES-GONZALES,9688524038,pmdtac@tesda.gov.ph,Carpentry NC II,1,102,98
QTEK TRAINING AND ASSESSMENT CENTER INC.,TVIs,National Capital Region (NCR),PAMAMARISAN,Mandaluyong City,"10 A.H. Poblador St., Brgy. Hagdan Bato, Libis, Mandaluyong City",MARIA CRISELLA O. BINAYUG ,964-2237 / 0917-300-5827 / 0942-0359736,mcobinayug@qtekcenter.com,Carpentry NC II,3,373,312
VALENZUELA CITY TECHNOLOGICAL COLLEGE,LGU,National Capital Region (NCR),CAMANAVA,Valenzuela City,"Kamagong St., Fortune Vill. 6, Parada, Valenzuela City",DR. YOLANDA G. GADON,82930775 / 82920480,cmnv.valtech.tvimis@gmail.com,Carpentry NC II,1,25,0
"ACADEMY FOR INTERNATIONAL CULINARY ARTS, INC.",TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"Suite U-207 Skyway Twin Tower, 351 Henry P. Javier St., Brgy., Orando Pasig City ",Mr. Michael M. Tiaoqui ,671-0276 / 671-0277 loc. 110,registrar@aicaculinary.com,Commercial Cooking NC III,1,15,0
CENTER FOR ASIAN CULINARY STUDIES INC.,TVIs,National Capital Region (NCR),PAMAMARISAN,San Juan City,"175 Paterno Street, San Juan City",EUGENIO RAMON R. GONZALEZ,725-5089; 650-3282; 09773473277,cacschef@gmail.com,Commercial Cooking NC III,1,18,10
"GLOBAL CULINARY & HOSPITALITY ACADEMY, INC.",TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"4/F Millenium Place Bldg., Meralco Ave. and Sapphire Road, Ortigas Center, Brgy. San Antonio, Pasig City",Benjamin N. Ledesma Jr.,633-6382 / 638-9183,registrar.globalacademy@gmail.com,Commercial Cooking NC III,1,76,68
CENTER FOR ASIAN CULINARY STUDIES INC.,TVIs,National Capital Region (NCR),PAMAMARISAN,San Juan City,"175 Paterno Street, San Juan City",EUGENIO RAMON R. GONZALEZ,725-5089; 650-3282; 09773473277,cacschef@gmail.com,Commercial Cooking NC IV,2,17,16
A1VENTURES TECHNICAL AND VOCATIONAL ACADEMY INC.,TVIs,National Capital Region (NCR),Quezon City,Quezon City,"815 Room 301, 3rd Floor CSP Building Que-zon Ave Santa Cruz, Quezon City",KRISTINA MARIE R. CHUA,9558691867,A1VENTURESTECHVOCCORP@GMAIL.COM,Computer Systems Servicing NC II,4,471,461
"ACADEMY ASIA SCHOOL OF TECHNOLOGY AND THE ARTS, INC. ",TVIs,National Capital Region (NCR),PAMAMARISAN,Marikina City,"2/F WRC Bldg. No. 47 Gil Fernando Midtown Subd., San Roque, Marikina City ",MR. JAIME G. DOLERA JR.,Tel. No. 234-0996,academy.asia@gmail.com,Computer Systems Servicing NC II,1,94,41
"ACCESS PASIG COMPUTER & TECHNICAL COLLEGES, INC. ",TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"No.11 M.H. Del Pilar St., Brgy. San Nicolas, Pasig",DONA MARIE ANGELICA O. MARIANO,9088130738,pas@access.edu.ph,Computer Systems Servicing NC II,1,54,54
"ACLC COLLEGE OF MANILA, INC.",TVIs,National Capital Region (NCR),City of Manila,"Sampaloc, City of Manila","Sampaloc Manila 2355 Legarda Corner Manrique Sts. Barangay 416 Sampaloc, City of Manila",ARIZA N. BIHASA,.373-3901 loc 8283/09175075807/09228561278,aclccollegeofmanila@gmail.com,Computer Systems Servicing NC II,1,52,52
"Arandia College, Inc.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Parañaque City,"Lot 1, Block 1, F. Valarao St., Airport Village, Moonwalk, Parañaque City",FDr. Dr. Yolanda Dela Cruz Arandia,822-4701/822-4711,arandiacollegeinc.tac@gmail.com,Computer Systems Servicing NC II,1,25,45
"ARAYA SKILLS DEVELOPMENT INSTITUTE, CORP.",TVIs,National Capital Region (NCR),PAMAMARISAN,San Juan City,"Unit 302, 304 and 1502 Jafer Place Building Eisenhower St. Greenhills, San Juan City",Ms. Teresa A. Jondonero,727-6731 / 985-5895,arayaskillsdic@gmail.com,Computer Systems Servicing NC II,2,184,132
"Asia Source College of Arts and Technology, Inc.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Taguig City,"4/F Gate 3 Plaza, Lawton Avenue cor. Juliano Ave., AFPOVAI Phase lll, Western Bicutan, Taguig City",Dario S. Espineda,553-5202/869-8824,asiasource.academics@gmail.com,Computer Systems Servicing NC II,2,50,71
ASIA SOURCE ICOLLEGE INC.,TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"One Victoria Plaza, A. Mabini, Kapasigan, Pasig City",DARIO S. ESPINEDA,637-9895,asiasource.academics@gmail.com,Computer Systems Servicing NC II,2,156,124
ASIAN CHRISTIAN THEOLOGICAL SCHOOL & COLLEGES INC.,TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Taguig City,"503 Eagle St., Blk 5, G2 Village, Brgy. Pinagsama, Taguig City",JOVENCIO GAGTAN,666-3946 / 09272331562,actscolleges2008@gmail.com,Computer Systems Servicing NC II,1,25,0
"ASIAN ENTREPRENEURS TECHNOLOGICAL INSTITUTE, INC. ",TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"115 E. Santos Ave., Bambang, Pasig City",Ms. Marjorie G. Mendenilla,7746-0097,asianentrepreneurstech2009@gmail.com,Computer Systems Servicing NC II,2,197,296
BELART TRAINING AND ASSESSSMENT CENTER INC.,TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"682 Shaw Blvd., Kapitolyo, Pasig City",BRYAN ARTHUR M. DAVID,9395994949,bryan_david902@yahoo.com,Computer Systems Servicing NC II,1,147,68
Bernardo College,TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Las Piñas City,"Bernardo College Compound, Pulanglupa I, Las Piñas City",Maria Jesusan- Bernardo Guinto,873-3330,bernardocollege@yahoo.com,Computer Systems Servicing NC II,1,51,51
"BLUERIDGE PACIFIC INSTITUTE, INC.",TVIs,National Capital Region (NCR),City of Manila,"Binondo, City of Manila","No. 357 W. Burke St., Binondo, Manila",RODOLFO C. REYES,87351055,blueridgepacific@yahoo.com,Computer Systems Servicing NC II,2,120,42
"BOWLINE TRAINING & ASSESSMENT CENTER, INC.",TVIs,National Capital Region (NCR),PAMAMARISAN,Marikina City,"No. 9 Martilyete St., Midtwon Subd., San Roque, Marikina City",DANILO BLASITO A. FERNANDEZ,682-0165/645-0444,bowline.center2007@gmail.com,Computer Systems Servicing NC II,2,361,268
"CANE TOWN COLLEGES OF THE PHILIPPINES, INC. DOING BUSINESS UNDER THE NAME AND STYLE OF PROFESSIONAL ",TVIs,National Capital Region (NCR),Quezon City,Quezon City,"2nd Floor Rear Ablaza Building, 117 E. Rodriguez Sr. Avenue, Quezon City",LENIE M. SANTIAGO,353-7981,canetowncollegesofthephils12@gmail.com,Computer Systems Servicing NC II,1,249,184
"CAPELLAN INSTITUTE OF TECHNOLOGY, INC.",TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"No. 35 Dr. Pilapil St., Sagad, Pasig City", Engr. Benedicto A. Capellan,641-5648/642-0702,citpasig@gmail.com,Computer Systems Servicing NC II,2,140,116
"CENTRAL INSTITUTE OF TECHNOLOGY OF QUEZON CITY, INC. ",TVIs,National Capital Region (NCR),Quezon City,Quezon City,"2nd Floor Our Home Bldg., 114 Malakas St. Diliman, Quezon City",Cecilio B. Pingkian ,(02) 925-2554  435-7010,cit_2013@yahoo.com,Computer Systems Servicing NC II,1,140,129
COLLEGE OF SAINT AMATIEL INC.,TVIs,National Capital Region (NCR),CAMANAVA,Malabon City,"118 Interior Gen. Luna St., Brgy. Ibaba Malabon City ",PEPITO B. TRUMATA,497-7929,cmnv.saintamatiel.t2mis@gmail.com,Computer Systems Servicing NC II,1,21,105
"E-GLOBAL INTERNATIONAL COMMUNICATIONS, INC.",TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"Mezzanine A 707 Shaw Blvd., Brgy. Kapitolyo, Pasig City ",EMERSON CHESTER KIM B. GO,584-7200/0917-5187073,eglobalinternationalcom@gmail.com,Computer Systems Servicing NC II,1,50,58
"EMMANUEL JOHN INSTITUTE OF SCIENCE & TECHNOLOGY, INC.",TVIs,National Capital Region (NCR),CAMANAVA,Caloocan City,"No. 237 M.H. del Pliar St., Grace Park, Caloocan City",MARLON S. PAGUIO,332-3060,cmnv.ejistcaloocan.t2mis@gmail.com,Computer Systems Servicing NC II,1,47,46
GRACE MANILA LEARNING INSTITUTE INC.,TVIs,National Capital Region (NCR),City of Manila,"Malate, City of Manila","LP2 2F 2311 Taft Ave. Cor. Castro Streets, Malate-Barangay 709, Manila",ROBINA MARIE K. TAN,0917-627-2464,GManilaLearningInstitute@gmail.com,Computer Systems Servicing NC II,1,121,95
HEADSTART TRAINING CENTER CORP.,TVIs,National Capital Region (NCR),CAMANAVA,Malabon City,"4F St. Jerome Mansion, 82 Victoneta Ave., Potrero, Malabon City",FLORINDA V. VALERA,9684471790,headstartcenter1@gmail.com,Computer Systems Servicing NC II,4,362,159
HONORIO LOPEZ TECHNICAL INSTITUTE INC.,TVIs,National Capital Region (NCR),City of Manila,"Tondo I/II, City of Manila","3rd Floor, Primeblock Building, Tutuban Center, C.M. Recto Avenue, Barangay 247, Tondo, Manila",Honorio Ramon Lopez ,02-82984556,HonoriolopezTII@gmail.com,Computer Systems Servicing NC II,4,349,235
HORIZONS INSTITUTE OF TECHNOLOGY CORPORATION,TVIs,National Capital Region (NCR),CAMANAVA,Caloocan City,"No. 1569 Rizal Ave. Cor. 10th Ave., Grace Park West, Barangay 62, Caloocan City",Michael Angelo A. Maga,426-8591/09175017675,hitacc.am@gmail.com,Computer Systems Servicing NC II,2,75,88
HYPER YOUNG INSTITUTE OF TECHNOLOGY INC.,TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"113 M.H. Del Pilar Street Palatiw, Pasig City",AYESA V. PABELLANO,250-1464,hyperyoung2018@gmail.com,Computer Systems Servicing NC II,6,1234,1238
HYPER YOUNG INSTITUTE OF TECHNOLOGY INC.,TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"87 Dream Flower Andrea 2, Rosario, Pasig City",MS. AYESA V. PABELLANO,7007-9416,hyitadmin@hyperyoung2018.com,Computer Systems Servicing NC II,2,22,0
"IETI College, Inc.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Muntinlupa City,"No. 5 Molina St., Alabang, Muntinlupa City",MELVIE B. ACEDO,850-0937/850-0938,ietialabang@yahoo.com,Computer Systems Servicing NC II,1,20,67
IMMACULADA CONCEPCION COLLEGE OF SOLDIERS HILLS CALOOCAN CITY INC.,HEIs,National Capital Region (NCR),CAMANAVA,Caloocan City,"Soldiers Hills III Subd.,Brgy. 180, Tala, Caloocan City","MARCELINO VINCENTE AGANA, Ph.D.",89359986 / 87094225,icctvet@immaculada.edu.ph,Computer Systems Servicing NC II,1,138,52
INTERFACE COMPUTER COLLEGE INC.,HEIs,National Capital Region (NCR),City of Manila,"Sampaloc, City of Manila","990 MCM Building, Quezon Blvd., Brgy. 464, Zone 46, District IV, Sampaloc, Manila","EMILY M. DIMLA, PhD",733-9825/ 733-9453/ 733-9457,information@interface.edu.ph,Computer Systems Servicing NC II,2,96,96
"INTERFACE COMPUTER COLLEGE, INC.",HEIs,National Capital Region (NCR),CAMANAVA,Caloocan City,"Doña Lolita Bldg., 10th Ave. cor. Rizal Ave., Ext., Caloocan City","EMILY M. DIMLA, PhD",366-7271,information@interface.edu.ph,Computer Systems Servicing NC II,2,42,55
"International Electronics and Technical Institute (Las Piñas), Inc.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Las Piñas City,"3/F & 4/F Navarro Bldg., Real St., Pamplona III, Las Piñas City","Rolando B. Rodillo, Jr.",874-47-65 / 871-4351,ieti.laspinas1974@gmail.com,Computer Systems Servicing NC II,1,29,57
"INTERNATIONAL ELECTRONICS AND TECHNICAL INSTITUTE, INC.",TVIs,National Capital Region (NCR),PASMAK,Makati City,"Room 402, 4th Floor Guadalupe Comm'l Complex Guadalupe, Makati City",Sidney L. Resurreccion,882-0435,ietimakati@yahoo.com,Computer Systems Servicing NC II,2,54,77
KAIZEN TECH INSTITUTE OF MANILA INC.,TVIs,National Capital Region (NCR),City of Manila,"Pandacan, City of Manila","GF/3F 1745 Abdon St., Otis, Pandacan, Manila",PHILIP JOHN L. SORIMA,0961-120-7812,kaizentechmanila@gmail.com,Computer Systems Servicing NC II,2,157,150
