,Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,PSOC,ISCO,SOC
285,Delivery Driver,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,8322.0,8322 p,43-5021
286,Demi Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012
287,Dental Hygienist,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,3251.0,3251,31-9091
288,Dental Laboratory Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,3251.0,3251,31-9091
290,Dentist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2261.0,2261,29-1029
291,Dermopigmentation/Tattoo Artist,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,3435.0,3435,39-3099 
292,Design Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2141.0,2141,17-2112
293,Development Education Assistant,Education,Other Education,Higher Education,Yes,No,3412.0,3412,21-1093
294,Development Planning Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,2424.0,2424,13-1151 
295,Development Researcher,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,No,2310.0,2310,25-1199
296,Dialysis Nurse,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2221.0,2221,29-1171 
297,Diesel Power Plant Operator,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,3131.0,3131,51-8013
299,Digital Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,2513.0,2513,15-1134 
300,Digital Fabrication Machine Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,7223.0,7223,51-4199
301,Digital Marketing Specialist,"Professional, Scientific and Technical Activities",Advertising,Not Higher Education,No,No,2431.0,2431,27-3043 
302,Digital Sales Support Staff,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,No,2434.0,2434,41-9031
303,Digital Transformation Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,2519.0,2519,15-1199
304,Dispatch Coordinator,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,4412.0,4412,43-9051
305,Dispatcher,Transportation and Storage,"Postal activities, Warehousing and storage",Higher Education,No,No,4323.0,4323,43-5032
306,Diversity & Inclusion Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2422.0,2422,13-1199
307,Document Controller (Construction),Construction,Construction of buildings,Higher Education,No,No,4415.0,4415,43-9071 
308,Documentation Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,3433.0,3433,27-1012 
309,Domestic Refrigeration And Air-Conditioning Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,7124.0,7124,47-2132
310,Doorkeeper,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,5414.0,5414,33-9093 
311,Drafting Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Higher Education,No,Yes,3118.0,3118,27-1013 
312,Drafting Technician (Architecture),"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,3118.0,3118,27-1013 
313,Draftsman,Construction,Other specialized construction activities,Not Higher Education,No,No,3118.0,3118,27-1013 
314,Dressmaker,Manufacturing                                                ,Custom tailoring and dressmaking,Not Higher Education,No,No,7531.0,7531,51-6052
315,Drilling Rig Operators,Construction,Construction of utility projects,Not Higher Education,No,No,8111.0,8111,53-7033
316,Drying And Milling Plant Service Technician,Manufacturing                                                ,"Manufacture of grain mill products, starches and starch products",Not Higher Education,No,No,8189.0,8189,53-7011
317,Early Learning Materials Developer,Education,Other Education,Higher Education,Yes,No,2351.0,2351,25-9031
318,Ecological Survey Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,2269.0,2269,29-9092 
319,E-Commerce Data Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,2521.0,2521,15-1141
320,E-Commerce Support Associate,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,Yes,4222.0,4222,43-4171 
321,Economic Data Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2631.0,2631,19-3011
322,Economic Policy Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2631.0,2631,19-3011
323,Economics Instructor,Education,Higher education,Higher Education,No,No,2631.0,2631,19-3011
324,Eco-Tourism Guide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,No,5113.0,5113,39-7012
325,Eco-Tourism Program Aide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,4221.0,4221,43-4181
326,Eco-Tourism Program Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,4221.0,4221,43-4181
327,Editorial Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,2642.0,2642,27-3041 
328,Education Program Assistant,Education,Other Education,Higher Education,No,Yes,5312.0,5312,25-9041 
329,Electric Discharge Machine-Sinking Operator,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,7212.0,7212,51-4122 
330,Electric Power Distribution Line Worker,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,7413.0,7413,49-9051
331,Electrical Appliance Servicer,Other Service Activities,Repair of personal and household goods,Higher Education,No,No,7421.0,7421,49-2096
332,Electrical Distribution Engineer,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No,2151.0,2151,17-2071
333,Electrical Systems Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No,3113.0,3113,17-3024
334,Electrical Technician (Automotive),Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,3113.0,3113,17-3024
335,Electronic Products Assembler,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,8212.0,8212,51-9194
336,Electronics Design Engineer,Manufacturing                                                ,Manufacture of electronic components,Higher Education,Yes,No,2152.0,2152,17-2072 
337,Electronics Operator,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,8212.0,8212,51-9194
338,Electronics Repair Technician,Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,3114.0,3114,17-3023
339,Electronics Test Technician,Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,3119.0,3119,53-6041
340,Elevator Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,9629.0,9629,53-6021
341,Elevator Installation Technician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,3115.0,3115,17-3029
342,Elevator Installer,Construction,Other specialized construction activities,Not Higher Education,No,No,3115.0,3115,17-3029
343,Embalmer,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,5163.0,5163,39-4031
345,Embedded Systems Developer,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,2512.0,2512,15-1133
346,Embedded Systems Technician,Manufacturing                                                ,Manufacture of electronic components,Higher Education,Yes,No,7422.0,7422,49-9052
347,Embroiderer,Manufacturing                                                ,Manufacture of knitted and crocheted apparel,Not Higher Education,No,No,7533.0,7533,51-6051
348,Emergency Medical Technician,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,3258.0,3258,29-2041 
349,Emergency Response Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,3258.0,3258,29-2041 
350,Employee Engagement Officer,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,2423.0,2423,21-1012 
351,Energy Auditors,Manufacturing                                                ,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Higher Education,No,No,3113.0,3113,17-3024
352,Energy Conservation Officer,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,3113.0,3113,17-3024
353,Engine Repair Specialist,Manufacturing                                                ,"Repair of fabricated metal products, machinery and equipment",Not Higher Education,No,No,7231.0,7231,49-3093
354,Engineered Bamboo Processor,Manufacturing                                                ,"Manufacture of products of wood, cork, straw and plaiting materials",Not Higher Education,No,No,7523.0,7523,51-7042
355,Engineering Assistant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,3115.0,3115,17-3029
356,English Education Materials Writer,Education,Other Education,Higher Education,No,No,2351.0,2351,25-9031
357,English Subject Teacher,Education,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,2353.0,2353,25-3099 
358,Enterprise Development Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,3512.0,3512,15-1151 
359,Enumerator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Not Higher Education,No,No,4227.0,4227,43-4111 
360,Environment and Occupational Safety and Health Specialist (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,2263.0,2263,29-9011 
361,"Environment, Safety & Health Officers",Construction,Construction of utility projects,Higher Education,No,No,3257.0,3257,53-6051
362,Environmental Compliance Analyst,"Water Supply; Sewerage, Waste Management and Remediation     ",Remediation activities and other waste management services,Higher Education,No,No,2143.0,2143,17-2081
363,Environmental Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,No,2133.0,2133,19-2041 
364,Environmental Field Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,2143.0,2143,17-2081
365,Environmental Health Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,2263.0,2263,29-9011 
366,Environmental Impact Analyst,"Water Supply; Sewerage, Waste Management and Remediation     ",Remediation activities and other waste management services,Higher Education,No,No,2133.0,2133,19-2041 
367,Equipment Dispatchers,Construction,Construction of utility projects,Not Higher Education,No,No,4321.0,4321,43-5111
368,Equipment Technicians,Construction,Construction of utility projects,Not Higher Education,No,No,3113.0,3113,17-3024
369,Equipment Tool Keepers,Construction,Other specialized construction activities,Not Higher Education,No,No,4321.0,4321,43-5111
370,Erection Crew,Construction,Construction of buildings,Not Higher Education,No,No,9313.0,9313,47-3019
371,ESL Curriculum Assistant,Education,Other Education,Higher Education,No,Yes,2351.0,2351,25-9031
372,ESL Trainer,Education,Other Education,Higher Education,No,No,2356.0,2356,13-1151 
373,Estimator,Transportation and Storage,Warehousing and storage,Higher Education,Yes,No,2149.0,2149,17-2199
374,Ethics Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,2310.0,2310,25-1199
375,EU Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2422.0,2422,13-1199
377,Events Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,3332.0,3332,13-1121
378,Executive Assistant (Airline),Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,3343.0,3343,43-6011
379,Executive Secretary,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,3343.0,3343,43-6011
380,Exercise Physiologist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,No,2131.0,2131,19-1099
381,Exhibit Design Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,2163.0,2163,27-1029
382,Exhibits Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,2621.0,2621,25-4012
383,Export Brokerage Clerk,Transportation and Storage,"Freight air transport, Sea and coastal water transport",Higher Education,No,Yes,3351.0,3351,33-3051
384,External Auditor,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,2411.0,2411,13-2082
385,Eyelash And Eyebrow Technician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,5142.0,5142,39-5094
386,Fabric Quality Controller,Manufacturing                                                ,Manufacture of other textiles,Higher Education,No,No,7532.0,7532,51-9031
387,Facilities Management Assistant,Administrative and Support Service Activities,Landscape care and maintenance service activities,Higher Education,No,Yes,5153.0,5153,37-2011
388,Facility Cleaning Specialist,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,9112.0,9112,53-7061
389,Failure Analysis Technician,Manufacturing                                                ,Manufacture of electronic components,Higher Education,No,Yes,3119.0,3119,53-6041
390,Faith Formation Instructor,Education,Other education services,Higher Education,Yes,No,2341.0,2341,25-2022
391,Faith-Based NGO Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,2423.0,2423,21-1012 
392,Family Life Educator,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,2342.0,2342,25-2012
393,Family Welfare Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,3412.0,3412,21-1093
394,Farm Equipment Fabricator,Manufacturing                                                ,"Manufacture of structural metal products, tanks, reservoirs and steam generators",Not Higher Education,No,No,7233.0,7233,49-9081
395,Farm Operations Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,3143.0,3143,19-4093
396,Farm Systems Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,3142.0,3142,19-4011
397,Farm Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,3142.0,3142,19-4011
398,Farm Tour Assistant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,5113.0,5113,39-7012
399,Fashion Designer,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Not Higher Education,No,No,2163.0,2163,27-1029
400,Fashion Exhibition Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,5223.0,5223,41-2031
401,Fashion Merchandising Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale in Specialized Stores,Higher Education,No,Yes,2431.0,2431,27-3043 
402,Fiber Optic Cable Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,7422.0,7422,49-9052
403,Fiber Optic Technician,Information and Communication,Wired telecommunications activities,Higher Education,No,Yes,3254.0,3254,29-2081
404,Field Agronomist Assistant,"Agriculture, Forestry, and Fishing",Plant propagation,Higher Education,Yes,No,3142.0,3142,19-4011
405,Field Development Associate,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,2424.0,2424,13-1151 
406,Field Engineers,Construction,Construction of buildings,Higher Education,Yes,No,2142.0,2142,17-2051 
407,Field Science Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,3256.0,3256,31-9092
408,Field Service Technician (Electronics),Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,3114.0,3114,17-3023
409,Filipino Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,2432.0,2432,27-3031 
410,Filipino Language Educator,Education,Other Education,Higher Education,No,No,2353.0,2353,25-3099 
411,Filipino Sign Language Interpreter,Other Service Activities,"Other personal service activities, n.e.c.",Not Higher Education,No,No,2643.0,2643,27-3091
412,Film and Video Editor,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,2654.0,2654,27-4032 
413,Finance Assistant (Cooperatives),Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes,3313.0,3313,43-3031
414,Finance Associate,Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes,3313.0,3313,43-3031
415,Financial Auditor,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,2411.0,2411,13-2082
416,Finishing Mason,Construction,Construction of buildings,Not Higher Education,No,No,7113.0,7113,47-4091 
417,First-Aider,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,5329.0,5329,31-9099
418,Fish Finder Operator,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,7311.0,7311,49-9069 
419,Fish Packaging Worker,Manufacturing                                                ,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No,7511.0,7511,51-3091 
420,Fish Processing Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,Yes,No,7511.0,7511,51-3091 
421,Fish Quality Inspector,"Agriculture, Forestry, and Fishing",Fishing,Higher Education,Yes,No,3359.0,3359,45-2011 
422,Fishery Operations Assistant,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,6221.0,6221 p,45-2093
423,Fishnet Maker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,7318.0,7318,51-6041
424,Fitness Instructor,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,No,3422.0,3422 p,39-9031
425,Fitness Testing Technician,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,3119.0,3119,53-6041
426,Fixed Wireless Broadband Installer,Information and Communication,Wireless telecommunications activities,Not Higher Education,No,No,7422.0,7422,49-9052
427,Flight Dispatch Officer,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,4323.0,4323,43-5032
428,Flight Engineers,Transportation and Storage,Support activities for transportation,Higher Education,No,No,3153.0,3153,53-2012
429,Flight Operations Assistant,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,Yes,7232.0,7232,49-3011
430,Florist,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,7549.0,7549,51-9083 
431,Food and Beverage Attendant,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,Yes,5131.0,5131,35-3041 
432,Food Processing Worker,Manufacturing                                                ,Manufacture of other food products,Not Higher Education,No,No,7511.0,7511,51-3091 
433,Food Product Developer,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012
435,Food Safety Officer,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,No,3257.0,3257,53-6051
436,Food Service Worker,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,5246.0,5246,35-9011 
437,Food Technologist,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,2132.0,2132,25-9021
438,Foreign Affairs Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2421.0,2421,13-1111
439,Foreign Language Teacher (Arabic),Education,Other education services,Higher Education,Yes,No,2353.0,2353,25-3099 
440,Foreign Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,2422.0,2422,13-1199
441,Forensic Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,2411.0,2411,13-2082
442,Forensic Lab Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3119.0,3119,53-6041
443,Forensic Laboratory Analyst,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,3119.0,3119,53-6041
444,Forestry Extension Assistant,"Agriculture, Forestry, and Fishing",Silviculture and other forestry activities,Higher Education,Yes,No,2132.0,2132,25-9021
445,Forging Machine Operator,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,7221.0,7221,51-4199 
446,Forklift Drivers,Transportation and Storage,Other land transport,Not Higher Education,No,No,8344.0,8344,53-7051 
447,Forklift Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,8344.0,8344,53-7051 
448,Formworks Crew,Construction,Construction of buildings,Not Higher Education,No,No,9313.0,9313,47-3019
449,Foundry Melter,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No,7224.0,7224,51-9022
450,Foundry Molder,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No,7211.0,7211,51-4072 
451,Foundry Patternmaker,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No,7222.0,7222,51-4192
452,Freight and Furniture Handlers,Transportation and Storage,Freight air transport,Not Higher Education,No,No,9333.0,9333,53-7121
453,Front End Game Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2512.0,2512,15-1133
454,Front Office Agent,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,4226.0,4226,43-4171
455,Front-End Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2513.0,2513,15-1134 
456,Front-End Web Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,2513.0,2513,15-1134 
457,Furniture Maker Finisher,Manufacturing                                                ,Manufacture of furniture,Not Higher Education,No,No,8219.0,8219,51-2099
458,Game Designer,Information and Communication,Other information service activities,Higher Education,No,No,2166.0,2166,27-1024
459,Game Programmer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,2166.0,2166,27-1024
460,Garment Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,2163.0,2163,27-1029
461,Gas Welder (Oxy-Acetylene),Construction,Other specialized construction activities,Not Higher Education,No,No,7212.0,7212,51-4122 
462,Genealogist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,2633.0,2633,19-3099
463,General Subject Basic Education Teacher,Education,Primary/elementary education,Higher Education,Yes,No,2330.0,2330,25-2031
464,General Subject High School Teacher,Education,Secondary/high school education,Higher Education,Yes,No,2330.0,2330,25-2031
465,Generator Set Tenders,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,3131.0,3131,51-8013
466,Geothermal Plant Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Manufacture of gas; distribution of gaseous fuels through mains,Higher Education,No,Yes,2114.0,2114,19-2043
467,Geriatric Physical Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2264.0,2264,29-1128
468,GIS & Spatial Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,3511.0,3511,43-9011
469,Global Programs Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,2423.0,2423,21-1012 
470,Gondola Tenders,Construction,Other specialized construction activities,Not Higher Education,No,No,8343.0,8343,53-7041
471,Government Program Officer,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,2423.0,2423,21-1012 
472,Government Records Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,4110.0,4110,43-9061 
473,Graphic Designer,Information and Communication,Other information service activities,Higher Education,No,No,2513.0,2513,15-1134 
474,Green Coffee Beans Processor,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,6117.0,6112,45-2091
475,Ground Operations Crew Member,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,5111.0,5111,53-6061
476,GTAW/TIG Welder,Construction,Other specialized construction activities,Not Higher Education,No,No,7212.0,7212,51-4122 
477,Guest Relations Associate,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,4224.0,4224,43-4081
479,Hairdresser,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,5141.0,5141,39-5012
480,Halal Compliance Specialist,Manufacturing,Manufacture of other food products,Higher Education,No,No,2632.0,2632,19-3092
481,Halal Seaweed Processing Worker,Manufacturing                                                ,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No,6222.0,6221 p,51-9199
482,Halal Slaughterer,Manufacturing                                                ,Processing and preserving of meat,Not Higher Education,No,No,7511.0,7511,51-3091 
483,Handloom Weaver,Manufacturing                                                ,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,7318.0,7318,51-6041
484,Hatchery Farm Worker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,6225.0,6221 p,45-2093
485,HDD FOL Operator,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,8212.0,8212,51-9194
486,Health and Safety Officer (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,2263.0,2263,29-9011 
487,Health Information Management Technician,Information and Communication,"Data processing, hosting and related activities; web portals (if digitized records)OR Other information service activities (if part of IT-BPM support to healthcare)",Higher Education,No,Yes,3252.0,3252,29-2071 
488,Health Program Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,3256.0,3256,31-9092
489,Health Promotion Officer,Human Health and Social Work Activities,Other human health activities,Higher Education,No,No,2269.0,2269,29-9092 
490,Health Services Clerk,Human Health and Social Work Activities,Human Health Activities,Higher Education,No,Yes,3252.0,3252,29-2071 
491,Heat Treater,Manufacturing                                                ,Manufacture of basic iron and steel,Not Higher Education,No,No,3133.0,3133,51-8091
492,Heavy Equipment Mechanic,Construction,Other specialized construction activities,Not Higher Education,No,No,7233.0,7233,49-9081
493,Heavy Equipment Operator (High School),Construction,Demolition and site preparation,Not Higher Education,No,No,8342.0,8342,53-7032
494,Herbal Remedies Research Aide,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,3230.0,3230,29-9099
495,Heritage Planner,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,2621.0,2621,25-4012
496,Heritage Site Guide,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,5113.0,5113,39-7012
497,Heritage Tourism Operator,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,3339.0,3339,41-9099 
498,Heritage Tradesperson / Heritage Conservation Technician,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,3433.0,3433,27-1012 
499,High School Science Teacher,Education,Secondary/high school education,Higher Education,Yes,No,4411.0,4411,43-4121
500,History Lecturer,Education,Higher education,Higher Education,No,No,2633.0,2633,19-3099
501,Home Economics Extension Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,3412.0,3412,21-1093
502,Home-Based Birth Assistant (Registered Midwife),Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,3222.0,3222,29-9099
503,Horse Riding Instructor,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,3423.0,3423,39-9031
504,Horticulture Assistant,"Agriculture, Forestry, and Fishing",Plant propagation,Higher Education,No,Yes,3142.0,3142,19-4011
505,Hospital Administration Associate,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,3344.0,3344,43-6013
506,Hospital Caregiver,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,5321.0,5321,31-1014 
507,Hospital Nursing Aide,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,5321.0,5321,31-1014 
508,Hospital Pharmacist,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,2262.0,2262,29-1051
509,Hospitality Systems and Technology Analyst,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2511.0,2511,15-1121
