Identifier,Region,NTESDP Strategic Pillar Compenents,Output,Possible Funding Sources,List of Accomplishments,Accomplishments,PHYSICAL TARGETS,,,,,Accomplishments,FUNDING REQUIREMENTS,,,,
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|TRAINERS' METHODOLOGY COC 1 GRADUATE ON PRIORITY SKILL IDENTIFIED|TESDA FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",TRAINERS' METHODOLOGY COC 1 GRADUATE ON PRIORITY SKILL IDENTIFIED,TESDA FUND,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Training Programs Registered|INDUSTRY PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Training Programs Registered,INDUSTRY PARTNERS,NUMBER OF NEW REGISTERED PROGRAMS,93,55,100,75,75,398,"150,000","150,000","225,000","225,000","300,000","975,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Training Programs Registered|LGU FUND",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Training Programs Registered,LGU FUND,,0,0,0,0,0,0,0,0,0,0,0,"100,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|Training Programs Registered|TESDA MOOE",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",Training Programs Registered,TESDA MOOE,,0,0,0,0,0,0,0,0,0,0,0,0
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|SSP|Number of fire drills and earthquake drills participated,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,SSP,Number of fire drills and earthquake drills participated,,1,1,1,1,1,5,"7,000","7,000","7,000","7,000","7,000","35,000"
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|SSP|Number of safety assessment conducted of physical infrastructure, to identify and address potential hazards.",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,SSP,"Number of safety assessment conducted of physical infrastructure, to identify and address potential hazards.",,1,1,1,1,1,5,"38,500","35,470","35,470","35,470","35,470","180,380"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Assessors Certification|MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Assessors Certification,MOOE,"NUMBER OF NEW COMPETENCY ASSESSORS ACCREDITED (BY QUALIFICATION)
PLA IN COMMUNITY NUTRITION SERVICES NCII",199,202,223,2,2,628,0,"50,000","50,000","50,000","50,000","200,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|CBC Development|MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,CBC Development,MOOE,"NEW PROGRAMS REGISTERED
PTC - MINGLANILLA: COMMUNITY NUTRITION SERVICES NCII",3,1,1,1,1,7,"3,000","181,860","181,860","181,860","181,860","730,440"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Completion and functionality of the drainage system|SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Completion and functionality of the drainage system,SSP,,0,1,0,0,0,1,0,"132,820",0,0,0,"132,820"
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Conduct of Trainer's Training|MOOE, CEBU ASSOCIATION OF PUBLIC AND PRIVATE TVET INSTITUTIONS, INC., SCHOLARSHIP FUNDS


PTC SAMBOAN - SSP",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Conduct of Trainer's Training,"MOOE, CEBU ASSOCIATION OF PUBLIC AND PRIVATE TVET INSTITUTIONS, INC., SCHOLARSHIP FUNDS


PTC SAMBOAN - SSP",TVET TRAINERS PROVIDED WITH SKILLS UPGRADING/INDUSTRY IMMERSION TRAINING/CAPABILITY-BUILDING PROGRAM,156,3,3,3,3,168,0,0,0,0,0,0
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Conduct of Trainer's Training|MOOE, CEBU ASSOCIATION OF PUBLIC AND PRIVATE TVET INSTITUTIONS, INC., SCHOLARSHIP FUNDS",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Conduct of Trainer's Training,"MOOE, CEBU ASSOCIATION OF PUBLIC AND PRIVATE TVET INSTITUTIONS, INC., SCHOLARSHIP FUNDS",TVET TRAINERS PROVIDED WITH SKILLS UPGRADING/INDUSTRY IMMERSION TRAINING/CAPABILITY-BUILDING PROGRAM,312,32,32,32,107,515,"15,000","40,000","40,000","40,000","40,000","175,000"
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Conduct of Trainer's Training|SSP/ MOOE, CEBU ASSOCIATION 
OF PUBLIC AND
 PRIVATE TVET INSTITUTIONS,
 INC., SCHOLARSHIP FUNDS",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Conduct of Trainer's Training,"SSP/ MOOE, CEBU ASSOCIATION 
OF PUBLIC AND
 PRIVATE TVET INSTITUTIONS,
 INC., SCHOLARSHIP FUNDS",TVET TRAINERS PROVIDED WITH SKILLS UPGRADING/INDUSTRY IMMERSION TRAINING/CAPABILITY-BUILDING PROGRAM,156,2,1,1,1,161,0,"6,000","6,000","6,000","6,000","24,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Conduct of Trainer's Training|SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Conduct of Trainer's Training,SSP,TVET TRAINERS PROVIDED WITH SKILLS UPGRADING/INDUSTRY IMMERSION TRAINING/CAPABILITY-BUILDING PROGRAM,156,2,1,1,1,161,"3,000","87,000","87,000","87,000","87,000","351,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|CS Development|MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,CS Development,MOOE,DIGITAL FABRICATION MACHINE OPERATION LEVEL III,2,2,1,1,1,7,"3,000","949,400","474,700","474,700","474,700","2,376,500"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Development of Institutional Assessement Tool|MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Development of Institutional Assessement Tool,MOOE,,0,1,1,3,3,8,0,"117,600","117,600","217,600","217,600","670,400"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Development of Institutional Assessement Tool|SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Development of Institutional Assessement Tool,SSP,21ST BASIC COMPETENCIES FOR NC II,9,5,5,5,5,29,0,"20,000","20,000","20,000","20,000","80,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|GAD Advocacy (Gender sensitive) programs|SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,GAD Advocacy (Gender sensitive) programs,SSP,NUMBER OF PROGRAMS IMPLEMENTED OR MONITORED,0,1,1,1,1,4,0,"5,000","5,000","5,000","5,000","20,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Integrate and implement Green TVET programs|SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Integrate and implement Green TVET programs,SSP,NUMBER OF GREEN TVET PROGRAM INTEGRATED AND IMPLEMENTED,0,0,1,1,1,3,0,0,"15,000","15,000","15,000","45,000"
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Multi-regional TOP implemented|MOOE, SSP",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Multi-regional TOP implemented,"MOOE, SSP","PTC SAMBOAN - EIM NC II, TM 1",2,1,1,1,1,6,"4,008","3,850","3,850","3,850","3,850","19,408"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Multi-regional TOP implemented|MOOE/SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Multi-regional TOP implemented,MOOE/SSP,NUMBER OF GRADUATES OF BLENDED LEARNING COURSE IMPLEMENTED THROUGH MRTOP,78,75,75,75,75,378,0,"3,500","3,500","3,500","3,500","14,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Multi-regional TOP implemented|MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Multi-regional TOP implemented,MOOE,"PTC-MINGLANILLA: UTILIZED IN TM1 TRAINING
REGIONAL TRAINING CENTER - CEBU",0,25,25,25,25,100,0,0,0,0,0,0
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Multi-regional TOP implemented|SSP/MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Multi-regional TOP implemented,SSP/MOOE,,0,0,0,1,0,1,0,0,0,"130,000",0,"130,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Multi-regional TOP implemented|SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Multi-regional TOP implemented,SSP,3 TRAINERS CAPACITATED IN THE UTILIZATION OF MRTOP,1,4,1,1,1,8,0,"7,500",0,0,0,"7,500"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of APACC-accredited institutions increased|MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of APACC-accredited institutions increased,MOOE,APACC-ACCREDITED INSTITUTIONS,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of competency standards/micro-credentials in emerging, in-demand, and hard-to-fill occupations formulated|",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,"No. of competency standards/micro-credentials in emerging, in-demand, and hard-to-fill occupations formulated",,,0,2,0,0,0,2,0,"5,000",0,0,0,"5,000"
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of competency standards/micro-credentials in emerging, in-demand, and hard-to-fill occupations formulated|MOOE
SSP",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,"No. of competency standards/micro-credentials in emerging, in-demand, and hard-to-fill occupations formulated","MOOE
SSP",,0,0,1,0,0,1,0,0,"200,000",0,0,"200,000"
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of competency standards/micro-credentials in emerging, in-demand, and hard-to-fill occupations formulated|MOOE, INDUSTRY PARTNERS",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,"No. of competency standards/micro-credentials in emerging, in-demand, and hard-to-fill occupations formulated","MOOE, INDUSTRY PARTNERS",,0,0,1,0,0,1,0,0,"5,000",0,0,"5,000"
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of competency standards/micro-credentials in emerging, in-demand, and hard-to-fill occupations formulated|MOOE",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,"No. of competency standards/micro-credentials in emerging, in-demand, and hard-to-fill occupations formulated",MOOE,,0,1,1,1,2,5,0,0,0,0,"1,800,000","1,800,000"
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of competency standards/micro-credentials in emerging, in-demand, and hard-to-fill occupations formulated|SSP",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,"No. of competency standards/micro-credentials in emerging, in-demand, and hard-to-fill occupations formulated",SSP,ISMO,0,0,1,0,0,1,0,0,"25,000",0,0,"25,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of Diploma (PQF Level V) Programs recognized|MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of Diploma (PQF Level V) Programs recognized,MOOE,DIPLOMA (PQF LEVEL V) PROGRAMS RECOGNIZED,2,1,1,1,1,6,0,0,0,0,0,0
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of graduates in higher-level TVET qualifications (NC III, IV, Diploma)|MOOE / SCHOLARSHIP FUNDS",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,"No. of graduates in higher-level TVET qualifications (NC III, IV, Diploma)",MOOE / SCHOLARSHIP FUNDS,GRADUATES IN HIGHER-LEVEL QUALIFICATIONS,"2,647",25,25,50,75,"2,822",0,"60,000","60,000","65,000","90,000","275,000"
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of graduates in higher-level TVET qualifications (NC III, IV, Diploma)|MOOE, SCHOLARSHIP FUNDS",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,"No. of graduates in higher-level TVET qualifications (NC III, IV, Diploma)","MOOE, SCHOLARSHIP FUNDS",GRADUATES IN HIGHER-LEVEL QUALIFICATIONS,0,0,25,0,0,25,0,0,0,0,0,0
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of graduates in higher-level TVET qualifications (NC III, IV, Diploma)|MOOE",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,"No. of graduates in higher-level TVET qualifications (NC III, IV, Diploma)",MOOE,GRADUATES IN HIGHER-LEVEL QUALIFICATIONS,"2,647",383,522,615,662,"4,829",0,0,"200,000","600,000","600,000","1,400,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of LGUs Provided With Technical Assistance For Delivering Community-Based Training|LGU MANDAUE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of LGUs Provided With Technical Assistance For Delivering Community-Based Training,LGU MANDAUE,,1,1,1,1,1,5,0,0,0,0,0,0
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of LGUs Provided With Technical Assistance For Delivering Community-Based Training|MOOE
SSP",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of LGUs Provided With Technical Assistance For Delivering Community-Based Training,"MOOE
SSP",NUMBER OF LGU'S PROVIDED WITH TECHNICAL ASSISTANCE,0,10,2,2,2,16,0,"5,000","5,000","5,000","5,000","20,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of LGUs Provided With Technical Assistance For Delivering Community-Based Training|MOOE / LGU FUNDS,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of LGUs Provided With Technical Assistance For Delivering Community-Based Training,MOOE / LGU FUNDS,CITY OF TALISAY PROVIDED WITH BASIC COMPUTER LITERACY PROGRAM,1,0,0,0,0,1,"5,000",0,0,0,0,"5,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of LGUs Provided With Technical Assistance For Delivering Community-Based Training|MOOE/SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of LGUs Provided With Technical Assistance For Delivering Community-Based Training,MOOE/SSP,NUMBER OF LGU'S PROVIDED WITH TECHNICAL ASSISTANCE,0,11,11,11,11,44,0,"20,400","20,400","20,400",0,"61,200"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of LGUs Provided With Technical Assistance For Delivering Community-Based Training|MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of LGUs Provided With Technical Assistance For Delivering Community-Based Training,MOOE,"LGU LAPU-LAPU CITY
NUMBER OF LGU'S PROVIDED WITH TECHNICAL ASSISTANCE
NUMBER OF LGU'S PROVIDED WITH TECHNICAL ASSISTANCE CEBU CITY DEPARTMENT OF MANPOWER DEVELOPMENT AND PLACEMENT",2,14,20,20,20,76,0,"52,000","50,000","50,000","50,000","202,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of LGUs Provided With Technical Assistance For Delivering Community-Based Training|SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of LGUs Provided With Technical Assistance For Delivering Community-Based Training,SSP,NUMBER OF LGU'S PROVIDED WITH TECHNICAL ASSISTANCE,4,3,2,1,1,11,"10,000","10,000","10,000","10,000","10,000","50,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of RLT on identified skills priority based on emerging skills and with TRs|MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of RLT on identified skills priority based on emerging skills and with TRs,MOOE,RLT IN COMMUNITY NUTRITION SERVICES NCII,1,0,0,0,0,1,0,0,0,0,0,0
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of STAR Awardees increased|MOOE
SSP",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of STAR Awardees increased,"MOOE
SSP","REGISTERED PROGRAMS CONFERRED WITH STAR AWARDS (RO LEVEL)

EIM NC II - PTC SAMBOAN",1,1,1,1,1,5,0,"28,850","28,850","28,850","28,850","115,400"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of STAR Awardees increased|MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of STAR Awardees increased,MOOE,"REGISTERED PROGRAMS CONFERRED WITH STAR AWARD (RO LEVEL)
REGISTERED PROGRAMS CONFERRED WITH STAR AWARDS (RO LEVEL)",2,2,2,2,2,10,0,"270,000","270,000","270,000","270,000","1,080,000"
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of STAR Awardees increased|SSP, MOOE",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of STAR Awardees increased,"SSP, MOOE",,0,1,1,1,0,3,0,"45,000","45,000","45,000",0,"135,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of STAR Awardees increased|SSP/MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of STAR Awardees increased,SSP/MOOE,REGISTERED PROGRAMS CONFERRED WITH STAR AWARDS (RO LEVEL),1,1,1,1,1,5,"20,000","20,000","20,000","20,000","20,000","100,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of STAR Awardees increased|SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of STAR Awardees increased,SSP,REGISTERED PROGRAMS CONFERRED WITH STAR AWARDS (RO LEVEL),1,1,1,1,1,5,"10,000","10,000","10,000","10,000","10,000","50,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of TVET institutions offering higher-level qualifications|MOOE / SCHOLARSHIP FUNDS,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of TVET institutions offering higher-level qualifications,MOOE / SCHOLARSHIP FUNDS,TVET INSTITUTIONS OFFERING HIGHER-LEVEL QUALIFICATIONS,0,1,1,1,3,6,0,0,"110,000","115,000",0,"225,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of TVET institutions offering higher-level qualifications|MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of TVET institutions offering higher-level qualifications,MOOE,TVET INSTITUTIONS OFFERING HIGHER-LEVEL QUALIFICATIONS,1,1,1,2,1,6,0,"100,000","100,000","689,314","100,000","989,314"
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of TVET institutions offering higher-level qualifications|SSP, MOOE",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of TVET institutions offering higher-level qualifications,"SSP, MOOE",,0,1,1,0,1,3,0,"137,000","302,000",0,"697,000","1,136,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of TVET institutions offering higher-level qualifications|SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of TVET institutions offering higher-level qualifications,SSP,TVET INSTITUTIONS OFFERING HIGHER-LEVEL QUALIFICATIONS,1,0,1,0,0,2,"5,000",0,"100,000",0,0,"105,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of TVET institutions with upgraded facilities|NUMBER OF FACILITIES UPGRADED,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of TVET institutions with upgraded facilities,NUMBER OF FACILITIES UPGRADED,,0,3,2,3,1,9,0,"1,210,000","960,000","1,140,000","675,000","3,985,000"
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of TVET institutions with upgraded facilities|MOOE, STAKEHOLDERS",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of TVET institutions with upgraded facilities,"MOOE, STAKEHOLDERS",,0,0,1,0,0,1,0,0,0,0,0,0
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|No. of TVET institutions with upgraded facilities|SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,No. of TVET institutions with upgraded facilities,SSP,"1 NUMBER OF EXISTING WORKSHOP/FACILITIES MAINTAINED 

NUMBER OF ADDITIONAL WORKSHOP FOR HIGHER LEVEL QUALIFICATIONS SET-UP

NUMBER OF BUILDING AND FACILITIES CONSTRUCTED OR RENOVATED
NUMBER OF COMPLETE SETS OF TOOLS, EQUIPMENT AND MATERIALS ACQUIRED AND THEIR ALIGNMENT WITH THE REQUIRED SPECIFICATIONS FOR HIGHER LEVEL QUALIFICATIONS
NUMBER OF MULTI-MEDIA EQUIPMENT PURCHASED",3,6,6,6,4,25,"38,927","2,274,910","6,151,010","3,236,910","1,804,910","13,506,667"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|NUMBER OF ASSESSEMENT CENTERS ACCREDITED|MOOE / SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,NUMBER OF ASSESSEMENT CENTERS ACCREDITED,MOOE / SSP,,0,2,2,2,2,8,0,"14,000","14,000","14,000","14,000","56,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|NUMBER OF ASSESSMENT CENTER ACCREDITED IN HIGHER LEVEL OF QUALIFICATION|MOOE / SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,NUMBER OF ASSESSMENT CENTER ACCREDITED IN HIGHER LEVEL OF QUALIFICATION,MOOE / SSP,,0,0,1,1,0,2,0,0,"7,000","7,000",0,"14,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|NUMBER OF QUALIFICATION WITH UPGRADED TOOLS AND EQUIPMENT|MOOE / SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,NUMBER OF QUALIFICATION WITH UPGRADED TOOLS AND EQUIPMENT,MOOE / SSP,,2,3,1,2,1,9,0,"705,000","1,205,000","605,000","505,000","3,020,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Percentage increase of TVET Providers / Registered Programs|NEW PROGRAMS REGISTERED,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Percentage increase of TVET Providers / Registered Programs,NEW PROGRAMS REGISTERED,,4,4,5,6,7,26,0,"20,000","25,000","30,000","35,000","110,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Percentage increase of TVET Providers / Registered Programs|MOOE/SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Percentage increase of TVET Providers / Registered Programs,MOOE/SSP,NEW PROGRAMS REGISTERED,6,3,3,0,0,12,0,"137,000","138,000",0,0,"275,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Percentage increase of TVET Providers / Registered Programs|MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Percentage increase of TVET Providers / Registered Programs,MOOE,NEW PROGRAMS REGISTERED,41,5,15,1,0,62,0,"125,000","784,314","1,514,314","100,000","2,523,628"
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Percentage increase of TVET Providers / Registered Programs|SSP, MOOE",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Percentage increase of TVET Providers / Registered Programs,"SSP, MOOE",,0,0,1,1,1,3,0,0,"300,000","295,000","592,000","1,187,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Percentage increase of TVET Providers / Registered Programs|SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Percentage increase of TVET Providers / Registered Programs,SSP,NEW PROGRAMS REGISTERED,4,0,0,0,0,4,"300,000",0,0,0,0,"300,000"
