IDENTIFIER,REGION,SECTOR,SUBSECTOR,JOB REQUIREMENT,PROGRAM,TYPE,TASK + UC
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|FOOD AND BEVERAGE SERVICES ATTENDANT|FOOD AND BEVERAGE SERVICES NC II|With TR|RENDER AN EFFICIENT SERVICES IN SERVING THE FOOD AND BEVERAGES,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,FOOD AND BEVERAGE SERVICES ATTENDANT,FOOD AND BEVERAGE SERVICES NC II,With TR,RENDER AN EFFICIENT SERVICES IN SERVING THE FOOD AND BEVERAGES
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|FOOD AND BEVERAGE SERVICES HIGHER QUALIFICATIONS (FBS SUPERVISOR/MANAGER)|FOOD AND BEVERAGE SERVICES NC III|With TR|OVERSEE THE QUALITY OF SERVICE AND SAFETY OF THE PREPARED FOOD,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,FOOD AND BEVERAGE SERVICES HIGHER QUALIFICATIONS (FBS SUPERVISOR/MANAGER),FOOD AND BEVERAGE SERVICES NC III,With TR,OVERSEE THE QUALITY OF SERVICE AND SAFETY OF THE PREPARED FOOD
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|FOOD PROCESSING (QUALITY CONTROLLER)|FOOD PROCESSING NC II|With TR|CONTROL THE QUALITY OF THE FOOD,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,FOOD PROCESSING (QUALITY CONTROLLER),FOOD PROCESSING NC II,With TR,CONTROL THE QUALITY OF THE FOOD
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|FRONT OFFICE SERVICES HIGHER QUALIFICATIONS (FRONT OFFICE SUPERVISOR/MANAGER)|FRONT OFFICE SERVICES NC III|With TR|OVERSEE THE EFFICIENCY/QUALITY OF THE OFFICES/ SERVICES,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,FRONT OFFICE SERVICES HIGHER QUALIFICATIONS (FRONT OFFICE SUPERVISOR/MANAGER),FRONT OFFICE SERVICES NC III,With TR,OVERSEE THE EFFICIENCY/QUALITY OF THE OFFICES/ SERVICES
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|HOUSEKEEPING SERVICES HIGHER QUALIFICATIONS (HOUSEKEEPING SUPERVISOR/MANAGER)|HOUSEKEEPING NC III|With TR|OVERSEE/ EFFICIENT HOUSEKEEPING,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,HOUSEKEEPING SERVICES HIGHER QUALIFICATIONS (HOUSEKEEPING SUPERVISOR/MANAGER),HOUSEKEEPING NC III,With TR,OVERSEE/ EFFICIENT HOUSEKEEPING
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|LANGUAGES (NIHONGO & KOREAN)|LANGUAGE A1 LEVEL|With CS|FACILITATE COMMUNICATION BETWEEN INDIVIDUALS WITH DIFFERENT LANGUAGES,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,LANGUAGES (NIHONGO & KOREAN),LANGUAGE A1 LEVEL,With CS,FACILITATE COMMUNICATION BETWEEN INDIVIDUALS WITH DIFFERENT LANGUAGES
"REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|LAUNDRY SUPERVISOR|HOUSEKEEPING NC III|With TR|OVERSEE THE LAUNDRY SERVICES
SUPERVISE LAUNDRY OF LINEN, UNIFORM AND GUEST CLOTHES
SUPERVISE ROOM CLEANING AND MAINTENANCE REQUIREMENT
SUPERVISE HOUSEKEEPING SERVICES TO GUESTS
IMPLEMENT LOST AND FOUND PROCEDURES",REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,LAUNDRY SUPERVISOR,HOUSEKEEPING NC III,With TR,"OVERSEE THE LAUNDRY SERVICES
SUPERVISE LAUNDRY OF LINEN, UNIFORM AND GUEST CLOTHES
SUPERVISE ROOM CLEANING AND MAINTENANCE REQUIREMENT
SUPERVISE HOUSEKEEPING SERVICES TO GUESTS
IMPLEMENT LOST AND FOUND PROCEDURES"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|LIFEGUARD SERVICES (LIFEGUARD)|LIFEGUARD SERVICES NC II|With TR|SAFEGUARD THE GUEST,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,LIFEGUARD SERVICES (LIFEGUARD),LIFEGUARD SERVICES NC II,With TR,SAFEGUARD THE GUEST
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|LINEN/UNIFORM SUPERVISOR|HOUSEKEEPING NC III|With TR|OVERSEE THE LINEN SERVICES,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,LINEN/UNIFORM SUPERVISOR,HOUSEKEEPING NC III,With TR,OVERSEE THE LINEN SERVICES
"REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|MASSAGE THERAPIST|MASSAGE THERAPY NC II|With TR|PROMOTE PHYSICAL AND MENTAL WELL-BEING OF GUESTS AND CLIENTS
APPLY HILOT WELLNESS MASSAGE TECHNIQUES
PROVIDE PRE-SERVICE TO HILOT CLIENT/S
PROVIDE POST ADVICE AND POST-SERVICES TO HILOT CLIENTS
PLAN THE HILOT WELLNESS PROGRAM OF CLIENT/SPERFORM CLIENT CONSULTATION
PERFORM BODY MASSAGE
DEVELOP MASSAGE PRACTICE
MAINTAIN AND ORGANIZE TOOLS, EQUIPMENT, SUPPLIES AND WORK AREA",REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,MASSAGE THERAPIST,MASSAGE THERAPY NC II,With TR,"PROMOTE PHYSICAL AND MENTAL WELL-BEING OF GUESTS AND CLIENTS
APPLY HILOT WELLNESS MASSAGE TECHNIQUES
PROVIDE PRE-SERVICE TO HILOT CLIENT/S
PROVIDE POST ADVICE AND POST-SERVICES TO HILOT CLIENTS
PLAN THE HILOT WELLNESS PROGRAM OF CLIENT/SPERFORM CLIENT CONSULTATION
PERFORM BODY MASSAGE
DEVELOP MASSAGE PRACTICE
MAINTAIN AND ORGANIZE TOOLS, EQUIPMENT, SUPPLIES AND WORK AREA"
"REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|PLUMBERS|PLUMBING NC II|With TR|INSTALL, MAINTAIN AND REPAIR PLUMBING SYSTEM",REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,PLUMBERS,PLUMBING NC II,With TR,"INSTALL, MAINTAIN AND REPAIR PLUMBING SYSTEM"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|PREPARE COLD MEALS|COOKERY NC II|With TR|PREPARE COLD MEALS,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,PREPARE COLD MEALS,COOKERY NC II,With TR,PREPARE COLD MEALS
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|PREPARE HOT MEALS|COOKERY NC II|With TR|PREPARE HOT MEALS,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,PREPARE HOT MEALS,COOKERY NC II,With TR,PREPARE HOT MEALS
"REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|PUBLIC AREA SUPERVISOR|HOUSEKEEPING NC III|With TR|MAINTAIN CLEANLINESS IN THE PUBLIC AREA
SUPERVISE LAUNDRY OF LINEN, UNIFORM AND GUEST CLOTHES
SUPERVISE ROOM CLEANING AND MAINTENANCE REQUIREMENT
SUPERVISE HOUSEKEEPING SERVICES TO GUESTS
IMPLEMENT LOST AND FOUND PROCEDURES",REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,PUBLIC AREA SUPERVISOR,HOUSEKEEPING NC III,With TR,"MAINTAIN CLEANLINESS IN THE PUBLIC AREA
SUPERVISE LAUNDRY OF LINEN, UNIFORM AND GUEST CLOTHES
SUPERVISE ROOM CLEANING AND MAINTENANCE REQUIREMENT
SUPERVISE HOUSEKEEPING SERVICES TO GUESTS
IMPLEMENT LOST AND FOUND PROCEDURES"
"REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|RAC/HVAC TECHNICIAN/INSTALLER|RAC SERVICING (DOMRAC) NC II|With TR|INSTALL, MAINTAIN AND REPAIR REF AND AIRCON SYSTEM",REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,RAC/HVAC TECHNICIAN/INSTALLER,RAC SERVICING (DOMRAC) NC II,With TR,"INSTALL, MAINTAIN AND REPAIR REF AND AIRCON SYSTEM"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|SOLAR TECHNICIAN|PV SYSTEMS INSTALLATION NC II|With TR|INSTALL AND MAINTAIN SOLAR ENERGY SYSTEMS,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,SOLAR TECHNICIAN,PV SYSTEMS INSTALLATION NC II,With TR,INSTALL AND MAINTAIN SOLAR ENERGY SYSTEMS
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|TAX LIAISON|BOOKKEEPING NC III|With TR|ENSURE COMPLIANCE WITH TAX LAWS,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,TAX LIAISON,BOOKKEEPING NC III,With TR,ENSURE COMPLIANCE WITH TAX LAWS
"REGION_VII|TOURISM (HOTEL AND RESTAURANT)|TRAVEL AND TOURS|TOUR GUIDING, LOCAL GUIDING SERVICES (TOUR GUIDEFOREIGN LANGUAGE OTHER THAN ENGLISH)|TOUR GUIDING SERVICES NC III|With TR|AUTHENTIC TOUR GUIDING/ GUIDE THE TOURIST AND PROVIDE AUTENTIC INFORMATION",REGION_VII,TOURISM (HOTEL AND RESTAURANT),TRAVEL AND TOURS,"TOUR GUIDING, LOCAL GUIDING SERVICES (TOUR GUIDEFOREIGN LANGUAGE OTHER THAN ENGLISH)",TOUR GUIDING SERVICES NC III,With TR,AUTHENTIC TOUR GUIDING/ GUIDE THE TOURIST AND PROVIDE AUTENTIC INFORMATION
"REGION_VII|TOURISM (HOTEL AND RESTAURANT)|TRAVEL AND TOURS|TOURISM PROMOTIONS SERVICES (ONLINE TRAVEL ADVISOR, ONLINE TOURISM PROMOTIONAL MATERIAL DEVELOPER)|TOURISM PROMOTION SERVICES NC II|With TR|PROMOTE THE TOURISM INDUSTRY",REGION_VII,TOURISM (HOTEL AND RESTAURANT),TRAVEL AND TOURS,"TOURISM PROMOTIONS SERVICES (ONLINE TRAVEL ADVISOR, ONLINE TOURISM PROMOTIONAL MATERIAL DEVELOPER)",TOURISM PROMOTION SERVICES NC II,With TR,PROMOTE THE TOURISM INDUSTRY
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|CACAO FARM TECHNCIAN|CACAO PRODUCTION LEVEL II|With CS|NURSERY OPERATION & MANAGEMENT
LAND PREPRATION
PLANTING AND SEEDLINGS
PLANT CARE & MAINTENANCE
HARVEST / POST HARVEST ACTIVITIES",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,CACAO FARM TECHNCIAN,CACAO PRODUCTION LEVEL II,With CS,"NURSERY OPERATION & MANAGEMENT
LAND PREPRATION
PLANTING AND SEEDLINGS
PLANT CARE & MAINTENANCE
HARVEST / POST HARVEST ACTIVITIES"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|COCONUT FARM TECHNICIAN|COCONUT PRODUCTION LEVEL II|With CS|NURSERY DEVELOPMENT & MANAGEMENT
LAND PREPARATION
PLANT COCO SEEDLINGS
PLANT CARE & MAINTENANCE
HARVEST & POST HARVEST ACTIVITIES",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,COCONUT FARM TECHNICIAN,COCONUT PRODUCTION LEVEL II,With CS,"NURSERY DEVELOPMENT & MANAGEMENT
LAND PREPARATION
PLANT COCO SEEDLINGS
PLANT CARE & MAINTENANCE
HARVEST & POST HARVEST ACTIVITIES"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL PRODUCTION|DAIRY RAISER|ANIMAL PRODUCTION (RUMINANTS) NC II|With TR|RAISE DAIRY ANIMALS
MAINTAIN HOUSING, FARM IMPLEMENTS AND SURROUNDING AREA
PROVIDE FORAGE
PERFORM BREEDING OF RUMINANTS
RAISE DAIRY ANIMALS
RAISE MEAT-TYPE ANIMALS",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,ANIMAL PRODUCTION,DAIRY RAISER,ANIMAL PRODUCTION (RUMINANTS) NC II,With TR,"RAISE DAIRY ANIMALS
MAINTAIN HOUSING, FARM IMPLEMENTS AND SURROUNDING AREA
PROVIDE FORAGE
PERFORM BREEDING OF RUMINANTS
RAISE DAIRY ANIMALS
RAISE MEAT-TYPE ANIMALS"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRI-TOURISM|FARM EXPERIENCE HOST|FARM EXPERIENCE HOST|New and Emerging|MARKETING AND PROMOTION
DISTRIBUTION AND BOOKING
DELIVERY AND EXPERIENCE
POST VISIT-ACTIVITIES
SUPPORT ACTIVITIES",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRI-TOURISM,FARM EXPERIENCE HOST,FARM EXPERIENCE HOST,New and Emerging,"MARKETING AND PROMOTION
DISTRIBUTION AND BOOKING
DELIVERY AND EXPERIENCE
POST VISIT-ACTIVITIES
SUPPORT ACTIVITIES"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM LEAD HAND|AGRICULTURAL CROPS PRODUCTION NC III|With TR|PREPARE AND IRRIGATE SOIL
PLANT SEEDS
FERTILIZE CROPS
HARVEST CROPS
MAINTAIN FARM
PERFORM PEST CONTROL",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM LEAD HAND,AGRICULTURAL CROPS PRODUCTION NC III,With TR,"PREPARE AND IRRIGATE SOIL
PLANT SEEDS
FERTILIZE CROPS
HARVEST CROPS
MAINTAIN FARM
PERFORM PEST CONTROL"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|FARM TECHNCIAN|ARTIFICIAL INSEMINATION (LARGE RUMINANTS) NC II|With TR|SETUP AND INSTALLATION
MONITORING AND MAINTENANCE 
OPERATION
EMERGENCY RESPONSE",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,FARM TECHNCIAN,ARTIFICIAL INSEMINATION (LARGE RUMINANTS) NC II,With TR,"SETUP AND INSTALLATION
MONITORING AND MAINTENANCE 
OPERATION
EMERGENCY RESPONSE"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|FARM TECHNICIAN FOR BEEKEEPING|BEEKEEPING LEVEL II|With CS|FEEDING SUGAR SYRUP 
POLLEN PATTY
IDENTIFYING PEST & DISEASES
CARE AND MAINTAIN
READING THE SIGNS OF HONEY FLOW
PREPARING THE HIVES FOR HONEY FLOW
HARVESTING & POST HARVEST",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,FARM TECHNICIAN FOR BEEKEEPING,BEEKEEPING LEVEL II,With CS,"FEEDING SUGAR SYRUP 
POLLEN PATTY
IDENTIFYING PEST & DISEASES
CARE AND MAINTAIN
READING THE SIGNS OF HONEY FLOW
PREPARING THE HIVES FOR HONEY FLOW
HARVESTING & POST HARVEST"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION ANIMAL PRODUCTION|FARMER LEADER|AGROENTREPRENEURSHIP NC III|With TR|ASSIGN TASKS TO FARMERS
IMPLEMENT FINANCIAL MANAGEMENT
ENSURE PRODUCT SUPPLY

ENGAGE AGROENTERPRISE (AE) INDUSTRY STAKEHOLDERS
ENSURE PRODUCT SUPPLY
IMPLEMENT FINANCIAL MANAGEMENT
MOBILIZE FARMERS PARTICIPATION IN CAPACITY BUILDING ACTIVITIES
CONDUCT COLLECTIVE MARKETING",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION ANIMAL PRODUCTION,FARMER LEADER,AGROENTREPRENEURSHIP NC III,With TR,"ASSIGN TASKS TO FARMERS
IMPLEMENT FINANCIAL MANAGEMENT
ENSURE PRODUCT SUPPLY

ENGAGE AGROENTERPRISE (AE) INDUSTRY STAKEHOLDERS
ENSURE PRODUCT SUPPLY
IMPLEMENT FINANCIAL MANAGEMENT
MOBILIZE FARMERS PARTICIPATION IN CAPACITY BUILDING ACTIVITIES
CONDUCT COLLECTIVE MARKETING"
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION AGRICULTURAL SERVICES|FARMER/GROWER|AGRICULTURAL CROPS PRODUCTION NC II|With TR|PLANT CROPS,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION AGRICULTURAL SERVICES,FARMER/GROWER,AGRICULTURAL CROPS PRODUCTION NC II,With TR,PLANT CROPS
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|FISH HANDLER|FISHPORT/WHARF OPERATION NC I|With TR|CLASSIFY FISH AND FISH PRODUCTS
UNLOAD AND LOAD FISH AND FISH PRODUCTS
CLASSIFY FISH AND FISH PRODUCTS
UNLOAD AND LOAD FISH AND FISH PRODUCTS",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,FISH HANDLER,FISHPORT/WHARF OPERATION NC I,With TR,"CLASSIFY FISH AND FISH PRODUCTS
UNLOAD AND LOAD FISH AND FISH PRODUCTS
CLASSIFY FISH AND FISH PRODUCTS
UNLOAD AND LOAD FISH AND FISH PRODUCTS"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|FRUIT/VEGETABLE VENDOR|AGROENTREPRENEURSHIP NC II|With TR|SELL FRUITS AND VEGETABLES
STORE AND HANDLE PRODUCE 
SORT AND DISPLAY PRODUCTS
MONITOR INVENTORY OF PRODUCTS",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,FRUIT/VEGETABLE VENDOR,AGROENTREPRENEURSHIP NC II,With TR,"SELL FRUITS AND VEGETABLES
STORE AND HANDLE PRODUCE 
SORT AND DISPLAY PRODUCTS
MONITOR INVENTORY OF PRODUCTS"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL PRODUCTION|HATCHERY TECHNICIAN|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|With TR|PERFORM PRE-LAY AND LAYING ACTIVITIES IN POULTRY OPERATIONS
CONDUCT PREPARATORY ACTIVITIES
PRODUCE NATURAL FOODS
CONDUCT BROODSTOCK MANAGEMENT AND SPAWNING
MANAGE FEEDING AND MAINTAIN GOOD HEALTH OF STOCK
COMPLETE HATCHERY OPERATION",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,ANIMAL PRODUCTION,HATCHERY TECHNICIAN,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,With TR,"PERFORM PRE-LAY AND LAYING ACTIVITIES IN POULTRY OPERATIONS
CONDUCT PREPARATORY ACTIVITIES
PRODUCE NATURAL FOODS
CONDUCT BROODSTOCK MANAGEMENT AND SPAWNING
MANAGE FEEDING AND MAINTAIN GOOD HEALTH OF STOCK
COMPLETE HATCHERY OPERATION"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HORTICULTURE AIDE|HORTICULTURE NC III|With TR|PROVIDE GENERAL SUPPORT IN HORTICULTURE PROJECTS
ASSIST IN RECORD-KEEPING AND REPORTING PLANT GROWTH PROGRESS",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HORTICULTURE AIDE,HORTICULTURE NC III,With TR,"PROVIDE GENERAL SUPPORT IN HORTICULTURE PROJECTS
ASSIST IN RECORD-KEEPING AND REPORTING PLANT GROWTH PROGRESS"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|ORGANIC AGRICULTURE FARMER|ORGANIC AGRICULTURE PRODUCTION NC II|With TR|PRODUCE ORGANIC CROPS AND VEGETABLES RAISE ORGANIC HOGS AND CHICKEN
RAISE ORGANIC CHICKEN
PRODUCE ORGANIC VEGETABLES
PRODUCE ORGANIC FERTILIZER
PRODUCE ORGANIC CONCOCTIONS AND EXTRACTS
RAISE ORGANIC HOGS
RAISE ORGANIC SMALL RUMINANTS",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,ORGANIC AGRICULTURE FARMER,ORGANIC AGRICULTURE PRODUCTION NC II,With TR,"PRODUCE ORGANIC CROPS AND VEGETABLES RAISE ORGANIC HOGS AND CHICKEN
RAISE ORGANIC CHICKEN
PRODUCE ORGANIC VEGETABLES
PRODUCE ORGANIC FERTILIZER
PRODUCE ORGANIC CONCOCTIONS AND EXTRACTS
RAISE ORGANIC HOGS
RAISE ORGANIC SMALL RUMINANTS"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION SUPPORT AGRICULTURAL SERVICES|PEST CONTROL TECHNICIAN|PEST MANAGEMENT (VEGETABLES) NC II|With TR|MONITOR PEST POPULATION
IMPLEMENT PEST MANAGEMENT STRATEGIES",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION SUPPORT AGRICULTURAL SERVICES,PEST CONTROL TECHNICIAN,PEST MANAGEMENT (VEGETABLES) NC II,With TR,"MONITOR PEST POPULATION
IMPLEMENT PEST MANAGEMENT STRATEGIES"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|VETERINARY TECHNICIAN|ANIMAL HEALTH CARE AND MANAGEMENT NC III|With TR|ASSIST VETERINARIANS DURING EXAMINATIONS, SURGERIES, AND TREATMENTS
PERFORM DIAGNOSTIC TESTS
ADMINISTER MEDICATION",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,VETERINARY TECHNICIAN,ANIMAL HEALTH CARE AND MANAGEMENT NC III,With TR,"ASSIST VETERINARIANS DURING EXAMINATIONS, SURGERIES, AND TREATMENTS
PERFORM DIAGNOSTIC TESTS
ADMINISTER MEDICATION"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|EDUCATION|ESL TEACHER/TUTOR|ESL TEACHER/TUTOR|New and Emerging|PROVIDE ARTICLES OR MANUALS RELATED TO THEIR TECHNICAL FIELD FOR STUDENTS TO READ AND SUMMARIZE.USE AUDIO RECORDINGS OF WORKPLACE CONVERSATIONS OR INSTRUCTIONS, FOLLOWED BY COMPREHENSION QUESTIONSCREATE VOCABULARY LISTS RELATED TO THEIR VOCATIONAL FIELD AND HAVE STUDENTS USE THEM IN SENTENCES OR SHORT PARAGRAPHS
ORGANIZE DEBATES ON RELEVANT TOPICS TO IMPROVE PERSUASIVE SPEAKING AND CRITICAL THINKING SKILLS, COMMUNICATE IN ENGLISH PROFICIENTLY",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,EDUCATION,ESL TEACHER/TUTOR,ESL TEACHER/TUTOR,New and Emerging,"PROVIDE ARTICLES OR MANUALS RELATED TO THEIR TECHNICAL FIELD FOR STUDENTS TO READ AND SUMMARIZE.USE AUDIO RECORDINGS OF WORKPLACE CONVERSATIONS OR INSTRUCTIONS, FOLLOWED BY COMPREHENSION QUESTIONSCREATE VOCABULARY LISTS RELATED TO THEIR VOCATIONAL FIELD AND HAVE STUDENTS USE THEM IN SENTENCES OR SHORT PARAGRAPHS
ORGANIZE DEBATES ON RELEVANT TOPICS TO IMPROVE PERSUASIVE SPEAKING AND CRITICAL THINKING SKILLS, COMMUNICATE IN ENGLISH PROFICIENTLY"
