,,,,,,,,,,,,,,,,,,
"Importing 1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Sub-sector,Job Requirement,Programs,"Program
Type","Priority
Ranking
(Province)",,Year 2,,,,,Year 3,,,
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CARBON STEEL PLATE/ PIPE WELDER|MANUAL METAL ARC WELDING (MMAW) NC IV|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,CARBON STEEL PLATE/ PIPE WELDER,MANUAL METAL ARC WELDING (MMAW) NC IV,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CIVIL ENGINEERING ASSOCIATE|DIPLOMA PROGRAM IN CIVIL ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS|LOW,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,CIVIL ENGINEERING ASSOCIATE,DIPLOMA PROGRAM IN CIVIL ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CONSTRUCTION SITE SUPERVISOR|CONSTRUCTION SITE SUPERVISION LEVEL IV|WITH CS|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,CONSTRUCTION SITE SUPERVISOR,CONSTRUCTION SITE SUPERVISION LEVEL IV,WITH CS,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CONSTRUCTION TRADE SUPERVISOR|CONSTRUCTION TRADE SUPERVISION LEVEL IV|WITH CS|LOW,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,CONSTRUCTION TRADE SUPERVISOR,CONSTRUCTION TRADE SUPERVISION LEVEL IV,WITH CS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|GAS (OXY-ACETYLENE) WELDER|GAS WELDING NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,GAS (OXY-ACETYLENE) WELDER,GAS WELDING NC II,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|SENIOR PAINTER|CONSTRUCTION PAINTING NC III|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,SENIOR PAINTER,CONSTRUCTION PAINTING NC III,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|TIG PLATE WELDER|GAS TUNGSTEN ARC WELDING (GTAW) NC IV|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,TIG PLATE WELDER,GAS TUNGSTEN ARC WELDING (GTAW) NC IV,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|WAREHOUSEMAN (EXTERNAL)|WAREHOUSING SERVICES NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,WAREHOUSEMAN (EXTERNAL),WAREHOUSING SERVICES NC II,WITH TR,LOW,,0,0,5,5,,0,0,5,5
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|WAREHOUSEMAN (INTERNAL)|WAREHOUSING SERVICES NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,WAREHOUSEMAN (INTERNAL),WAREHOUSING SERVICES NC II,WITH TR,LOW,,0,0,5,5,,0,0,5,5
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION|CRAWLER CRANE OPERATOR|HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION,CRAWLER CRANE OPERATOR,HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III,WITH TR,MEDIUM,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION|FORKLIFT OPERATOR|HEAVY EQUIPMENT OPERATION (FORKLIFT) NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION,FORKLIFT OPERATOR,HEAVY EQUIPMENT OPERATION (FORKLIFT) NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION|OFF-HIGHWAY DUMP TRUCK (RIGID) OPERATOR|HEAVY EQUIPMENT OPERATION (RIGID OFF-HIGHWAY DUMP TRUCK) NC II|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION,OFF-HIGHWAY DUMP TRUCK (RIGID) OPERATOR,HEAVY EQUIPMENT OPERATION (RIGID OFF-HIGHWAY DUMP TRUCK) NC II,WITH TR,MEDIUM,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION|PAVER OPERATOR|HEAVY EQUIPMENT OPERATION (PAVER) NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION,PAVER OPERATOR,HEAVY EQUIPMENT OPERATION (PAVER) NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION|TRUCK MOUNTED CRANE OPERATOR|HEAVY EQUIPMENT OPERATION (TRUCK MOUNTED CRANE) NC III|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION,TRUCK MOUNTED CRANE OPERATOR,HEAVY EQUIPMENT OPERATION (TRUCK MOUNTED CRANE) NC III,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION|WHEEL LOADER OPERATOR|HEAVY EQUIPMENT OPERATION (WHEEL LOADER) NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION,WHEEL LOADER OPERATOR,HEAVY EQUIPMENT OPERATION (WHEEL LOADER) NC II,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION|WHEEL LOADER OPERATOR|HEAVY EQUIPMENT OPERATION (WHEEL LOADER) NC II|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION,WHEEL LOADER OPERATOR,HEAVY EQUIPMENT OPERATION (WHEEL LOADER) NC II,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION, EQUIPMENT OPERATIONS AND MAINTENANCE|▪ BUILDING INSPECTOR ▪ CIVIL ENGINEERING DESIGN TECHNOLOGIST ▪ MATERIALS TESTING TECHNOLOGIST. ▪ CONSTRUCTION COORDINATOR, FOREMAN, OR SUPERINTENDENT ▪ ESTIMATOR ▪ TECHNICAL REPRESENTATIVE ▪ FIELD TECHNICAL ASSISTANT ▪ DRAFTSMAN/CAD OPERATOR ▪ REBAR FIXER ▪ BUILDING ELECTRICIAN ▪ BRICK LAYER/MASON ▪ PLUMBER|DIPLOMA PROGRAM IN CIVIL ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS|MEDIUM",REGION_VII,CEBU,CONSTRUCTION,"HORIZONTAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION, EQUIPMENT OPERATIONS AND MAINTENANCE","▪ BUILDING INSPECTOR ▪ CIVIL ENGINEERING DESIGN TECHNOLOGIST ▪ MATERIALS TESTING TECHNOLOGIST. ▪ CONSTRUCTION COORDINATOR, FOREMAN, OR SUPERINTENDENT ▪ ESTIMATOR ▪ TECHNICAL REPRESENTATIVE ▪ FIELD TECHNICAL ASSISTANT ▪ DRAFTSMAN/CAD OPERATOR ▪ REBAR FIXER ▪ BUILDING ELECTRICIAN ▪ BRICK LAYER/MASON ▪ PLUMBER",DIPLOMA PROGRAM IN CIVIL ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,MEDIUM,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION, EQUIPMENT OPERATIONS AND MAINTENANCE|BULLDOZER OPERATOR|HEAVY EQUIPMENT OPERATION (BULLDOZER) NC II|WITH TR|HIGH",REGION_VII,CEBU,CONSTRUCTION,"HORIZONTAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION, EQUIPMENT OPERATIONS AND MAINTENANCE",BULLDOZER OPERATOR,HEAVY EQUIPMENT OPERATION (BULLDOZER) NC II,WITH TR,HIGH,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION, EQUIPMENT OPERATIONS AND MAINTENANCE|MASONRY TECHNICIAN, PLUMBING TECHNICIAN, TECHNICAL DRAFTSMAN, REINFORCING STEELWORKS TECHNICIAN, PAINTING TECHNICIAN, TILE SETTING TECHNICIAN, CARPENTRY, TECHNICIAN, SCAFFOLDING AND FORMWORKS TECHNICIAN, CIVIL ENGINEERING TECHNOLOGIST|DIPLOMA PROGRAM IN CIVIL ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS|MEDIUM",REGION_VII,CEBU,CONSTRUCTION,"HORIZONTAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION, EQUIPMENT OPERATIONS AND MAINTENANCE","MASONRY TECHNICIAN, PLUMBING TECHNICIAN, TECHNICAL DRAFTSMAN, REINFORCING STEELWORKS TECHNICIAN, PAINTING TECHNICIAN, TILE SETTING TECHNICIAN, CARPENTRY, TECHNICIAN, SCAFFOLDING AND FORMWORKS TECHNICIAN, CIVIL ENGINEERING TECHNOLOGIST",DIPLOMA PROGRAM IN CIVIL ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,MEDIUM,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION, RESIDENTIAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION|PV SYSTEMS INSTALLATION TECHNICIAN|PV SYSTEMS INSTALLATION NC II|WITH TR|LOW",REGION_VII,CEBU,CONSTRUCTION,"HORIZONTAL CONSTRUCTION, RESIDENTIAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION",PV SYSTEMS INSTALLATION TECHNICIAN,PV SYSTEMS INSTALLATION NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION|FDAS TECHNICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION,FDAS TECHNICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,LOW,,0,0,6,6,,0,0,6,6
REGION_VII|CEBU|CONSTRUCTION|HORIZONTAL CONSTRUCTION|MOTOR GRADER OPERATOR|HEAVY EQUIPMENT OPERATION (MOTOR GRADER) NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,HORIZONTAL CONSTRUCTION,MOTOR GRADER OPERATOR,HEAVY EQUIPMENT OPERATION (MOTOR GRADER) NC II,WITH TR,LOW,,0,0,3,3,,0,0,3,3
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|AIRCON INSTALLER (COMMERCIAL/ INDUSTRIAL)|RAC SERVICING (DOMRAC) NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,AIRCON INSTALLER (COMMERCIAL/ INDUSTRIAL),RAC SERVICING (DOMRAC) NC II,WITH TR,LOW,,0,0,4,4,,0,0,4,4
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|ELECTRICIAN (COMMERCIAL AND INDUSTRIAL BUILDING)|ELECTRICAL INSTALLATION AND MAINTENANCE NC III|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,ELECTRICIAN (COMMERCIAL AND INDUSTRIAL BUILDING),ELECTRICAL INSTALLATION AND MAINTENANCE NC III,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|ELECTRICIAN (COMMERCIAL AND INDUSTRIAL BUILDING)|ELECTRICAL INSTALLATION AND MAINTENANCE NC III|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,ELECTRICIAN (COMMERCIAL AND INDUSTRIAL BUILDING),ELECTRICAL INSTALLATION AND MAINTENANCE NC III,WITH TR,MEDIUM,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|ELEVATOR INSTALLER|ELECTRICAL INSTALLATION AND MAINTENANCE NC III|WITH TR|HIGH,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,ELEVATOR INSTALLER,ELECTRICAL INSTALLATION AND MAINTENANCE NC III,WITH TR,HIGH,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|ELEVATOR INSTALLER|ELECTRICAL INSTALLATION AND MAINTENANCE NC III|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,ELEVATOR INSTALLER,ELECTRICAL INSTALLATION AND MAINTENANCE NC III,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PIPEFITTER (FIRE PROTECTION SYSTEM)|PIPEFITTING (METALLIC) NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PIPEFITTER (FIRE PROTECTION SYSTEM),PIPEFITTING (METALLIC) NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PIPEFITTER (PUMP EQUIPMENT)|PIPEFITTING (METALLIC) NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PIPEFITTER (PUMP EQUIPMENT),PIPEFITTING (METALLIC) NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PIPEFITTER|PLUMBING NC III|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PIPEFITTER,PLUMBING NC III,WITH TR,LOW,,0,0,4,4,,0,0,4,4
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PLUMBER|PLUMBING NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PLUMBER,PLUMBING NC II,WITH TR,LOW,,0,0,4,4,,0,0,4,4
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|SEALANT APPLICATOR|CONSTRUCTION PAINTING NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,SEALANT APPLICATOR,CONSTRUCTION PAINTING NC II,WITH TR,LOW,,0,0,4,4,,0,0,4,4
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS|CONSTRUCTION ASSISTANT (HOUSEKEEPING)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS,CONSTRUCTION ASSISTANT (HOUSEKEEPING),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS|CONSTRUCTION ASSISTANT (HOUSEKEEPING)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS,CONSTRUCTION ASSISTANT (HOUSEKEEPING),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS|PAINTER|CONSTRUCTION PAINTING NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS,PAINTER,CONSTRUCTION PAINTING NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS|PAINTER|CONSTRUCTION PAINTING NC II|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS,PAINTER,CONSTRUCTION PAINTING NC II,WITH TR,MEDIUM,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL|DRY WALL AND CEILING INSTALLER|CARPENTRY NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL,DRY WALL AND CEILING INSTALLER,CARPENTRY NC II,WITH TR,LOW,,0,0,6,6,,0,0,6,6
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL|ROOF INSTALLER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL,ROOF INSTALLER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION|CARPENTRY (FINISHING & WOODWORKING)|CARPENTRY NC II|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,CARPENTRY (FINISHING & WOODWORKING),CARPENTRY NC II,WITH TR,MEDIUM,,0,0,6,6,,0,0,6,6
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION|MASONRY (FINISHING)|MASONRY NC I|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,MASONRY (FINISHING),MASONRY NC I,WITH TR,LOW,,0,0,6,6,,0,0,6,6
"REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION|SCAFFOLDER (INSPECTION, QUALITY ASSURANCE)|SCAFFOLDING WORKS NC II (SUPPORTED TYPE SCAFFOLD)|WITH TR|LOW",REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,"SCAFFOLDER (INSPECTION, QUALITY ASSURANCE)",SCAFFOLDING WORKS NC II (SUPPORTED TYPE SCAFFOLD),WITH TR,LOW,,0,0,4,4,,0,0,4,4
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION|SCAFFOLDER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,SCAFFOLDER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION|WATERPROOFER (SLABS)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,WATERPROOFER (SLABS),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION
HORIZONTAL CONSTRUCTION
INDUSTRY/INDUSTRIAL CONSTRUCTION
RESIDENTIAL CONSTRUCTION|DRAFTSMAN|TECHNICAL DRAFTING NC II|WITH TR|LOW",REGION_VII,CEBU,CONSTRUCTION,"VERTICAL CONSTRUCTION
HORIZONTAL CONSTRUCTION
INDUSTRY/INDUSTRIAL CONSTRUCTION
RESIDENTIAL CONSTRUCTION",DRAFTSMAN,TECHNICAL DRAFTING NC II,WITH TR,LOW,,0,0,3,3,,0,0,3,3
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|WELDER (GAS)|GAS WELDING NC I|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,WELDER (GAS),GAS WELDING NC I,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|WELDER (GAS)|GAS WELDING NC II|WITH TR|HIGH,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,WELDER (GAS),GAS WELDING NC II,WITH TR,HIGH,,0,0,1,1,,0,0,1,1
"REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION
DIRECT WORKERS CORPORATE SUPPORT|HEO EXCAVATOR|HEAVY EQUIPMENT OPERATION (HYDRAULIC EXCAVATOR) NC II|WITH TR|LOW",REGION_VII,CEBU,CONSTRUCTION,"VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION
DIRECT WORKERS CORPORATE SUPPORT",HEO EXCAVATOR,HEAVY EQUIPMENT OPERATION (HYDRAULIC EXCAVATOR) NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
"REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION
DIRECTO WORKERS CORPORATE SUPPORT|HEO BACKHOE LOADER|HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II|WITH TR|LOW",REGION_VII,CEBU,CONSTRUCTION,"VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION
DIRECTO WORKERS CORPORATE SUPPORT",HEO BACKHOE LOADER,HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CONSTRUCTION PAINTER (APPLICATION)|CONSTRUCTION PAINTING NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,CONSTRUCTION PAINTER (APPLICATION),CONSTRUCTION PAINTING NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
