,,,,,,,,,,,,
Assessment Center,Class Name,Region,Province,City Name,Address,Center Manager,Phone,e mail,Qualification,Numberof Accredited Assessor,Assessed,Certified
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - BINANGONAN,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Binangonan,"Government Center, Calumpang, Binangonan, Rizal",Rey A. Corpuz,6523919,ptcbinangonan@tesda.gov.ph,Shielded Metal Arc Welding (SMAW) NC I,1,10,10
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - BINANGONAN,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Binangonan,"Government Center, Calumpang, Binangonan, Rizal",Rey A. Corpuz,6523919,ptcbinangonan@tesda.gov.ph,Shielded Metal Arc Welding (SMAW) NC I,1,9,9
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - BINANGONAN,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Binangonan,"Government Center, Calumpang, Binangonan, Rizal",Rey A. Corpuz,6523919,ptcbinangonan@tesda.gov.ph,Shielded Metal Arc Welding (SMAW) NC I,1,10,10
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - BINANGONAN,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Binangonan,"Government Center, Calumpang, Binangonan, Rizal",Rey A. Corpuz,6523919,ptcbinangonan@tesda.gov.ph,Shielded Metal Arc Welding (SMAW) NC I,1,10,10
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - BINANGONAN,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Binangonan,"Government Center, Calumpang, Binangonan, Rizal",Rey A. Corpuz,6523919,ptcbinangonan@tesda.gov.ph,Shielded Metal Arc Welding (SMAW) NC II,1,10,10
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - BINANGONAN,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Binangonan,"Government Center, Calumpang, Binangonan, Rizal",Rey A. Corpuz,6523919,ptcbinangonan@tesda.gov.ph,Shielded Metal Arc Welding (SMAW) NC II,1,9,9
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - BINANGONAN,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Binangonan,"Government Center, Calumpang, Binangonan, Rizal",Rey A. Corpuz,6523919,ptcbinangonan@tesda.gov.ph,Shielded Metal Arc Welding (SMAW) NC II,1,7,7
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - BINANGONAN,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Binangonan,"Government Center, Calumpang, Binangonan, Rizal",Rey A. Corpuz,6523919,ptcbinangonan@tesda.gov.ph,Shielded Metal Arc Welding (SMAW) NC II,1,9,9
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - BINANGONAN,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Binangonan,"Government Center, Calumpang, Binangonan, Rizal",Rey A. Corpuz,6523919,ptcbinangonan@tesda.gov.ph,Shielded Metal Arc Welding (SMAW) NC II,1,9,9
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - BINANGONAN,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Binangonan,"Government Center, Calumpang, Binangonan, Rizal",Rey A. Corpuz,6523919,ptcbinangonan@tesda.gov.ph,Shielded Metal Arc Welding (SMAW) NC II,1,10,10
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - BINANGONAN,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Binangonan,"Government Center, Calumpang, Binangonan, Rizal",Rey A. Corpuz,6523919,ptcbinangonan@tesda.gov.ph,Shielded Metal Arc Welding (SMAW) NC II,1,23,23
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - BINANGONAN,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Binangonan,"Government Center, Calumpang, Binangonan, Rizal",Rey A. Corpuz,6523919,ptcbinangonan@tesda.gov.ph,Trainers Methodology Level I,1,9,9
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - CAINTA,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Cainta,"Municipal Compound, A. Bonifacio Avenue, Brgy. Sto. Domingo, Cainta, Rizal",Evangeline E. Plazo,6569937,ptccainta@yahoo.com,Commercial Air-conditioning Installation and Servicing NC III,1,15,15
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - CAINTA,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Cainta,"Municipal Compound, A. Bonifacio Avenue, Brgy. Sto. Domingo, Cainta, Rizal",Evangeline E. Plazo,6569937,ptccainta@yahoo.com,Commercial Air-conditioning Installation and Servicing NC III,1,10,10
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - CAINTA,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Cainta,"Municipal Compound, A. Bonifacio Avenue, Brgy. Sto. Domingo, Cainta, Rizal",Evangeline E. Plazo,6569937,ptccainta@yahoo.com,Dressmaking NC II,1,16,16
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - CAINTA,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Cainta,"Municipal Compound, A. Bonifacio Avenue, Brgy. Sto. Domingo, Cainta, Rizal",Evangeline E. Plazo,6569937,ptccainta@yahoo.com,Electrical Installation and Maintenance NC II,1,34,29
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - CAINTA,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Cainta,"Municipal Compound, A. Bonifacio Avenue, Brgy. Sto. Domingo, Cainta, Rizal",Evangeline E. Plazo,6569937,ptccainta@yahoo.com,Electrical Installation and Maintenance NC II,1,36,25
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - CAINTA,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Cainta,"Municipal Compound, A. Bonifacio Avenue, Brgy. Sto. Domingo, Cainta, Rizal",Evangeline E. Plazo,6569937,ptccainta@yahoo.com,Electrical Installation and Maintenance NC II,1,159,147
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - CAINTA,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Cainta,"Municipal Compound, A. Bonifacio Avenue, Brgy. Sto. Domingo, Cainta, Rizal",Evangeline E. Plazo,6569937,ptccainta@yahoo.com,Electronic Products Assembly and Servicing NC II,1,17,17
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - CAINTA,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Cainta,"Municipal Compound, A. Bonifacio Avenue, Brgy. Sto. Domingo, Cainta, Rizal",Evangeline E. Plazo,6569937,ptccainta@yahoo.com,Health Care Services NC II,1,4,1
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - CAINTA,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Cainta,"Municipal Compound, A. Bonifacio Avenue, Brgy. Sto. Domingo, Cainta, Rizal",Evangeline E. Plazo,6569937,ptccainta@yahoo.com,RAC Servicing (DomRAC) NC II,1,32,23
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - CAINTA,TESDA Technology Institution (TTI),Region IVA - CALABARZON,Rizal,Cainta,"Municipal Compound, A. Bonifacio Avenue, Brgy. Sto. Domingo, Cainta, Rizal",Evangeline E. Plazo,6569937,ptccainta@yahoo.com,RAC Servicing (DomRAC) NC II,1,7,1
SHEPHERDS AND LAMBS TRAINING INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Teresa,"Corazon Aquino (formerly J. Sumulong) Ave. Sitio Bulak, Brgy. Bagumbayan, Teresa, Rizal",Ralph Daryl Doma Perez,09297022201/ 09662849960,sheperdsandlambs12@gmail.com,Bread and Pastry Production NC II,1,49,64
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Bread and Pastry Production NC II,1,8,14
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Bread and Pastry Production NC II,1,13,21
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Bread and Pastry Production NC II,1,56,56
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Bread and Pastry Production NC II,1,18,18
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Computer Systems Servicing NC II,1,25,45
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Computer Systems Servicing NC II,1,17,17
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Computer Systems Servicing NC II,1,9,4
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Computer Systems Servicing NC II,1,10,10
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Cookery NC II,1,9,9
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Cookery NC II,1,19,0
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Cookery NC II,1,20,20
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Cookery NC II,1,16,16
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Cookery NC II,1,33,30
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Cookery NC II,1,103,103
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Cookery NC II,1,58,58
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Food and Beverage Services NC II,1,34,34
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Food and Beverage Services NC II,1,16,16
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Food and Beverage Services NC II,1,14,0
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,Higer Education Institution (HEI),Region IVA - CALABARZON,Rizal,City of Antipolo,"M.l. Quezon Ext., Brgy. Dalig, Antipolo City",Analyn B. Villegas,6970017,leean.aquino@gmail.com,Food and Beverage Services NC II,1,37,35
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Bread and Pastry Production NC II,1,18,23
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Bread and Pastry Production NC II,1,56,58
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Computer Systems Servicing NC II,1,8,8
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Computer Systems Servicing NC II,1,9,6
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Computer Systems Servicing NC II,1,9,9
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Computer Systems Servicing NC II,1,15,6
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Computer Systems Servicing NC II,1,42,42
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Cookery NC II,1,49,49
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Cookery NC II,1,106,106
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Events Management Services NC III,1,8,8
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Events Management Services NC III,1,9,8
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Events Management Services NC III,1,26,24
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Food and Beverage Services NC II,1,34,29
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Food and Beverage Services NC II,1,33,33
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Food and Beverage Services NC II,1,14,14
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Food and Beverage Services NC II,1,13,13
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Food and Beverage Services NC II,1,28,21
TRENT INFORMATION FIRST TECHNICAL CAREER INSTITUTE INC.,TVI,Region IVA - CALABARZON,Rizal,Taytay,"Rlc Bldng. National Road, Brgy. San Juan, Taytay, Rizal",Marjorie M. Nuncio,658-3825,trentrwac@yahoo.com.ph,Front Office Services NC II,1,15,15
ZION INSTITUTE OF SCIENCE AND TECHNOLOGY INC.,TVI,Region IVA - CALABARZON,Rizal,City of Antipolo,Lot2 Block4 Bently Park Subdivision Antipolo City,Lourdes L. Serrano,86478014/86361882,zist.rizal@gmail.com,Automotive Servicing NC I,1,9,9
ZION INSTITUTE OF SCIENCE AND TECHNOLOGY INC.,TVI,Region IVA - CALABARZON,Rizal,City of Antipolo,Lot2 Block4 Bently Park Subdivision Antipolo City,Lourdes L. Serrano,86478014/86361882,zist.rizal@gmail.com,Automotive Servicing NC I,1,28,28
ZION INSTITUTE OF SCIENCE AND TECHNOLOGY INC.,TVI,Region IVA - CALABARZON,Rizal,City of Antipolo,Lot2 Block4 Bently Park Subdivision Antipolo City,Lourdes L. Serrano,86478014/86361882,zist.rizal@gmail.com,Automotive Servicing NC I,1,19,19
ZION INSTITUTE OF SCIENCE AND TECHNOLOGY INC.,TVI,Region IVA - CALABARZON,Rizal,City of Antipolo,Lot2 Block4 Bently Park Subdivision Antipolo City,Lourdes L. Serrano,86478014/86361882,zist.rizal@gmail.com,Bread and Pastry Production NC II,1,16,16
ZION INSTITUTE OF SCIENCE AND TECHNOLOGY INC.,TVI,Region IVA - CALABARZON,Rizal,City of Antipolo,Lot2 Block4 Bently Park Subdivision Antipolo City,Lourdes L. Serrano,86478014/86361882,zist.rizal@gmail.com,Bread and Pastry Production NC II,1,48,57
ZION INSTITUTE OF SCIENCE AND TECHNOLOGY INC.,TVI,Region IVA - CALABARZON,Rizal,City of Antipolo,Lot2 Block4 Bently Park Subdivision Antipolo City,Lourdes L. Serrano,86478014/86361882,zist.rizal@gmail.com,Bread and Pastry Production NC II,1,8,8
"AGSIKAPIN TECHNOLOGICAL TRAINING INSTITUTE, INC.",Farm School,Region IVB - MIMAROPA,Marinduque,Boac,"Poras, Boac, Marinduque",Violeta L. De La Cruz,09663860199,agsikapintech@gmail.com,Agricultural Crops Production NC II,1,24,22
"AGSIKAPIN TECHNOLOGICAL TRAINING INSTITUTE, INC.",Farm School,Region IVB - MIMAROPA,Marinduque,Boac,"Poras, Boac, Marinduque",Violeta L. De La Cruz,09663860199,agsikapintech@gmail.com,Organic Agriculture Production NC II,1,12,12
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Bookkeeping NC III,1,15,3
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Bread and Pastry Production NC II,1,13,10
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Computer Systems Servicing NC II,1,43,58
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Computer Systems Servicing NC II,1,42,59
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Construction Painting NC II,1,19,19
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Driving NC II,1,20,20
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Driving NC II,1,18,18
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Driving NC II,1,20,20
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Driving NC II,1,29,29
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Electrical Installation and Maintenance NC II,1,24,22
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Electrical Installation and Maintenance NC II,1,16,12
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Electrical Installation and Maintenance NC III,1,18,15
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Electronic Products Assembly and Servicing NC II,1,18,18
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Food Processing NC II,1,19,17
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Mechatronics Servicing NC II,1,28,28
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Organic Agriculture Production NC II,1,14,13
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Shielded Metal Arc Welding (SMAW) NC II,1,2,2
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Shielded Metal Arc Welding (SMAW) NC II,1,12,12
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Technical Drafting NC II,1,29,3
BUYABOD SCHOOL OF ARTS AND TRADES,TESDA Technology Institution (TTI),Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Buyabod, Sta. Cruz, Marinduque",Engr. Joey M. Morales,09613339911,bsat@tesda.gov.ph,Technical Drafting NC II,1,69,33
"KALUPPA FOUNDATION, INC.",Farm School,Region IVB - MIMAROPA,Marinduque,Santa Cruz,"Pantayin, Sta. Cruz, Marinduque",Rafael Constantino R. Seño,09171143663,farmschool@kaluppa.org,Agricultural Crops Production NC II,1,21,21
