Industry Boards Established by Year and by Sector,,,,,,,,,Partners Established by Year and by Sector,,,,,,,"Partnership Established for the Implementation of EBT program by Year, and by type of Enterprise",,,
"Importing 1.1
(from Pooling, Industry Boards )
[Region|Province|Year|Sector|Organizations|Collab]",Region,Province,Year,Sector,Target Organizations,Areas for Collaboration,,"Importing 1.1
(from Pooling, Partners Established)
[Region|Province|Year|Sector|Organizations|Collab]",Region,Province,Year,Sector,Target Organizations,Areas for Collaboration,,Region,"Baseline
(DTI 2022 Philippine MSME Statistics in Brief)",Year 2,Year 3
,,,,,,,,"REGION VII|CEBU|2025|AGRICULTURE FORESTRY AND FISHERY|PEOPLE'S FARM AT SOUTH ROAD PROPERTIES (SRP)|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,GARMENTS,"GOLDEN ABC, INC.","DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2026|AGRICULTURE FORESTRY AND FISHERY|DEPARTMENT OF AGRICULTURE|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,GARMENTS,Vertex One Appaarel Inc.,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES",,,,,
,,,,,,,,"REGION VII|CEBU|2025|AUTOMOTIVE AND LAND TRANSPORTATION|NISSAN CEBU SOUTH|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,HUMAN HEALTH / HEALTH CARE,LIFE CARE CEBU,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2025|TOURISM (HOTEL AND RESTAURANT)|NUSTAR|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,INFORMATION AND COMMUNICATION TECHNOLOGY,DANAO CITY GOVERNMENT,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2026|CREATIVE SECTOR|CEBU CITY CREATIVE DISTRICT |DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,INFORMATION AND COMMUNICATION TECHNOLOGY,"RISE (RESPONSIBLE INTERNET SUSTAINABILITY EFFORT), INC.","INTERNET SERVICE PROVIDER; DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2026|DECORATIVE CRAFTS|ALCON INDUSTRIES|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,MANUFACTURING,SANTIAGO SHIPYARD AND SHIPBUILDING CORPORATION,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2026|FURNITURE AND FIXTURES|ALCON INDUSTRIES|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,MANUFACTURING,"TSUNEISHI HEAVY INDUSTRIES (CEBU), INC.","DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2025|AUTOMOTIVE AND LAND TRANSPORTATION|CEBU-CORDOVA LINK EXPRESSWAY, INC.|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,METALS AND ENGINEERING,METALWORKING INDUSTRIES ASSOCIATION OF THE PHILIPPINES,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2025|AGRICULTURE FORESTRY AND FISHERY|AQUATIC PHOENIX ASTURIAS CORP|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,METALS AND ENGINEERING,STEELASIA MANUFACTURING CORPORATION (SAMC),"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2025|FOOTWEAR & LEATHERGOODS|CARCAR UNITED FOOTWEAR MANUFACTURERS ASSOCIATION, INC. (CUFMAI)|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,MINING,CARMEN COPPER CORPORATION,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2025|ENERGY|KEPCO SPC POWER CORPORATION|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,MINING,DOLOMITE MINING CORPORATION,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2026|ENERGY|SAN FERNANDO ELECTRIC LIGHT AND POWER COMPANY (SFELAPCO)|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,PROCESSED FOOD & BEVERAGES,AKAI FOODS,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2026|PROCESSED FOOD & BEVERAGES|MAT-MAT CHICHARON|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,PROCESSED FOOD & BEVERAGES,PROFOOD INTERNATIONAL CORPORATION,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2026|MANUFACTURING|MINGLANILLA TECHNO BUSINESS PARK|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,PROCESSED FOOD & BEVERAGES,THE PHILIPPINE CHOCOLATE COMPANY,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2026|MANUFACTURING|APO CEMENT CORPORATION|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,TOURISM (HOTEL AND RESTAURANT),10000 ROSES CAFE & MORE,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2025|GARMENTS|GOLDEN ABC, INC.|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,TOURISM (HOTEL AND RESTAURANT),BANTAYAN ISLAND NATURE PARK  AND RESORT,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2025|MINING|DOLOMITE MINING CORPORATION|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,TOURISM (HOTEL AND RESTAURANT),CEBU INTERNATIONAL GOLF AND RESORT,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2026|AGRICULTURE FORESTRY AND FISHERY|SOUTHEAST CEBU COASTAL RESOURCE MANAGEMENT COUNCIL|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,TOURISM (HOTEL AND RESTAURANT),CRIMSON RESORT AND SPA MACTAN,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
