Training Providers and Assessment Centers,,,,,,,,,,,,,,,,,,,,,,,,,,
"Importing 1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Sub-sector,Job Requirement,Programs,"Program
Type","Priority
Ranking
(Province)",,Year 2,,,,,,,,,Year 3,,,,,,,
REGION_VII|BOHOL|CONSTRUCTION|TRANSIT MIXER OPERATOR|TRANSIT MIXER OPERATOR|HEAVY EQUIPMENT OPERATION (TRANSIT MIXER) NC II|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,TRANSIT MIXER OPERATOR,TRANSIT MIXER OPERATOR,HEAVY EQUIPMENT OPERATION (TRANSIT MIXER) NC II,WITH TR,HIGH,,1,1,0,2,2,1,0,0,,1,0,0,1,1,1,0,0
REGION_VII|BOHOL|GARMENTS|FASHION DESIGN|BEADS SEWER|FASHION DESIGN (APPAREL) NC III|WITH TR|HIGH,REGION_VII,BOHOL,GARMENTS,FASHION DESIGN,BEADS SEWER,FASHION DESIGN (APPAREL) NC III,WITH TR,HIGH,,5,0,0,5,5,3,0,0,,1,1,0,2,2,1,0,0
REGION_VII|BOHOL|GARMENTS|FASHION DESIGN|GOWN DESIGNERS|FASHION DESIGN (APPAREL) NC III|WITH TR|HIGH,REGION_VII,BOHOL,GARMENTS,FASHION DESIGN,GOWN DESIGNERS,FASHION DESIGN (APPAREL) NC III,WITH TR,HIGH,,5,0,0,5,5,3,0,0,,1,1,0,2,2,2,0,0
REGION_VII|BOHOL|GARMENTS|GARMENT PRODUCITON|PANTS SEWER|TAILORING NC II|WITH TR|HIGH,REGION_VII,BOHOL,GARMENTS,GARMENT PRODUCITON,PANTS SEWER,TAILORING NC II,WITH TR,HIGH,,6,0,0,6,6,1,0,0,,1,2,0,3,3,1,0,0
REGION_VII|BOHOL|GARMENTS|GARMENT PRODUCITON|POLO SEWER|DRESSMAKING NC II|WITH TR|HIGH,REGION_VII,BOHOL,GARMENTS,GARMENT PRODUCITON,POLO SEWER,DRESSMAKING NC II,WITH TR,HIGH,,7,1,0,8,8,1,0,0,,1,3,0,4,4,1,0,0
REGION_VII|BOHOL|GARMENTS|GARMENT PRODUCITON|T SHIRT SEWERS|DRESSMAKING NC II|WITH TR|HIGH,REGION_VII,BOHOL,GARMENTS,GARMENT PRODUCITON,T SHIRT SEWERS,DRESSMAKING NC II,WITH TR,HIGH,,7,1,0,8,8,2,0,0,,1,3,0,4,4,1,0,0
"REGION_VII|BOHOL|GARMENTS|GARMENT PRODUCTION, T-SHIRT, POLO, PANT SEWING|SEWER|TAILORING NC II|WITH TR|HIGH",REGION_VII,BOHOL,GARMENTS,"GARMENT PRODUCTION, T-SHIRT, POLO, PANT SEWING",SEWER,TAILORING NC II,WITH TR,HIGH,,7,1,0,8,8,2,0,0,,1,3,0,4,4,1,0,0
"REGION_VII|BOHOL|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|AFTERSALES & SERVICES|REFRIGERATION & AIRCONDITIONING TECHNICIANS|RAC SERVICING (DOMRAC) NC II|WITH TR|HIGH",REGION_VII,BOHOL,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION",AFTERSALES & SERVICES,REFRIGERATION & AIRCONDITIONING TECHNICIANS,RAC SERVICING (DOMRAC) NC II,WITH TR,HIGH,,7,1,0,8,8,4,0,0,,1,3,0,4,4,3,0,0
"REGION_VII|BOHOL|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|INDUSTRIAL REFRIGERATION PLANT OPERATOR, INDUSTRIAL REFRIGERATION PLANT TECHNICIAN|REFRIGERATION & AIRCONDITIONING TECHNICIANS|INDUSTRIAL REFRIGERATION OPERATION & MAINTENANCE LEVEL III|WITH CS|HIGH",REGION_VII,BOHOL,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION","INDUSTRIAL REFRIGERATION PLANT OPERATOR, INDUSTRIAL REFRIGERATION PLANT TECHNICIAN",REFRIGERATION & AIRCONDITIONING TECHNICIANS,INDUSTRIAL REFRIGERATION OPERATION & MAINTENANCE LEVEL III,WITH CS,HIGH,,6,0,0,6,6,3,0,0,,1,2,0,3,3,1,0,0
"REGION_VII|BOHOL|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|REPAIR AND INSTALLATION|WELDER|GAS WELDING NC I|WITH TR|HIGH",REGION_VII,BOHOL,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION",REPAIR AND INSTALLATION,WELDER,GAS WELDING NC I,WITH TR,HIGH,,7,0,0,7,7,4,0,0,,1,2,0,3,3,1,0,0
REGION_VII|BOHOL|HUMAN HEALTH / HEALTH CARE|HEALTH WORKERS|BARANGAY HEALTH WORKERS|BARANGAY HEALTH SERVICES NC II|WITH TR|HIGH,REGION_VII,BOHOL,HUMAN HEALTH / HEALTH CARE,HEALTH WORKERS,BARANGAY HEALTH WORKERS,BARANGAY HEALTH SERVICES NC II,WITH TR,HIGH,,7,0,0,7,7,1,0,0,,1,2,0,3,3,1,0,0
REGION_VII|BOHOL|HUMAN HEALTH / HEALTH CARE|HEALTH WORKERS|CAREGIVERS|CAREGIVING NC II|WITH TR|HIGH,REGION_VII,BOHOL,HUMAN HEALTH / HEALTH CARE,HEALTH WORKERS,CAREGIVERS,CAREGIVING NC II,WITH TR,HIGH,,7,1,0,8,8,0,0,0,,1,3,0,4,4,1,0,0
REGION_VII|BOHOL|HUMAN HEALTH / HEALTH CARE|HEALTH WORKERS|HEALTHCARE WORKER|HEALTH CARE SERVICES NC II|WITH TR|HIGH,REGION_VII,BOHOL,HUMAN HEALTH / HEALTH CARE,HEALTH WORKERS,HEALTHCARE WORKER,HEALTH CARE SERVICES NC II,WITH TR,HIGH,,7,1,0,8,8,0,0,0,,1,3,0,4,4,1,0,0
"REGION_VII|BOHOL|HUMAN HEALTH / HEALTH CARE|MASSEURS, HILOT WORKERS|MASSAGE THERAPIST|MASSAGE THERAPY NC II|WITH TR|HIGH",REGION_VII,BOHOL,HUMAN HEALTH / HEALTH CARE,"MASSEURS, HILOT WORKERS",MASSAGE THERAPIST,MASSAGE THERAPY NC II,WITH TR,HIGH,,7,1,0,8,8,4,0,0,,1,3,0,4,4,2,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICES|2D ANIMATION|2D ANIMATION NC III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICES,2D ANIMATION,2D ANIMATION NC III,WITH TR,HIGH,,6,0,0,6,6,4,0,0,,2,1,0,3,3,2,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICES|2D ANIMATOR|2D ANIMATION NC III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICES,2D ANIMATOR,2D ANIMATION NC III,WITH TR,HIGH,,7,1,0,8,8,4,0,0,,2,2,0,4,4,1,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CALL CENTER AGENTS|CONTACT CENTER SERVICES NC II|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,CALL CENTER AGENTS,CONTACT CENTER SERVICES NC II,WITH TR,HIGH,,5,0,0,5,5,3,0,0,,1,1,0,2,2,1,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CUSTOMER SERVICE REPRESENTATIVE|CONTACT CENTER SERVICES NC II|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,CUSTOMER SERVICE REPRESENTATIVE,CONTACT CENTER SERVICES NC II,WITH TR,HIGH,,6,1,0,7,7,3,0,0,,1,2,0,3,3,1,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|E-COMMERCE|DATA ANALYST|DATA ANALYTICS LEVEL III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,E-COMMERCE,DATA ANALYST,DATA ANALYTICS LEVEL III,WITH TR,HIGH,,6,1,0,7,7,3,0,0,,1,2,0,3,3,1,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|E-COMMERCE|SOCIAL MEDIA MANAGING|CONTENT CREATION (SOCIAL MEDIA) LEVEL III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,E-COMMERCE,SOCIAL MEDIA MANAGING,CONTENT CREATION (SOCIAL MEDIA) LEVEL III,WITH TR,HIGH,,7,1,0,8,8,3,0,0,,2,2,0,4,4,1,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|ATLASSIAN GURU/SCRUM MASTER|WEB DEVELOPMENT NC III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,ATLASSIAN GURU/SCRUM MASTER,WEB DEVELOPMENT NC III,WITH TR,HIGH,,6,1,0,7,7,4,0,0,,1,2,0,3,3,3,0,0
"REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|COMPUTER LITERATE AND PROFICIENT TO WINDOWS OS, APPLE OS, X, MS OFFICE AND GOOGLE APPLICATION|COMPUTER SYSTEMS SERVICING NC II|WITH TR|MEDIUM",REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,"COMPUTER LITERATE AND PROFICIENT TO WINDOWS OS, APPLE OS, X, MS OFFICE AND GOOGLE APPLICATION",COMPUTER SYSTEMS SERVICING NC II,WITH TR,MEDIUM,,2,0,0,2,2,0,0,0,,2,1,0,3,3,0,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|CYBER SECURITY|CYBER RISK ASSESSMENT LEVEL III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,CYBER SECURITY,CYBER RISK ASSESSMENT LEVEL III,WITH TR,HIGH,,1,0,0,1,1,0,0,0,,1,0,0,1,1,0,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|HARDWARE DEPLOYMENT|COMPUTER SYSTEMS SERVICING NC II|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,HARDWARE DEPLOYMENT,COMPUTER SYSTEMS SERVICING NC II,WITH TR,HIGH,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|IT SKILLED INDIVIDUAL|COMPUTER SYSTEMS SERVICING NC II|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,IT SKILLED INDIVIDUAL,COMPUTER SYSTEMS SERVICING NC II,WITH TR,HIGH,,6,0,0,6,6,0,0,0,,2,1,0,3,3,0,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|NETWORK ENGINEER AND FIBER OPTIC SPECIALIST|TELECOM OSP INSTALLATION (FIBER OPTIC CABLE) NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,NETWORK ENGINEER AND FIBER OPTIC SPECIALIST,TELECOM OSP INSTALLATION (FIBER OPTIC CABLE) NC II,WITH TR,MEDIUM,,1,0,0,1,1,0,0,0,,1,1,0,2,2,2,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SENIOR DRUPAL DEVELOPER|WEB DEVELOPMENT NC III|WITH TR|MEDIUM,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SENIOR DRUPAL DEVELOPER,WEB DEVELOPMENT NC III,WITH TR,MEDIUM,,2,1,0,3,3,0,0,0,,2,2,0,4,4,1,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SENIOR SWIFT DEVELOPER|WEB DEVELOPMENT NC III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SENIOR SWIFT DEVELOPER,WEB DEVELOPMENT NC III,WITH TR,HIGH,,7,1,0,8,8,4,0,0,,2,2,0,4,4,3,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|STRUCTURED CABLING|COMPUTER SYSTEMS SERVICING NC II|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,STRUCTURED CABLING,COMPUTER SYSTEMS SERVICING NC II,WITH TR,HIGH,,7,1,0,8,8,0,0,0,,2,2,0,4,4,1,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|WEB DEVELOPER AND DESIGNER|WEB DEVELOPMENT NC III|WITH TR|MEDIUM,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,WEB DEVELOPER AND DESIGNER,WEB DEVELOPMENT NC III,WITH TR,MEDIUM,,2,1,0,3,3,0,0,0,,2,2,0,4,4,1,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|GRAPHIC DESIGNERS|VISUAL GRAPHIC DESIGN NC III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,GRAPHIC DESIGNERS,VISUAL GRAPHIC DESIGN NC III,WITH TR,HIGH,,6,1,0,7,7,2,0,0,,1,2,0,3,3,2,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|MASTER OF PHOTOSHOP|VISUAL GRAPHIC DESIGN NC III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,MASTER OF PHOTOSHOP,VISUAL GRAPHIC DESIGN NC III,WITH TR,HIGH,,1,0,0,1,1,1,0,0,,1,0,0,1,1,1,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|VIDEO EDITOR|FILM AND VIDEO POSTPRODUCTION NC III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,VIDEO EDITOR,FILM AND VIDEO POSTPRODUCTION NC III,WITH TR,HIGH,,7,1,0,8,8,3,0,0,,2,2,0,4,4,2,0,0
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|VISUAL GRAPHIC DESIGNER|VISUAL GRAPHIC DESIGN NC III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,VISUAL GRAPHIC DESIGNER,VISUAL GRAPHIC DESIGN NC III,WITH TR,HIGH,,6,1,0,7,7,3,0,0,,1,2,0,3,3,1,0,0
REGION_VII|BOHOL|OTHERS|CULTURAL EXCHANGE AND INTERNATIONAL RELATION|SKILL IN JAPANESE LANGUAGE|LANGUAGE A1 LEVEL|WITH CS|HIGH,REGION_VII,BOHOL,OTHERS,CULTURAL EXCHANGE AND INTERNATIONAL RELATION,SKILL IN JAPANESE LANGUAGE,LANGUAGE A1 LEVEL,WITH CS,HIGH,,6,1,0,7,7,4,0,0,,1,2,0,3,3,2,0,0
REGION_VII|BOHOL|OTHERS|FURNITURE/SOUVENIRS/UPCYCLING|PRODUCT DESIGNER|WOOD CARVING LEVEL II|WITH CS|HIGH,REGION_VII,BOHOL,OTHERS,FURNITURE/SOUVENIRS/UPCYCLING,PRODUCT DESIGNER,WOOD CARVING LEVEL II,WITH CS,HIGH,,2,1,0,3,3,3,0,0,,1,0,0,1,1,1,0,0
REGION_VII|BOHOL|OTHERS|LANGUAGE EDUCATION AND INSTRUCTION|SKILL IN KOREAN LANGUAGE|LANGUAGE A1 LEVEL|WITH CS|MEDIUM,REGION_VII,BOHOL,OTHERS,LANGUAGE EDUCATION AND INSTRUCTION,SKILL IN KOREAN LANGUAGE,LANGUAGE A1 LEVEL,WITH CS,MEDIUM,,1,0,0,1,1,0,0,0,,1,0,0,1,1,1,0,0
"REGION_VII|BOHOL|SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES|COLLECTION AND DISBURSMENT|BOOKKEEPING|BOOKKEEPING NC III|WITH TR|HIGH",REGION_VII,BOHOL,"SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES",COLLECTION AND DISBURSMENT,BOOKKEEPING,BOOKKEEPING NC III,WITH TR,HIGH,,3,2,0,5,5,0,0,0,,0,1,0,1,1,0,0,0
"REGION_VII|BOHOL|SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES|GEL/POLYGEL NAILS|NAIL ART/NAIL EXTENSION|BEAUTY CARE (NAIL ENHANCEMENT TECHNOLOGY) SERVICES NC III|WITH TR|MEDIUM",REGION_VII,BOHOL,"SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES",GEL/POLYGEL NAILS,NAIL ART/NAIL EXTENSION,BEAUTY CARE (NAIL ENHANCEMENT TECHNOLOGY) SERVICES NC III,WITH TR,MEDIUM,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|BOHOL|SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES|HAIRSTYLING AND HAIRCARE|BEAUTICIAN SPECIALIST|HAIRDRESSING NC II|WITH TR|HIGH",REGION_VII,BOHOL,"SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES",HAIRSTYLING AND HAIRCARE,BEAUTICIAN SPECIALIST,HAIRDRESSING NC II,WITH TR,HIGH,,1,0,0,1,1,3,0,0,,0,0,0,0,0,1,0,0
"REGION_VII|BOHOL|SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES|RESIDENTIAL AND COMMERCIAL REAL ESTATE|REAL ESTATE BROOKER|REAL ESTATE SERVICES NC II|WITH TR|HIGH",REGION_VII,BOHOL,"SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES",RESIDENTIAL AND COMMERCIAL REAL ESTATE,REAL ESTATE BROOKER,REAL ESTATE SERVICES NC II,WITH TR,HIGH,,0,0,0,0,0,2,0,1,,0,0,0,0,0,0,0,1
"REGION_VII|BOHOL|SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES|TAX COMPLIANCE|TAX LIAISON|BOOKKEEPING NC III|WITH TR|HIGH",REGION_VII,BOHOL,"SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES",TAX COMPLIANCE,TAX LIAISON,BOOKKEEPING NC III,WITH TR,HIGH,,3,1,0,4,4,0,0,0,,1,2,0,3,3,0,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION AND TRAVEL SERVICES|DRIVERS|DRIVING NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION AND TRAVEL SERVICES,DRIVERS,DRIVING NC II,WITH TR,MEDIUM,,0,0,0,0,0,0,0,0,,1,1,0,2,2,0,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|DIGITAL MARKETING & PROMOTION TECHNOLOGY|DIGITAL MARKETING LEVEL III|WITH CS|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,DIGITAL MARKETING & PROMOTION TECHNOLOGY,DIGITAL MARKETING LEVEL III,WITH CS,MEDIUM,,0,1,0,1,1,0,0,0,,0,1,0,1,1,1,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,MEDIUM,,1,1,0,2,2,0,0,1,,1,2,0,3,3,0,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|ELECTRONICS/SOUND SYTEM OPERATOR/TECHNICIAN|ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II|WITH TR|HIGH,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,ELECTRONICS/SOUND SYTEM OPERATOR/TECHNICIAN,ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II,WITH TR,HIGH,,7,1,0,8,8,2,0,0,,2,2,0,4,4,2,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|LANGUAGES (NIHONGO & KOREAN)|LANGUAGE A1 LEVEL|WITH CS|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,LANGUAGES (NIHONGO & KOREAN),LANGUAGE A1 LEVEL,WITH CS,MEDIUM,,3,0,0,3,3,0,0,0,,2,2,0,4,4,1,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|MASSAGE THERAPIST|MASSAGE THERAPY NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,MASSAGE THERAPIST,MASSAGE THERAPY NC II,WITH TR,MEDIUM,,2,0,0,2,2,0,0,0,,1,2,0,3,3,2,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|PLUMBERS|PLUMBING NC II|WITH TR|HIGH,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,PLUMBERS,PLUMBING NC II,WITH TR,HIGH,,6,1,0,7,7,3,0,0,,1,2,0,3,3,3,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|RAC/HVAC TECHNICIAN/INSTALLER|RAC SERVICING (DOMRAC) NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,RAC/HVAC TECHNICIAN/INSTALLER,RAC SERVICING (DOMRAC) NC II,WITH TR,MEDIUM,,1,1,0,2,2,0,0,0,,1,2,0,3,3,1,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|SOLAR TECHNICIAN|PV SYSTEMS INSTALLATION NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,SOLAR TECHNICIAN,PV SYSTEMS INSTALLATION NC II,WITH TR,MEDIUM,,2,1,0,3,3,0,0,0,,2,2,0,4,4,2,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|TAX LIAISON|BOOKKEEPING NC III|WITH TR|HIGH,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,TAX LIAISON,BOOKKEEPING NC III,WITH TR,HIGH,,6,0,0,6,6,0,0,0,,2,1,0,3,3,1,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|FRONT OFFICE SERVICES HIGHER QUALIFICATIONS (FRONT OFFICE SUPERVISOR/MANAGER)|FRONT OFFICE SERVICES NC III|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,FRONT OFFICE SERVICES HIGHER QUALIFICATIONS (FRONT OFFICE SUPERVISOR/MANAGER),FRONT OFFICE SERVICES NC III,WITH TR,MEDIUM,,2,1,0,3,3,0,0,0,,2,2,0,4,4,1,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|HOUSEKEEPING SERVICES HIGHER QUALIFICATIONS (HOUSEKEEPING SUPERVISOR/MANAGER)|HOUSEKEEPING NC III|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,HOUSEKEEPING SERVICES HIGHER QUALIFICATIONS (HOUSEKEEPING SUPERVISOR/MANAGER),HOUSEKEEPING NC III,WITH TR,MEDIUM,,2,0,0,2,2,0,0,0,,2,1,0,3,3,1,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|LAUNDRY SUPERVISOR|HOUSEKEEPING NC III|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,LAUNDRY SUPERVISOR,HOUSEKEEPING NC III,WITH TR,MEDIUM,,2,0,0,2,2,0,0,0,,2,1,0,3,3,1,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|LIFEGUARD SERVICES (LIFEGUARD)|LIFEGUARD SERVICES NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,LIFEGUARD SERVICES (LIFEGUARD),LIFEGUARD SERVICES NC II,WITH TR,MEDIUM,,1,0,0,1,1,0,0,0,,1,0,0,1,1,2,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|LINEN/UNIFORM SUPERVISOR|HOUSEKEEPING NC III|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,LINEN/UNIFORM SUPERVISOR,HOUSEKEEPING NC III,WITH TR,MEDIUM,,2,0,0,2,2,0,0,0,,1,1,0,2,2,2,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|PUBLIC AREA SUPERVISOR|HOUSEKEEPING NC III|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,PUBLIC AREA SUPERVISOR,HOUSEKEEPING NC III,WITH TR,MEDIUM,,2,0,0,2,2,0,0,0,,2,1,0,3,3,1,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|BARTENDING (BARTENDER)|BARTENDING NC II|WITH TR|HIGH,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,BARTENDING (BARTENDER),BARTENDING NC II,WITH TR,HIGH,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
